2023-05-09 14:22:24,574 INFO Starting...
2023-05-09 14:22:24,574 INFO Tickers: ['UNP']
2023-05-09 14:23:58,017 INFO ofi_cancel_6_2: -9.944864787086161e-08 , std 3.157584351538789e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_7_2: -9.288485188874841e-08 , std 2.9662881840934627e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_8_2: -5.055579503948943e-08 , std 2.8854276250181376e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_9_2: -4.396561966912215e-08 , std 2.3870796459438943e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_10_2: -6.028672664197285e-08 , std 2.2928089116287756e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_1_2: -9.858657407953096e-09 , std 1.3698447274912325e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_2_2: -1.4472524706994936e-08 , std 1.5548185200332092e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_3_2: -1.2114197914406866e-08 , std 1.2200821928038524e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_4_2: -2.0115598043759264e-08 , std 1.5281498473824529e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_5_2: -1.9917651663225618e-08 , std 1.532012465881081e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_6_2: -3.0185671432876566e-08 , std 1.8843708510028502e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_7_2: -2.027353753875947e-08 , std 1.4573318299553218e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_8_2: -1.977099892048962e-08 , std 1.5749948299882951e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_9_2: -8.390662281832962e-09 , std 8.991283853520984e-07 
2023-05-09 14:23:58,017 INFO ofi_trade_10_2: -1.1194548269172359e-08 , std 1.2531523925543899e-06 
2023-05-09 14:23:58,017 INFO ofi_add_1_3: -9.288253648308425e-08 , std 2.9183173738280216e-06 
2023-05-09 14:23:58,017 INFO ofi_add_2_3: -1.7871436886667647e-07 , std 3.604310988302064e-06 
2023-05-09 14:23:58,017 INFO ofi_add_3_3: -1.8872461589645994e-07 , std 3.5870849078253543e-06 
2023-05-09 14:23:58,017 INFO ofi_add_4_3: -2.1877673177716854e-07 , std 3.7288846421756767e-06 
2023-05-09 14:23:58,018 INFO ofi_add_5_3: -2.5265421261540767e-07 , std 3.9401334867215e-06 
2023-05-09 14:23:58,018 INFO ofi_add_6_3: -2.5760738491381533e-07 , std 4.2940543751885464e-06 
2023-05-09 14:23:58,018 INFO ofi_add_7_3: -1.8225158185871676e-07 , std 3.5678726940997072e-06 
2023-05-09 14:23:58,018 INFO ofi_add_8_3: -1.801246366222678e-07 , std 3.562628083610865e-06 
2023-05-09 14:23:58,018 INFO ofi_add_9_3: -1.8938236211738708e-07 , std 3.6455492313040133e-06 
2023-05-09 14:23:58,018 INFO ofi_add_10_3: -2.0079035427013784e-07 , std 3.7153791154563904e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_1_3: -2.2523995115484368e-08 , std 1.8706562872712181e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_2_3: -5.548909602609678e-08 , std 2.1835203571040334e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_3_3: -8.316058301939524e-08 , std 3.034482338926749e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_4_3: -9.762868937814002e-08 , std 2.977671475165739e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_5_3: -1.0260863223241318e-07 , std 3.3070027270894413e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_6_3: -1.141536581381536e-07 , std 3.3419761472829195e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_7_3: -9.158653971878246e-08 , std 2.9074667260653748e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_8_3: -8.242761501026394e-08 , std 2.7107336358577694e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_9_3: -7.228754590837465e-08 , std 2.2141705848422654e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_10_3: -7.433267907921584e-08 , std 2.576587615192968e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_1_3: -5.689229477578846e-09 , std 1.0054093105383149e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_2_3: -8.155522022646073e-09 , std 9.539632756566286e-07 
2023-05-09 14:23:58,018 INFO ofi_trade_3_3: -1.763062228211059e-08 , std 1.3028607654573268e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_4_3: -1.553154116166357e-08 , std 1.3073753558737243e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_5_3: -3.29319994995546e-08 , std 1.9743314640664714e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_6_3: -3.6713424500105956e-08 , std 2.520593261369157e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_7_3: -2.8581830089305588e-08 , std 1.7972907969386533e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_8_3: -2.105906512720214e-08 , std 1.3794982274808743e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_9_3: -1.013372878197178e-08 , std 1.0842502138443047e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_10_3: -1.580498867753735e-08 , std 1.9162056555053977e-06 
2023-05-09 14:23:58,018 INFO ofi_add_1_5: -1.0964371882292203e-07 , std 3.07955171887215e-06 
2023-05-09 14:23:58,018 INFO ofi_add_2_5: -1.9823815221773604e-07 , std 3.4746903404321978e-06 
2023-05-09 14:23:58,018 INFO ofi_add_3_5: -2.343283066814289e-07 , std 3.91260671913272e-06 
2023-05-09 14:23:58,018 INFO ofi_add_4_5: -2.7209858182291013e-07 , std 3.837808548408644e-06 
2023-05-09 14:23:58,018 INFO ofi_add_5_5: -3.436625119560627e-07 , std 4.461753862658517e-06 
2023-05-09 14:23:58,018 INFO ofi_add_6_5: -2.7389111287773343e-07 , std 3.7839645098840496e-06 
2023-05-09 14:23:58,018 INFO ofi_add_7_5: -2.6671826163950886e-07 , std 3.7680306226407593e-06 
2023-05-09 14:23:58,018 INFO ofi_add_8_5: -2.146261447117082e-07 , std 3.6148878661590738e-06 
2023-05-09 14:23:58,018 INFO ofi_add_9_5: -2.192137586193232e-07 , std 3.594497404546687e-06 
2023-05-09 14:23:58,018 INFO ofi_add_10_5: -2.6704065325306605e-07 , std 3.999757833024307e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_1_5: -3.8722134461190154e-08 , std 1.8009607308438257e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_2_5: -7.060763729453383e-08 , std 2.1995108724566426e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_3_5: -1.0634031160740925e-07 , std 3.0591202155757328e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_4_5: -1.3436416631238474e-07 , std 3.417586762837778e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_5_5: -1.2818319697696944e-07 , std 3.075593764902816e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_6_5: -1.2012368134033498e-07 , std 3.1507461259311057e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_7_5: -1.0676054614361522e-07 , std 2.789309554026719e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_8_5: -8.992828699278788e-08 , std 2.5307522586388363e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_9_5: -7.317277448258306e-08 , std 2.2871805786509918e-06 
2023-05-09 14:23:58,018 INFO ofi_cancel_10_5: -8.671881205277706e-08 , std 2.5711882997416765e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_1_5: -1.4341374242833536e-09 , std 3.189319059965559e-07 
2023-05-09 14:23:58,018 INFO ofi_trade_2_5: -6.5541427734420805e-09 , std 6.304843117061693e-07 
2023-05-09 14:23:58,018 INFO ofi_trade_3_5: -2.075960871815687e-08 , std 1.6968855579377076e-06 
