2023-05-09 13:23:15,713 INFO Starting...
2023-05-09 13:23:15,713 INFO Tickers: ['V']
2023-05-09 13:24:48,224 INFO ofi_trade_4_2: -1.8232536233830674e-08 , std 1.4242403529992546e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_5_2: -2.5251080245978422e-08 , std 1.776023880626096e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_6_2: -1.4795026450033824e-08 , std 1.595184989582081e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_7_2: -2.5039175987002074e-08 , std 1.7332609690734928e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_8_2: -3.007181359548747e-09 , std 4.4813991837273966e-07 
2023-05-09 13:24:48,224 INFO ofi_trade_9_2: -4.910987340942564e-09 , std 5.946428541932333e-07 
2023-05-09 13:24:48,224 INFO ofi_trade_10_2: -1.5779812180929835e-09 , std 3.0463984286038337e-07 
2023-05-09 13:24:48,224 INFO ofi_add_1_3: -2.7528141566257115e-07 , std 3.884904606594365e-06 
2023-05-09 13:24:48,224 INFO ofi_add_2_3: -1.7037243877307356e-07 , std 3.485040806011233e-06 
2023-05-09 13:24:48,224 INFO ofi_add_3_3: -9.342932556848109e-08 , std 2.4935808144057e-06 
2023-05-09 13:24:48,224 INFO ofi_add_4_3: -1.4414438749036804e-07 , std 2.8107129387494244e-06 
2023-05-09 13:24:48,224 INFO ofi_add_5_3: -1.7352646927697945e-07 , std 3.138273387408559e-06 
2023-05-09 13:24:48,224 INFO ofi_add_6_3: -1.8854705368728887e-07 , std 3.5345427882845277e-06 
2023-05-09 13:24:48,224 INFO ofi_add_7_3: -1.4057717096148588e-07 , std 2.87531911516323e-06 
2023-05-09 13:24:48,224 INFO ofi_add_8_3: -1.0198285698349405e-07 , std 2.462851576266533e-06 
2023-05-09 13:24:48,224 INFO ofi_add_9_3: -8.986397351579755e-08 , std 2.3037400527870047e-06 
2023-05-09 13:24:48,224 INFO ofi_add_10_3: -1.1777410783112809e-07 , std 2.7110144542505965e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_1_3: -1.7473947286337987e-08 , std 1.8694122605677129e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_2_3: -5.263746839688787e-08 , std 2.1247927486187736e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_3_3: -7.69652985424116e-08 , std 2.208231978714061e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_4_3: -1.0707734833279799e-07 , std 2.6841359387751817e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_5_3: -1.2259289973770735e-07 , std 2.8074645289733907e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_6_3: -1.100990597840224e-07 , std 2.4653348238278677e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_7_3: -7.956952349258646e-08 , std 2.017131254004906e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_8_3: -5.8836980081066135e-08 , std 1.7632919671470247e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_9_3: -6.362760216000338e-08 , std 1.8972325489428592e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_10_3: -5.4579823662089976e-08 , std 1.6818304080650086e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_1_3: -2.7635175635527253e-09 , std 1.2389161036181174e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_2_3: -6.315174674103533e-09 , std 7.620423689648355e-07 
2023-05-09 13:24:48,224 INFO ofi_trade_3_3: -8.464966102571097e-09 , std 1.0643105023335426e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_4_3: -2.7662188359223434e-08 , std 1.7844267987870103e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_5_3: -2.7168622323235444e-08 , std 1.5020127089859302e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_6_3: -2.9834328449129353e-08 , std 1.69477045863697e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_7_3: -1.1953916776802276e-08 , std 1.0529745401943471e-06 
2023-05-09 13:24:48,224 INFO ofi_trade_8_3: -3.6408700393672844e-09 , std 6.134505698935136e-07 
2023-05-09 13:24:48,224 INFO ofi_trade_9_3: -4.503925627541765e-09 , std 6.491978320168683e-07 
2023-05-09 13:24:48,224 INFO ofi_trade_10_3: -3.002348780225504e-09 , std 4.955773812418758e-07 
2023-05-09 13:24:48,224 INFO ofi_add_1_5: -3.7755946881786847e-07 , std 4.5610779612023556e-06 
2023-05-09 13:24:48,224 INFO ofi_add_2_5: -1.7443053153534264e-07 , std 3.194057150683822e-06 
2023-05-09 13:24:48,224 INFO ofi_add_3_5: -1.2936699951966413e-07 , std 2.7734901957807568e-06 
2023-05-09 13:24:48,224 INFO ofi_add_4_5: -1.4396587929855105e-07 , std 2.6573193016117327e-06 
2023-05-09 13:24:48,224 INFO ofi_add_5_5: -1.9456210354750002e-07 , std 3.0928964960139346e-06 
2023-05-09 13:24:48,224 INFO ofi_add_6_5: -2.3590987313448603e-07 , std 3.551850305713551e-06 
2023-05-09 13:24:48,224 INFO ofi_add_7_5: -2.043498125856305e-07 , std 3.3401780087430195e-06 
2023-05-09 13:24:48,224 INFO ofi_add_8_5: -1.3315305352438535e-07 , std 2.6963547476302107e-06 
2023-05-09 13:24:48,224 INFO ofi_add_9_5: -9.13842385204203e-08 , std 2.2925010274965003e-06 
2023-05-09 13:24:48,224 INFO ofi_add_10_5: -1.3131486507650404e-07 , std 2.544980920898471e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_1_5: -2.6963032805076482e-08 , std 1.931035371737213e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_2_5: -8.066155569467124e-08 , std 2.4508550582985414e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_3_5: -9.128432836987787e-08 , std 2.29690787731873e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_4_5: -1.3931224147260314e-07 , std 2.986997261518596e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_5_5: -1.551454684750113e-07 , std 3.038376278358179e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_6_5: -1.3056240526949607e-07 , std 2.511738893430315e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_7_5: -9.253288735285414e-08 , std 1.997223763668724e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_8_5: -6.942055906089373e-08 , std 1.7613664652418893e-06 
2023-05-09 13:24:48,224 INFO ofi_cancel_9_5: -5.952370192738838e-08 , std 1.5068072278742589e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_10_5: -5.6827847427602275e-08 , std 1.4546781774627504e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_1_5: 5.963512566767109e-10 , std 2.714968908757458e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_2_5: -6.7775335153874525e-09 , std 8.612557220516763e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_3_5: -2.5267223230061694e-08 , std 2.422270074627901e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_4_5: -2.6827140211360106e-08 , std 1.8342334982054253e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_5_5: -3.261236314611322e-08 , std 1.8942125503617631e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_6_5: -2.422684332341036e-08 , std 1.6090207189446035e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_7_5: -1.566392385735575e-08 , std 8.863682168846309e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_8_5: -7.263729965842194e-09 , std 7.292385023810079e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_9_5: -4.337670929780822e-09 , std 5.044719648489851e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_10_5: -3.2560774247669177e-09 , std 3.468789470965742e-07 
2023-05-09 13:24:48,225 INFO ofi_add_1_10: -4.1531623556325075e-07 , std 4.450749329392326e-06 
2023-05-09 13:24:48,225 INFO ofi_add_2_10: -1.9376795404320015e-07 , std 3.2080282211706448e-06 
2023-05-09 13:24:48,225 INFO ofi_add_3_10: -1.659114817162451e-07 , std 3.3007695018047216e-06 
2023-05-09 13:24:48,225 INFO ofi_add_4_10: -1.6236993324232865e-07 , std 2.7725541086882896e-06 
2023-05-09 13:24:48,225 INFO ofi_add_5_10: -2.1763934886831965e-07 , std 3.258427463993126e-06 
2023-05-09 13:24:48,225 INFO ofi_add_6_10: -2.5683783680683155e-07 , std 3.1713593852332875e-06 
2023-05-09 13:24:48,225 INFO ofi_add_7_10: -2.100781498890618e-07 , std 3.1490127386003855e-06 
2023-05-09 13:24:48,225 INFO ofi_add_8_10: -1.3825420372323885e-07 , std 2.5084246249647468e-06 
2023-05-09 13:24:48,225 INFO ofi_add_9_10: -1.0038320385577932e-07 , std 2.285203192846007e-06 
2023-05-09 13:24:48,225 INFO ofi_add_10_10: -1.261964858777526e-07 , std 2.3810167678758694e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_1_10: -2.4204475689579848e-08 , std 1.7396447757674887e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_2_10: -7.903643609341772e-08 , std 1.9812258659983637e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_3_10: -1.1407334126804885e-07 , std 2.6031818304648846e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_4_10: -1.5850702088512338e-07 , std 2.8924375130843192e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_5_10: -1.6378116688529858e-07 , std 3.3297020607240797e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_6_10: -1.4057970380608935e-07 , std 2.542678406627458e-06 
