2023-05-09 14:05:07,418 INFO Starting...
2023-05-09 14:05:07,418 INFO Tickers: ['CRM']
2023-05-09 14:06:41,711 INFO ofi_cancel_6_2: -7.729435525613562e-08 , std 2.6371420147628826e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_7_2: -6.700016519178744e-08 , std 2.774981355489413e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_8_2: -5.326624948252784e-08 , std 2.137492354675296e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_9_2: -6.169949797697093e-08 , std 2.211673322649621e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_10_2: -5.5652912086852635e-08 , std 2.0759836023149194e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_1_2: -7.770902555062543e-10 , std 6.001552264415709e-07 
2023-05-09 14:06:41,711 INFO ofi_trade_2_2: -7.694323895636437e-09 , std 1.0218631520915603e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_3_2: -7.068146775585614e-09 , std 8.866050209402513e-07 
2023-05-09 14:06:41,711 INFO ofi_trade_4_2: -1.3656071091959048e-08 , std 1.2550014963548926e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_5_2: -2.1548973936247015e-08 , std 1.574131360107919e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_6_2: -2.0922984504740822e-08 , std 2.123864480421274e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_7_2: -1.3018121471010221e-08 , std 1.2247673755292537e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_8_2: -9.925641640554595e-09 , std 1.3725297373053988e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_9_2: -2.094163629126462e-09 , std 2.798560054521991e-07 
2023-05-09 14:06:41,711 INFO ofi_trade_10_2: -4.472075559584292e-09 , std 6.784855299057969e-07 
2023-05-09 14:06:41,711 INFO ofi_add_1_3: -1.0130735890968825e-07 , std 2.7759005030812167e-06 
2023-05-09 14:06:41,711 INFO ofi_add_2_3: -1.3143554361127353e-07 , std 3.2925661992350782e-06 
2023-05-09 14:06:41,711 INFO ofi_add_3_3: -1.5162409535050402e-07 , std 3.347053308671145e-06 
2023-05-09 14:06:41,711 INFO ofi_add_4_3: -1.7580451395730251e-07 , std 3.269725093169627e-06 
2023-05-09 14:06:41,711 INFO ofi_add_5_3: -1.9255924550066179e-07 , std 3.2247504500556353e-06 
2023-05-09 14:06:41,711 INFO ofi_add_6_3: -2.0565904681489303e-07 , std 3.6562782897697145e-06 
