2023-05-09 15:24:28,531 INFO Starting...
2023-05-09 15:24:28,531 INFO Tickers: ['SPGI']
2023-05-09 15:26:02,319 INFO ofi_cancel_6_2: -1.0540913765853803e-07 , std 4.262684570177748e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_7_2: -6.233795690419872e-08 , std 3.179908080951724e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_8_2: -1.0775484385095498e-07 , std 4.4019106086419016e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_9_2: -9.082210618612387e-08 , std 4.230704067702781e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_10_2: -1.574539810211293e-07 , std 4.995737090438515e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_1_2: -1.2679440931256069e-08 , std 1.6396002064482418e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_2_2: -1.7772894653772808e-09 , std 4.017287428479402e-07 
2023-05-09 15:26:02,319 INFO ofi_trade_3_2: -2.072056781289077e-08 , std 2.9686171895452756e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_4_2: -5.117082662336228e-09 , std 8.776482541354535e-07 
2023-05-09 15:26:02,320 INFO ofi_trade_5_2: -4.697599816412142e-09 , std 1.0562685978151621e-06 
2023-05-09 15:26:02,320 INFO ofi_trade_6_2: -2.6945998337292847e-09 , std 9.989808142303618e-07 
2023-05-09 15:26:02,320 INFO ofi_trade_7_2: -9.420787918311898e-09 , std 1.173278303524691e-06 
2023-05-09 15:26:02,320 INFO ofi_trade_8_2: -7.736679973136675e-09 , std 1.0636104562641801e-06 
2023-05-09 15:26:02,320 INFO ofi_trade_9_2: -1.1098983587636269e-08 , std 1.670002394586587e-06 
2023-05-09 15:26:02,320 INFO ofi_trade_10_2: -3.0855544042328634e-08 , std 2.70649526213738e-06 
2023-05-09 15:26:02,320 INFO ofi_add_1_3: -7.720393687362557e-08 , std 3.259622174598251e-06 
2023-05-09 15:26:02,320 INFO ofi_add_2_3: -2.1035605137209205e-07 , std 4.478634886705389e-06 
2023-05-09 15:26:02,320 INFO ofi_add_3_3: -1.8229440517617882e-07 , std 3.877598455855567e-06 
2023-05-09 15:26:02,320 INFO ofi_add_4_3: -1.8266753054963914e-07 , std 4.371781892653473e-06 
2023-05-09 15:26:02,320 INFO ofi_add_5_3: -1.6914667171768204e-07 , std 3.564634741475587e-06 
2023-05-09 15:26:02,320 INFO ofi_add_6_3: -1.1516022753343048e-07 , std 3.5872125627573993e-06 
2023-05-09 15:26:02,320 INFO ofi_add_7_3: -1.0255250760957559e-07 , std 4.118353695758244e-06 
2023-05-09 15:26:02,320 INFO ofi_add_8_3: -9.203109230568457e-08 , std 3.517934484504563e-06 
2023-05-09 15:26:02,320 INFO ofi_add_9_3: -9.09003116485871e-08 , std 4.0870438843563226e-06 
