2023-05-09 15:26:03,015 INFO Starting...
2023-05-09 15:26:03,015 INFO Tickers: ['FISV']
2023-05-09 15:27:35,734 INFO ofi_trade_3_2: -2.0659714430862945e-08 , std 1.4015536203096909e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_4_2: -1.2272121304740539e-08 , std 1.3950847486701277e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_5_2: -2.1341799342222432e-08 , std 1.8462850825083196e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_6_2: -2.1111883821097523e-08 , std 1.8848921089687985e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_7_2: -2.0302110231760567e-08 , std 1.6254171998966036e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_8_2: -3.254639039594878e-08 , std 2.4744155124362448e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_9_2: -1.515258031938311e-08 , std 1.3886942425957668e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_10_2: -1.220280962686789e-08 , std 1.7649113746743788e-06 
2023-05-09 15:27:35,734 INFO ofi_add_1_3: -2.5497249125317687e-07 , std 4.474463349880641e-06 
2023-05-09 15:27:35,734 INFO ofi_add_2_3: -2.9171312420621114e-07 , std 5.157433552077128e-06 
2023-05-09 15:27:35,734 INFO ofi_add_3_3: -2.2493035575329793e-07 , std 4.367071773708792e-06 
2023-05-09 15:27:35,734 INFO ofi_add_4_3: -2.1614313613857456e-07 , std 4.299896769689583e-06 
2023-05-09 15:27:35,734 INFO ofi_add_5_3: -2.0503254248332689e-07 , std 4.218526184202948e-06 
2023-05-09 15:27:35,734 INFO ofi_add_6_3: -1.5970703168297605e-07 , std 3.921156834469827e-06 
2023-05-09 15:27:35,734 INFO ofi_add_7_3: -1.4863377163010815e-07 , std 3.7061527281854124e-06 
2023-05-09 15:27:35,734 INFO ofi_add_8_3: -1.1732998874461658e-07 , std 3.553537213432717e-06 
2023-05-09 15:27:35,734 INFO ofi_add_9_3: -9.340456938223494e-08 , std 3.419817281558402e-06 
2023-05-09 15:27:35,734 INFO ofi_add_10_3: -1.405876827160805e-07 , std 4.225331493049245e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_1_3: -4.485927141502894e-08 , std 2.686918022661812e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_2_3: -1.4712342582383758e-07 , std 3.825224648799135e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_3_3: -1.22979333550537e-07 , std 3.530982431171025e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_4_3: -9.398881271559514e-08 , std 2.960630921229748e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_5_3: -1.1039071519333781e-07 , std 3.371011581236405e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_6_3: -1.0248805204364308e-07 , std 3.171866965038781e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_7_3: -1.083139259173543e-07 , std 3.429371856258649e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_8_3: -8.935179102761955e-08 , std 3.0649925960762687e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_9_3: -9.96539819098716e-08 , std 2.935796033577087e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_10_3: -1.3229568999668106e-07 , std 3.462452286371779e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_1_3: -4.241261483481088e-09 , std 6.056127360509323e-07 
2023-05-09 15:27:35,734 INFO ofi_trade_2_3: -4.262338548165325e-08 , std 2.6728990816441302e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_3_3: -3.033760692111567e-08 , std 1.9306258099882974e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_4_3: -1.1799439527487258e-08 , std 1.34589713526419e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_5_3: -2.3344550110077884e-08 , std 1.7379620487103827e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_6_3: -1.6344466935598167e-08 , std 1.2214184668361595e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_7_3: -1.5310981523998435e-08 , std 1.2951233649351796e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_8_3: -2.5991080636284685e-08 , std 1.8129798000103853e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_9_3: -1.7043898525343983e-08 , std 1.4380914955597655e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_10_3: -9.159976236327329e-09 , std 1.0213912772259438e-06 
2023-05-09 15:27:35,735 INFO ofi_add_1_5: -3.169496028070449e-07 , std 5.105669879924841e-06 
2023-05-09 15:27:35,735 INFO ofi_add_2_5: -3.4175281493067405e-07 , std 4.891204052334066e-06 
2023-05-09 15:27:35,735 INFO ofi_add_3_5: -2.9452861485093796e-07 , std 4.743843705508441e-06 
2023-05-09 15:27:35,735 INFO ofi_add_4_5: -3.426593496211478e-07 , std 5.141035878664163e-06 
2023-05-09 15:27:35,735 INFO ofi_add_5_5: -2.42422011476123e-07 , std 4.0896429323198855e-06 
2023-05-09 15:27:35,735 INFO ofi_add_6_5: -2.2269749112430196e-07 , std 3.881124496274652e-06 
2023-05-09 15:27:35,735 INFO ofi_add_7_5: -1.927360644953271e-07 , std 3.990861842215387e-06 
2023-05-09 15:27:35,735 INFO ofi_add_8_5: -1.4036554636500746e-07 , std 3.513301656888233e-06 
2023-05-09 15:27:35,735 INFO ofi_add_9_5: -1.4176814916842995e-07 , std 3.8039343417453467e-06 
2023-05-09 15:27:35,735 INFO ofi_add_10_5: -2.3432115240910455e-07 , std 4.6285295298016215e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_1_5: -7.251627505882864e-08 , std 2.650839524493578e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_2_5: -1.6846708259777543e-07 , std 3.505887493250549e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_3_5: -1.1508123881738032e-07 , std 3.2211661735824023e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_4_5: -1.280648257644771e-07 , std 3.285457749640832e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_5_5: -1.0899145142541991e-07 , std 3.0769710491771665e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_6_5: -1.2316753368176314e-07 , std 3.122374761873087e-06 
