2023-05-09 14:54:51,735 INFO Starting...
2023-05-09 14:54:51,735 INFO Tickers: ['FIS']
2023-05-09 14:56:22,998 INFO ofi_cancel_7_2: -7.504006797982332e-08 , std 3.022934723693923e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_8_2: -6.727593443328473e-08 , std 2.545342407049391e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_9_2: -9.751116668316315e-08 , std 3.358884089286546e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_10_2: -1.1585613843504633e-07 , std 3.1121824353512785e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_1_2: -1.0264776599898154e-08 , std 1.4412547133852499e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_2_2: -8.175709236057445e-09 , std 8.686616205862042e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_3_2: -1.0969531647549357e-08 , std 1.312474381273342e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_4_2: -2.1029702143586707e-08 , std 2.1089608241535364e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_5_2: -1.3548793444221084e-08 , std 1.3984733019490507e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_6_2: -7.1500955418955476e-09 , std 8.364491593768103e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_7_2: -1.1017271247968871e-08 , std 1.5525796903045653e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_8_2: -3.4080263977112843e-09 , std 7.352658357151212e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_9_2: -6.202573583621339e-09 , std 1.048948229954917e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_10_2: -4.705945757948557e-09 , std 5.768449521871168e-07 
2023-05-09 14:56:22,999 INFO ofi_add_1_3: -2.19601469885126e-07 , std 4.468374327854257e-06 
2023-05-09 14:56:22,999 INFO ofi_add_2_3: -2.731022856079309e-07 , std 4.800679368823217e-06 
2023-05-09 14:56:22,999 INFO ofi_add_3_3: -2.347278916841629e-07 , std 4.346237335550125e-06 
2023-05-09 14:56:22,999 INFO ofi_add_4_3: -1.8657463604962577e-07 , std 3.719771973143094e-06 
2023-05-09 14:56:22,999 INFO ofi_add_5_3: -1.727218234350006e-07 , std 3.7224281018374106e-06 
2023-05-09 14:56:22,999 INFO ofi_add_6_3: -1.4345369543332105e-07 , std 3.479279265776089e-06 
2023-05-09 14:56:22,999 INFO ofi_add_7_3: -1.4734237461055483e-07 , std 3.6733204973464574e-06 
2023-05-09 14:56:22,999 INFO ofi_add_8_3: -1.116678496405421e-07 , std 3.526235423698939e-06 
2023-05-09 14:56:22,999 INFO ofi_add_9_3: -9.589022527906045e-08 , std 3.274184623074661e-06 
2023-05-09 14:56:22,999 INFO ofi_add_10_3: -1.1720454371508457e-07 , std 4.251968324130916e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_1_3: -4.0017167074552846e-08 , std 2.648382326042468e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_2_3: -7.912516618310223e-08 , std 2.9600481998186803e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_3_3: -8.544489234047519e-08 , std 2.791789362246685e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_4_3: -1.102604159048222e-07 , std 3.5155046456808225e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_5_3: -1.1804405900699546e-07 , std 3.54668866016651e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_6_3: -8.834011948158528e-08 , std 3.067811491014293e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_7_3: -6.319355330333903e-08 , std 2.600628014233645e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_8_3: -8.352309932352277e-08 , std 2.9449628640563774e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_9_3: -1.0736049524966283e-07 , std 3.485262229391192e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_10_3: -1.4159221685114741e-07 , std 3.526622752882404e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_1_3: -4.648489825611551e-09 , std 7.765343502972161e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_2_3: -1.0321727377083747e-08 , std 1.1845781781161304e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_3_3: -1.0539668526656218e-08 , std 1.3239746102711037e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_4_3: -8.405453471429627e-09 , std 7.859099251171549e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_5_3: -1.4579313662832767e-08 , std 1.4731294258458317e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_6_3: -8.322831112414305e-09 , std 1.0621003292987527e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_7_3: -7.022505402034026e-09 , std 8.532923933678637e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_8_3: -1.5926153064839223e-08 , std 2.0697186433250394e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_9_3: -6.826015936446335e-09 , std 8.58633061052419e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_10_3: -1.1864933696044875e-08 , std 1.1119611345943788e-06 
2023-05-09 14:56:22,999 INFO ofi_add_1_5: -2.667123571828083e-07 , std 4.82024013842266e-06 
2023-05-09 14:56:22,999 INFO ofi_add_2_5: -3.0218935079117595e-07 , std 4.952075631578845e-06 
2023-05-09 14:56:22,999 INFO ofi_add_3_5: -2.884902983079947e-07 , std 4.464915108827196e-06 
2023-05-09 14:56:22,999 INFO ofi_add_4_5: -2.014721178854883e-07 , std 3.5921758664562463e-06 
2023-05-09 14:56:22,999 INFO ofi_add_5_5: -1.9231307361001358e-07 , std 3.8272232794186975e-06 
2023-05-09 14:56:22,999 INFO ofi_add_6_5: -1.753503143162498e-07 , std 3.3817630182786267e-06 
2023-05-09 14:56:22,999 INFO ofi_add_7_5: -1.6637324274487718e-07 , std 3.531649279796879e-06 
2023-05-09 14:56:22,999 INFO ofi_add_8_5: -1.319431396092994e-07 , std 3.1128541796230285e-06 
2023-05-09 14:56:22,999 INFO ofi_add_9_5: -1.0611156062053821e-07 , std 3.218409548941563e-06 
2023-05-09 14:56:22,999 INFO ofi_add_10_5: -1.491767541317136e-07 , std 4.042368609253608e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_1_5: -4.697265147676852e-08 , std 2.0282521332282576e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_2_5: -1.381531692999658e-07 , std 3.5228556857171085e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_3_5: -1.007473168256074e-07 , std 3.2836242710913663e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_4_5: -1.2145670632115547e-07 , std 3.195119553540322e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_5_5: -1.352079316872288e-07 , std 3.487304661020449e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_6_5: -1.2298571009776848e-07 , std 3.3767418747016853e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_7_5: -8.597449977559937e-08 , std 2.891345341016289e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_8_5: -6.75861951274452e-08 , std 2.30053468212609e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_9_5: -9.352917761146959e-08 , std 2.85201647556714e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_10_5: -1.4233311083752205e-07 , std 3.1569167570371427e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_1_5: -5.619819493157163e-10 , std 1.840102419145507e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_2_5: -5.8538386980832775e-09 , std 9.755333587520798e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_3_5: -9.469191707883056e-09 , std 9.076092665766032e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_4_5: -1.098441598019236e-08 , std 9.926733071761226e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_5_5: -1.7828571974735657e-08 , std 1.200049407327613e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_6_5: -9.094500537412192e-09 , std 9.743032225788153e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_7_5: -8.850371808558554e-09 , std 1.1160672679991678e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_8_5: -5.030982775143262e-09 , std 6.643637686964066e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_9_5: -4.407265283394685e-09 , std 4.927229219162124e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_10_5: -5.4175221490742285e-09 , std 7.68365671243175e-07 
2023-05-09 14:56:23,000 INFO ofi_add_1_10: -2.918677383859603e-07 , std 4.7356369639573365e-06 
2023-05-09 14:56:23,000 INFO ofi_add_2_10: -3.3666010774440465e-07 , std 4.6255741919395504e-06 
2023-05-09 14:56:23,000 INFO ofi_add_3_10: -3.046864326907547e-07 , std 4.6181063638518706e-06 
2023-05-09 14:56:23,000 INFO ofi_add_4_10: -2.877675120975877e-07 , std 4.179930857897286e-06 
2023-05-09 14:56:23,000 INFO ofi_add_5_10: -2.134940162449877e-07 , std 3.6640406217108515e-06 
2023-05-09 14:56:23,000 INFO ofi_add_6_10: -2.2132515807260152e-07 , std 3.776734694378659e-06 
2023-05-09 14:56:23,000 INFO ofi_add_7_10: -1.7880672304035752e-07 , std 3.473671224349357e-06 
2023-05-09 14:56:23,000 INFO ofi_add_8_10: -1.7550114493364545e-07 , std 3.723130896606337e-06 
2023-05-09 14:56:23,000 INFO ofi_add_9_10: -1.5718919778309384e-07 , std 3.3159837052931485e-06 
2023-05-09 14:56:23,000 INFO ofi_add_10_10: -1.612624597690009e-07 , std 4.218246995342559e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_1_10: -6.924940745490376e-08 , std 2.5105461336994606e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_2_10: -1.5048992788684217e-07 , std 3.492111447323551e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_3_10: -1.0738316386055855e-07 , std 2.8869365984112703e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_4_10: -1.3745838963475804e-07 , std 3.5857786399322277e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_5_10: -1.4100852442257943e-07 , std 3.846616932096797e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_6_10: -1.371319851953211e-07 , std 3.565099183046492e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_7_10: -8.592284469244082e-08 , std 2.6818254870928527e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_8_10: -9.00996056788934e-08 , std 2.638781375798713e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_9_10: -9.059390512136417e-08 , std 2.938237440202115e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_10_10: -1.2644736573663022e-07 , std 2.8944812837285203e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_1_10: -4.0189011805178876e-09 , std 9.865890694786014e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_2_10: -1.1757556896088342e-08 , std 9.858089914195814e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_3_10: -9.257786114433057e-09 , std 1.0311956306996772e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_4_10: -7.814737729148238e-09 , std 8.398705042103627e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_5_10: -1.0331729624586823e-08 , std 1.5440354291801908e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_6_10: -1.58180864701215e-08 , std 1.3923442678566366e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_7_10: -9.334113466515359e-09 , std 1.0758224667076436e-06 
2023-05-09 14:56:23,000 INFO ofi_trade_8_10: -5.706489798310269e-09 , std 8.298900272165428e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_9_10: -8.941574975245947e-09 , std 9.90569779953949e-07 
2023-05-09 14:56:23,000 INFO ofi_trade_10_10: -1.571308273518747e-08 , std 1.1397499535203702e-06 
2023-05-09 14:56:23,000 INFO ofi_add_1_20: -3.276934737714329e-07 , std 4.719298647139723e-06 
2023-05-09 14:56:23,000 INFO ofi_add_2_20: -3.87660940063745e-07 , std 4.470438806048938e-06 
2023-05-09 14:56:23,000 INFO ofi_add_3_20: -3.550020202508285e-07 , std 4.304525792262475e-06 
2023-05-09 14:56:23,000 INFO ofi_add_4_20: -3.4138519186119585e-07 , std 4.2519147161364125e-06 
2023-05-09 14:56:23,000 INFO ofi_add_5_20: -2.9558845019740204e-07 , std 3.941735306522312e-06 
2023-05-09 14:56:23,000 INFO ofi_add_6_20: -2.4612715121170734e-07 , std 3.790411926102182e-06 
2023-05-09 14:56:23,000 INFO ofi_add_7_20: -2.1243250638860436e-07 , std 3.459008391705715e-06 
2023-05-09 14:56:23,000 INFO ofi_add_8_20: -1.4840126272116843e-07 , std 3.196071990613668e-06 
2023-05-09 14:56:23,000 INFO ofi_add_9_20: -1.3962208789571842e-07 , std 3.709473974287161e-06 
2023-05-09 14:56:23,000 INFO ofi_add_10_20: -2.1088589486789207e-07 , std 4.242225402799116e-06 
2023-05-09 14:56:23,000 INFO ofi_cancel_1_20: -6.630374992586192e-08 , std 2.6245422213480596e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_2_20: -1.4204776303176875e-07 , std 3.1296719277033183e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_3_20: -1.532851238000504e-07 , std 3.6499808765417185e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_4_20: -1.1396443163536546e-07 , std 3.05598763623562e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_5_20: -1.519971025755561e-07 , std 3.205266791359534e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_6_20: -1.131208744732822e-07 , std 3.0446715973117056e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_7_20: -1.243981302033312e-07 , std 3.430949860258373e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_8_20: -9.375285224790144e-08 , std 2.5944698326989116e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_9_20: -1.0285123126787419e-07 , std 2.84676292776501e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_10_20: -1.6723655698144755e-07 , std 3.100350418225414e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_1_20: -4.456052776851368e-09 , std 7.515985723578434e-07 
2023-05-09 14:56:23,001 INFO ofi_trade_2_20: -1.1963186113597082e-08 , std 1.0464469200361937e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_3_20: -1.4855626138288858e-08 , std 1.4829862479615565e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_4_20: -1.7882868808639134e-08 , std 1.5481261311165516e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_5_20: -3.021558848861005e-08 , std 2.124058010588481e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_6_20: -1.9218640719541624e-08 , std 1.7219300291455374e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_7_20: -1.6577519611456108e-08 , std 1.2492823966758973e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_8_20: -1.6583141860493716e-08 , std 1.626727424576749e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_9_20: -2.9321183038460307e-09 , std 4.054944292913145e-07 
2023-05-09 14:56:23,001 INFO ofi_trade_10_20: -1.0226086828109974e-08 , std 1.0550362470715973e-06 
2023-05-09 14:56:23,001 INFO ofi_add_1_30: -3.766073546032184e-07 , std 5.214405118316934e-06 
2023-05-09 14:56:23,001 INFO ofi_add_2_30: -3.5822698518356334e-07 , std 4.486467687230201e-06 
2023-05-09 14:56:23,001 INFO ofi_add_3_30: -3.6618010953531623e-07 , std 4.26963300990314e-06 
2023-05-09 14:56:23,001 INFO ofi_add_4_30: -3.7499571907908894e-07 , std 4.6151578389582865e-06 
2023-05-09 14:56:23,001 INFO ofi_add_5_30: -3.1038633220103067e-07 , std 4.3534089433585385e-06 
2023-05-09 14:56:23,001 INFO ofi_add_6_30: -2.387936808524252e-07 , std 4.078795495682569e-06 
2023-05-09 14:56:23,001 INFO ofi_add_7_30: -2.3362337575257094e-07 , std 3.947416704666199e-06 
2023-05-09 14:56:23,001 INFO ofi_add_8_30: -1.8008148036926455e-07 , std 3.328898008892002e-06 
2023-05-09 14:56:23,001 INFO ofi_add_9_30: -1.669819637920666e-07 , std 3.3019875943283472e-06 
2023-05-09 14:56:23,001 INFO ofi_add_10_30: -2.2572531604481408e-07 , std 4.240376170588235e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_1_30: -7.316751275698038e-08 , std 2.8748156848037798e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_2_30: -1.2680413919377822e-07 , std 2.8895557599898524e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_3_30: -1.410886964288359e-07 , std 3.622485930898787e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_4_30: -1.284518288821539e-07 , std 3.1762200596420037e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_5_30: -1.4731231526498043e-07 , std 3.392460238257143e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_6_30: -1.3729512124440535e-07 , std 3.174131393931792e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_7_30: -1.0282229620549163e-07 , std 3.029917123106963e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_8_30: -9.399940648484719e-08 , std 2.813095255997886e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_9_30: -9.844244754809033e-08 , std 2.538242379082091e-06 
2023-05-09 14:56:23,001 INFO ofi_cancel_10_30: -1.7729178116168329e-07 , std 3.0922795089619595e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_1_30: -9.238910165636555e-09 , std 1.2378769948423302e-06 
2023-05-09 14:56:23,001 INFO ofi_trade_2_30: -8.012007176986373e-09 , std 9.023545744415062e-07 
