2023-05-09 15:13:52,590 INFO Starting...
2023-05-09 15:13:52,590 INFO Tickers: ['CME']
2023-05-09 15:15:27,138 INFO ofi_trade_3_2: -1.1350172164357981e-08 , std 1.0789075073284442e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_4_2: -2.261274782917738e-08 , std 1.5186900312198134e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_5_2: -1.83675756692851e-08 , std 1.4655780694211689e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_6_2: -5.2629993043688374e-09 , std 1.0946870457028326e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_7_2: -1.2256350941453263e-08 , std 1.2108651901794747e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_8_2: -1.3800189701494932e-08 , std 1.373381798711562e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_9_2: -1.4878816250727114e-08 , std 1.4681158159045868e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_10_2: -1.768842528234088e-08 , std 1.686503157037511e-06 
2023-05-09 15:15:27,138 INFO ofi_add_1_3: -6.01071326159979e-08 , std 2.740904126852706e-06 
2023-05-09 15:15:27,138 INFO ofi_add_2_3: -1.7142921983056625e-07 , std 3.5929020162563635e-06 
2023-05-09 15:15:27,138 INFO ofi_add_3_3: -1.7060339663387535e-07 , std 3.4442163291634276e-06 
2023-05-09 15:15:27,138 INFO ofi_add_4_3: -1.6962132127168453e-07 , std 3.4722852954706576e-06 
2023-05-09 15:15:27,138 INFO ofi_add_5_3: -1.5251892751933903e-07 , std 3.3665879165113964e-06 
2023-05-09 15:15:27,138 INFO ofi_add_6_3: -1.732293618308746e-07 , std 3.4032327515300387e-06 
2023-05-09 15:15:27,138 INFO ofi_add_7_3: -1.2686014266032785e-07 , std 2.9528386369886262e-06 
2023-05-09 15:15:27,138 INFO ofi_add_8_3: -6.190604714384624e-08 , std 2.435126132589563e-06 
2023-05-09 15:15:27,138 INFO ofi_add_9_3: -9.423551839736592e-08 , std 3.0692295038189006e-06 
2023-05-09 15:15:27,138 INFO ofi_add_10_3: -1.0668692784681552e-07 , std 3.509340443857679e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_1_3: -2.9562297545685514e-08 , std 1.5906924276175089e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_2_3: -6.911691538512887e-08 , std 2.469005797169596e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_3_3: -8.835600745531065e-08 , std 2.9641137622398567e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_4_3: -8.687347871968464e-08 , std 3.015127623003886e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_5_3: -7.902759083097113e-08 , std 2.713808511846351e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_6_3: -5.800694495788355e-08 , std 2.457113533968119e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_7_3: -5.8518296614466575e-08 , std 2.3599064872854217e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_8_3: -5.419300357436473e-08 , std 2.6676604911871403e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_9_3: -6.240967884753546e-08 , std 2.440741334286703e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_10_3: -8.45412120957513e-08 , std 2.74026037386144e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_1_3: -1.645677963860748e-08 , std 1.5810413463411847e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_2_3: -9.20862572122245e-09 , std 8.190554686592674e-07 
2023-05-09 15:15:27,139 INFO ofi_trade_3_3: -1.3895615086231915e-08 , std 1.2744889842611941e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_4_3: -2.0835252292391004e-08 , std 1.6424345931548524e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_5_3: -1.82291200293111e-08 , std 1.3612715369434476e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_6_3: -1.0977327347972417e-08 , std 1.2099268047966668e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_7_3: -4.798458790891259e-09 , std 7.274343851469819e-07 
2023-05-09 15:15:27,139 INFO ofi_trade_8_3: -8.661141482855505e-09 , std 8.967530484930227e-07 
2023-05-09 15:15:27,139 INFO ofi_trade_9_3: -9.770578164421324e-09 , std 1.1513146808241654e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_10_3: -7.003009737547705e-09 , std 1.2448592097381976e-06 
2023-05-09 15:15:27,139 INFO ofi_add_1_5: -1.125814718252176e-07 , std 3.146104213528898e-06 
2023-05-09 15:15:27,139 INFO ofi_add_2_5: -2.627026757735117e-07 , std 3.893445860896049e-06 
