2023-05-09 15:21:15,908 INFO Starting...
2023-05-09 15:21:15,908 INFO Tickers: ['ISRG']
2023-05-09 15:22:54,378 INFO ofi_trade_3_2: -2.0767110686867027e-09 , std 5.426413444193437e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_4_2: -9.285744500388122e-10 , std 3.106598464488674e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_5_2: -1.6851772976429512e-10 , std 8.099773727399605e-08 
2023-05-09 15:22:54,378 INFO ofi_trade_6_2: -1.0285849581487517e-09 , std 2.9284197880903457e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_7_2: 0.0 , std 0.0 
2023-05-09 15:22:54,378 INFO ofi_trade_8_2: -4.562390358849686e-10 , std 1.5781978723634608e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_9_2: -4.617147479372537e-11 , std 1.520946231544703e-08 
2023-05-09 15:22:54,378 INFO ofi_trade_10_2: -1.0235955573825426e-09 , std 4.4560531505083016e-07 
2023-05-09 15:22:54,378 INFO ofi_add_1_3: -5.3400695287961227e-08 , std 2.3526057031203034e-06 
2023-05-09 15:22:54,378 INFO ofi_add_2_3: -9.391253267572385e-08 , std 2.463982609881168e-06 
2023-05-09 15:22:54,378 INFO ofi_add_3_3: -8.424328456062778e-08 , std 2.0392536239027564e-06 
2023-05-09 15:22:54,378 INFO ofi_add_4_3: -8.10924972391385e-08 , std 2.059966315292919e-06 
2023-05-09 15:22:54,378 INFO ofi_add_5_3: -7.523711400146505e-08 , std 2.0758509350077193e-06 
2023-05-09 15:22:54,378 INFO ofi_add_6_3: -4.841280874204638e-08 , std 1.762074403861663e-06 
2023-05-09 15:22:54,378 INFO ofi_add_7_3: -5.022310005516835e-08 , std 1.8141327201127405e-06 
2023-05-09 15:22:54,378 INFO ofi_add_8_3: -5.025972859297737e-08 , std 2.0219427868872192e-06 
2023-05-09 15:22:54,378 INFO ofi_add_9_3: -3.918654217960668e-08 , std 1.9322753529040523e-06 
