2023-05-09 13:08:53,584 INFO Starting...
2023-05-09 13:08:53,584 INFO Tickers: ['AAPL']
2023-05-09 13:10:28,603 INFO ofi_trade_2_3: -9.11905792357036e-09 , std 6.172881852355635e-07 
2023-05-09 13:10:28,603 INFO ofi_trade_3_3: -1.7633291627537862e-08 , std 1.1213966193210552e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_4_3: -1.3826318359627756e-08 , std 7.090074868136305e-07 
2023-05-09 13:10:28,603 INFO ofi_trade_5_3: -2.5110778192350592e-08 , std 1.244965509433137e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_6_3: -2.5355439079814004e-08 , std 1.0343967739558395e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_7_3: -3.311594285661621e-08 , std 1.1792698077279472e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_8_3: -3.031360230721672e-08 , std 1.2378065505214494e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_9_3: -2.923508241826061e-08 , std 1.2674777270313145e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_10_3: -2.5041581928290564e-08 , std 1.0399014561100999e-06 
2023-05-09 13:10:28,603 INFO ofi_add_1_5: -3.0283189445676025e-07 , std 3.1369045792211393e-06 
2023-05-09 13:10:28,603 INFO ofi_add_2_5: -8.708259268361932e-08 , std 1.8176580133490835e-06 
2023-05-09 13:10:28,603 INFO ofi_add_3_5: -3.9337284204673436e-08 , std 1.2993830904777199e-06 
2023-05-09 13:10:28,603 INFO ofi_add_4_5: -3.7546768120695985e-08 , std 1.2395245672139601e-06 
2023-05-09 13:10:28,603 INFO ofi_add_5_5: -2.674652843014747e-08 , std 1.1896589586601142e-06 
2023-05-09 13:10:28,603 INFO ofi_add_6_5: -4.998448826700811e-08 , std 1.4439159897833036e-06 
2023-05-09 13:10:28,603 INFO ofi_add_7_5: -5.282899764629475e-08 , std 1.4488780646280106e-06 
2023-05-09 13:10:28,603 INFO ofi_add_8_5: -4.517686347288792e-08 , std 1.39503562551971e-06 
2023-05-09 13:10:28,603 INFO ofi_add_9_5: -3.816840107974902e-08 , std 1.3498388065843373e-06 
2023-05-09 13:10:28,603 INFO ofi_add_10_5: -6.058490286978651e-08 , std 1.6090678531439119e-06 
2023-05-09 13:10:28,603 INFO ofi_cancel_1_5: -2.4168419520874915e-09 , std 8.174932519968344e-07 
2023-05-09 13:10:28,603 INFO ofi_cancel_2_5: -1.9585123953727145e-08 , std 8.098793878219367e-07 
2023-05-09 13:10:28,603 INFO ofi_cancel_3_5: -2.621039195442218e-08 , std 8.941086576256122e-07 
2023-05-09 13:10:28,603 INFO ofi_cancel_4_5: -3.71566483224326e-08 , std 1.2062931792770597e-06 
2023-05-09 13:10:28,603 INFO ofi_cancel_5_5: -5.1654311872830305e-08 , std 1.2510581846758964e-06 
2023-05-09 13:10:28,603 INFO ofi_cancel_6_5: -2.8694858387807097e-08 , std 9.578697802898916e-07 
2023-05-09 13:10:28,603 INFO ofi_cancel_7_5: -3.6931963763867084e-08 , std 1.1205921016824453e-06 
2023-05-09 13:10:28,603 INFO ofi_cancel_8_5: -2.992894032011581e-08 , std 9.29810795780386e-07 
2023-05-09 13:10:28,603 INFO ofi_cancel_9_5: -3.61046253049129e-08 , std 1.112317843124373e-06 
2023-05-09 13:10:28,603 INFO ofi_cancel_10_5: -3.633989437952886e-08 , std 9.612354466721093e-07 
2023-05-09 13:10:28,603 INFO ofi_trade_1_5: 0.0 , std 0.0 
2023-05-09 13:10:28,603 INFO ofi_trade_2_5: -1.0579465921915341e-08 , std 7.318696658609822e-07 
2023-05-09 13:10:28,603 INFO ofi_trade_3_5: -1.3846098221893168e-08 , std 8.229241810374605e-07 
2023-05-09 13:10:28,603 INFO ofi_trade_4_5: -2.1288223616431897e-08 , std 9.495028907103591e-07 
2023-05-09 13:10:28,603 INFO ofi_trade_5_5: -2.617339170785233e-08 , std 1.0045437101215865e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_6_5: -3.437716243451514e-08 , std 1.17229700272301e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_7_5: -3.4632769937084586e-08 , std 1.2515491040374726e-06 
2023-05-09 13:10:28,603 INFO ofi_trade_8_5: -2.7187960450795516e-08 , std 1.024867394668065e-06 
2023-05-09 13:10:28,604 INFO ofi_trade_9_5: -2.636578855071959e-08 , std 9.74479121667516e-07 
2023-05-09 13:10:28,604 INFO ofi_trade_10_5: -3.073905917508999e-08 , std 9.95327762933548e-07 
2023-05-09 13:10:28,604 INFO ofi_add_1_10: -3.25142234958773e-07 , std 2.867118307440751e-06 
2023-05-09 13:10:28,604 INFO ofi_add_2_10: -8.862049240717285e-08 , std 1.8296357248200895e-06 
2023-05-09 13:10:28,604 INFO ofi_add_3_10: -3.8372649996243836e-08 , std 1.3677598824816088e-06 
2023-05-09 13:10:28,604 INFO ofi_add_4_10: -3.1792631785867e-08 , std 1.2367848857664105e-06 
2023-05-09 13:10:28,604 INFO ofi_add_5_10: -4.0795957491548386e-08 , std 1.290864444047033e-06 
2023-05-09 13:10:28,604 INFO ofi_add_6_10: -5.3886859737407464e-08 , std 1.4868425214406724e-06 
2023-05-09 13:10:28,604 INFO ofi_add_7_10: -4.0264659555414926e-08 , std 1.3517882794253502e-06 
2023-05-09 13:10:28,604 INFO ofi_add_8_10: -4.5831319400702946e-08 , std 1.335206237527602e-06 
2023-05-09 13:10:28,604 INFO ofi_add_9_10: -3.067064480745484e-08 , std 1.3793434114523837e-06 
2023-05-09 13:10:28,604 INFO ofi_add_10_10: -4.702595059990715e-08 , std 1.6372885264711497e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_1_10: -3.6283490560132704e-09 , std 8.00392346904136e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_2_10: -1.6404564910613494e-08 , std 9.774332808491177e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_3_10: -3.6900607414884875e-08 , std 1.52788642823703e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_4_10: -3.256780545916008e-08 , std 1.0619047488335448e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_5_10: -3.363422059473084e-08 , std 9.970309858784077e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_6_10: -3.007411132492183e-08 , std 9.862398280470798e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_7_10: -3.481827169552979e-08 , std 9.36873285995969e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_8_10: -3.519080468531755e-08 , std 9.92322074102576e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_9_10: -3.978518270205318e-08 , std 1.111085163980819e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_10_10: -4.136546044775909e-08 , std 9.598140955010042e-07 
2023-05-09 13:10:28,604 INFO ofi_trade_1_10: -1.8108555827245972e-10 , std 5.9480059058884986e-08 
2023-05-09 13:10:28,604 INFO ofi_trade_2_10: -8.781084354335456e-09 , std 4.886891174721881e-07 
2023-05-09 13:10:28,604 INFO ofi_trade_3_10: -2.3577614890993167e-08 , std 1.0795827261395572e-06 
2023-05-09 13:10:28,604 INFO ofi_trade_4_10: -2.7372879269009472e-08 , std 1.0678400903389677e-06 
2023-05-09 13:10:28,604 INFO ofi_trade_5_10: -3.772595056787725e-08 , std 1.3261333991660642e-06 
2023-05-09 13:10:28,604 INFO ofi_trade_6_10: -4.165829045957457e-08 , std 1.2823929823462943e-06 
2023-05-09 13:10:28,604 INFO ofi_trade_7_10: -4.3934487726387644e-08 , std 1.2851674943173212e-06 
2023-05-09 13:10:28,604 INFO ofi_trade_8_10: -3.183374610979691e-08 , std 1.1060184466796536e-06 
2023-05-09 13:10:28,604 INFO ofi_trade_9_10: -2.933414287528393e-08 , std 8.793224619073448e-07 
2023-05-09 13:10:28,604 INFO ofi_trade_10_10: -3.5054381467196755e-08 , std 9.738671388273808e-07 
2023-05-09 13:10:28,604 INFO ofi_add_1_20: -3.470563334381216e-07 , std 2.6679342418090223e-06 
2023-05-09 13:10:28,604 INFO ofi_add_2_20: -8.317804824291605e-08 , std 1.6101610335955144e-06 
2023-05-09 13:10:28,604 INFO ofi_add_3_20: -4.039629512510427e-08 , std 1.3297310215336322e-06 
2023-05-09 13:10:28,604 INFO ofi_add_4_20: -3.8994291374314065e-08 , std 1.3715469312890737e-06 
2023-05-09 13:10:28,604 INFO ofi_add_5_20: -4.3632070006423394e-08 , std 1.3807819604641812e-06 
2023-05-09 13:10:28,604 INFO ofi_add_6_20: -6.4043976922413e-08 , std 1.4750114331220478e-06 
