2023-05-09 15:22:55,071 INFO Starting...
2023-05-09 15:22:55,071 INFO Tickers: ['D']
2023-05-09 15:24:27,844 INFO ofi_trade_3_2: -3.361460323795678e-08 , std 2.4845222217928742e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_4_2: -2.9494054445526436e-08 , std 2.0831896732771927e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_5_2: -3.161245503803386e-08 , std 2.4551019661576766e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_6_2: -2.951568246959928e-08 , std 2.232755402285574e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_7_2: -1.760392304743192e-08 , std 1.7262860653697704e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_8_2: -6.758223195731764e-09 , std 8.637177242362669e-07 
2023-05-09 15:24:27,844 INFO ofi_trade_9_2: -5.728787194907401e-09 , std 9.319771652075409e-07 
2023-05-09 15:24:27,844 INFO ofi_trade_10_2: -2.8201442465337276e-09 , std 6.802082412652652e-07 
2023-05-09 15:24:27,844 INFO ofi_add_1_3: -7.027639588867106e-07 , std 7.612834264527606e-06 
2023-05-09 15:24:27,844 INFO ofi_add_2_3: -3.8368331454396875e-07 , std 5.993764398359441e-06 
2023-05-09 15:24:27,844 INFO ofi_add_3_3: -2.7087172770901635e-07 , std 5.50434692741501e-06 
2023-05-09 15:24:27,844 INFO ofi_add_4_3: -3.047688252187826e-07 , std 5.248905085350914e-06 
2023-05-09 15:24:27,844 INFO ofi_add_5_3: -2.5064543205915597e-07 , std 4.803069803789797e-06 
2023-05-09 15:24:27,844 INFO ofi_add_6_3: -2.024852891417337e-07 , std 4.153388546111671e-06 
2023-05-09 15:24:27,844 INFO ofi_add_7_3: -1.7281581961785467e-07 , std 4.189635226106927e-06 
2023-05-09 15:24:27,844 INFO ofi_add_8_3: -9.293613794875184e-08 , std 3.4397641970409067e-06 
2023-05-09 15:24:27,844 INFO ofi_add_9_3: -1.0030898838396436e-07 , std 3.696170172523648e-06 
2023-05-09 15:24:27,844 INFO ofi_add_10_3: -1.8943879808322405e-07 , std 4.3364069348603835e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_1_3: -1.1421786143527412e-07 , std 3.9877712113889804e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_2_3: -2.319933903627391e-07 , std 5.2390491452770315e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_3_3: -2.1990197582696737e-07 , std 4.753828951990828e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_4_3: -2.1206576068524867e-07 , std 4.435908288657475e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_5_3: -1.4893443064645398e-07 , std 4.146891026701298e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_6_3: -1.5598226748426863e-07 , std 4.373209050146272e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_7_3: -7.478685818011902e-08 , std 3.0875303059043256e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_8_3: -5.4226417361097725e-08 , std 3.1031702612832163e-06 
