2023-05-09 13:39:54,141 INFO Starting...
2023-05-09 13:39:54,141 INFO Tickers: ['MRK']
2023-05-09 13:41:23,269 INFO ofi_trade_3_2: -6.551988762480294e-08 , std 3.0312839722824804e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_4_2: -9.916838996520687e-08 , std 5.085386224385707e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_5_2: -5.731343541306339e-08 , std 3.1320038453891876e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_6_2: -2.044719760962924e-08 , std 1.9790769652271493e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_7_2: -8.792490157407494e-09 , std 1.6841618283355018e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_8_2: -8.556932918737334e-09 , std 1.004399069934226e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_9_2: -5.306440340417766e-09 , std 1.0390584061262732e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_10_2: -4.895382214119561e-09 , std 7.239126069574201e-07 
2023-05-09 13:41:23,269 INFO ofi_add_1_3: -1.0308532217536317e-06 , std 9.467898867654951e-06 
2023-05-09 13:41:23,269 INFO ofi_add_2_3: -3.740069798181563e-07 , std 6.3421465126406e-06 
2023-05-09 13:41:23,269 INFO ofi_add_3_3: -1.661965575773457e-07 , std 4.684432066333461e-06 
2023-05-09 13:41:23,269 INFO ofi_add_4_3: -2.249987256038094e-07 , std 5.174693250978769e-06 
2023-05-09 13:41:23,269 INFO ofi_add_5_3: -2.5308094835156053e-07 , std 5.299525475309044e-06 
2023-05-09 13:41:23,269 INFO ofi_add_6_3: -2.2072184667272877e-07 , std 5.2109692320176386e-06 
2023-05-09 13:41:23,269 INFO ofi_add_7_3: -1.7576361358297692e-07 , std 4.1457344590797834e-06 
2023-05-09 13:41:23,269 INFO ofi_add_8_3: -9.582071730936491e-08 , std 2.979700157987013e-06 
2023-05-09 13:41:23,269 INFO ofi_add_9_3: -9.742501876909382e-08 , std 3.1057105392445337e-06 
2023-05-09 13:41:23,269 INFO ofi_add_10_3: -7.195009503523275e-08 , std 3.033055866418565e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_1_3: -3.9398636843583264e-08 , std 3.279002800271482e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_2_3: -8.626064906521961e-08 , std 3.837335401849773e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_3_3: -1.9893675177066983e-07 , std 4.986060432223026e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_4_3: -2.2566592517708595e-07 , std 5.172474171455837e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_5_3: -1.6670800274236053e-07 , std 4.596927577908862e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_6_3: -9.597196317956719e-08 , std 3.4334858999783756e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_7_3: -3.483726539259813e-08 , std 2.326917692245115e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_8_3: -2.5373996756826984e-08 , std 2.2320490642337778e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_9_3: -1.5405699943439877e-08 , std 1.1605390250103407e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_10_3: -1.9471126820513977e-08 , std 1.2098698086051218e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_1_3: -6.4366294875451806e-09 , std 1.277466661955473e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_2_3: -4.46421884556763e-08 , std 3.5429680455143165e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_3_3: -6.513694315082073e-08 , std 2.9504213009849544e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_4_3: -6.664847809413958e-08 , std 3.6008790332127846e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_5_3: -9.158756501643118e-08 , std 4.242179525583358e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_6_3: -1.1979784709004756e-08 , std 1.882539139733236e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_7_3: -4.234297603553552e-09 , std 1.603291669799539e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_8_3: -1.97645473097672e-09 , std 7.113934809251553e-07 
2023-05-09 13:41:23,270 INFO ofi_trade_9_3: -1.7165784377672416e-09 , std 4.265699922438377e-07 
2023-05-09 13:41:23,270 INFO ofi_trade_10_3: -3.132300277380112e-09 , std 7.55694139503731e-07 
2023-05-09 13:41:23,270 INFO ofi_add_1_5: -1.453274252202208e-06 , std 1.0341213913868477e-05 
2023-05-09 13:41:23,270 INFO ofi_add_2_5: -4.7486580722771406e-07 , std 6.607434312033687e-06 
2023-05-09 13:41:23,270 INFO ofi_add_3_5: -2.011530739929628e-07 , std 5.026181242333942e-06 
2023-05-09 13:41:23,270 INFO ofi_add_4_5: -3.0318954098654825e-07 , std 5.6383874431975784e-06 
2023-05-09 13:41:23,270 INFO ofi_add_5_5: -3.02939409918114e-07 , std 5.769438702210738e-06 
2023-05-09 13:41:23,270 INFO ofi_add_6_5: -3.3724395264313386e-07 , std 5.719054267057915e-06 
2023-05-09 13:41:23,270 INFO ofi_add_7_5: -2.3836291203305067e-07 , std 4.866917627341153e-06 
2023-05-09 13:41:23,270 INFO ofi_add_8_5: -1.442748732839833e-07 , std 4.061319951436834e-06 
2023-05-09 13:41:23,270 INFO ofi_add_9_5: -1.5780358789206126e-07 , std 3.884910108030935e-06 
2023-05-09 13:41:23,270 INFO ofi_add_10_5: -1.3071877116166774e-07 , std 3.892101728319717e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_1_5: -6.79346045137667e-08 , std 4.323973610495522e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_2_5: -1.1882013777905495e-07 , std 4.067448396162598e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_3_5: -2.1368421249871423e-07 , std 4.459416467110635e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_4_5: -2.4696675935474136e-07 , std 5.368531360573916e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_5_5: -2.3488323615462844e-07 , std 4.907583192492418e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_6_5: -8.980840466654815e-08 , std 2.987503688793379e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_7_5: -2.662435000980865e-08 , std 2.3857640959058966e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_8_5: -2.63629989255102e-08 , std 2.2154999133095886e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_9_5: -1.8844567177776647e-08 , std 1.8493292295925631e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_10_5: -2.0438406992427046e-09 , std 1.2527146517305991e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_1_5: -1.139265632172321e-09 , std 4.293868714797715e-07 
2023-05-09 13:41:23,270 INFO ofi_trade_2_5: -4.436917491028505e-08 , std 3.080520935287859e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_3_5: -1.109191667970726e-07 , std 3.7904102674235485e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_4_5: -1.1200452601652563e-07 , std 3.7972040936365132e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_5_5: -1.0343065867585607e-07 , std 4.273772014002316e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_6_5: -3.029385983965956e-08 , std 2.1092125925914776e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_7_5: -1.372890057766201e-08 , std 1.1970250589709746e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_8_5: -5.407214867495678e-09 , std 6.105135369715767e-07 
2023-05-09 13:41:23,270 INFO ofi_trade_9_5: -5.8753311262903635e-09 , std 9.113749586258725e-07 
2023-05-09 13:41:23,270 INFO ofi_trade_10_5: -4.764178931358455e-09 , std 1.0331856865654005e-06 
2023-05-09 13:41:23,270 INFO ofi_add_1_10: -1.7781311341612436e-06 , std 1.0852994658258234e-05 
2023-05-09 13:41:23,270 INFO ofi_add_2_10: -5.962730695497195e-07 , std 7.436488826910488e-06 
2023-05-09 13:41:23,270 INFO ofi_add_3_10: -2.635116485580843e-07 , std 5.149368763506328e-06 
2023-05-09 13:41:23,270 INFO ofi_add_4_10: -3.496168061980869e-07 , std 5.585562584164733e-06 
2023-05-09 13:41:23,270 INFO ofi_add_5_10: -3.7828461556093813e-07 , std 5.9652906715618395e-06 
2023-05-09 13:41:23,270 INFO ofi_add_6_10: -3.5831359116518565e-07 , std 5.191260082747779e-06 
2023-05-09 13:41:23,270 INFO ofi_add_7_10: -2.7225604531167554e-07 , std 4.4619896912809166e-06 
2023-05-09 13:41:23,270 INFO ofi_add_8_10: -1.7723077802446173e-07 , std 3.902572160002528e-06 
2023-05-09 13:41:23,270 INFO ofi_add_9_10: -1.5531996408830818e-07 , std 3.7062722284709415e-06 
2023-05-09 13:41:23,270 INFO ofi_add_10_10: -1.8937813136257575e-07 , std 4.379514141734271e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_1_10: -6.960080767614146e-08 , std 4.137159798012763e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_2_10: -1.178613222489994e-07 , std 4.733641137680776e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_3_10: -2.79903186942496e-07 , std 5.146551928783649e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_4_10: -2.952123214407112e-07 , std 5.359312979414965e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_5_10: -2.327840137852455e-07 , std 4.881139142294854e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_6_10: -8.080173599529019e-08 , std 2.6569669477378675e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_7_10: -2.6440587562138364e-08 , std 1.7547586280194703e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_8_10: -2.963637583924552e-08 , std 2.0396319256441927e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_9_10: -1.1098574226813601e-08 , std 1.1833592989482611e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_10_10: -1.9389574933116446e-08 , std 1.3269822918690065e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_1_10: -3.448972708348969e-09 , std 6.848692277785534e-07 
2023-05-09 13:41:23,271 INFO ofi_trade_2_10: -4.673089847758403e-08 , std 2.769413234103037e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_3_10: -1.1549744479637526e-07 , std 3.938184716410097e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_4_10: -8.76458120232755e-08 , std 3.419603233137572e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_5_10: -9.64343636179501e-08 , std 3.3860394154500017e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_6_10: -3.479249483885191e-08 , std 2.2697486268787353e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_7_10: -5.3047702838307595e-09 , std 1.0042031444100025e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_8_10: -3.0044963611563026e-09 , std 5.795043593254889e-07 
2023-05-09 13:41:23,271 INFO ofi_trade_9_10: -5.563525200643712e-09 , std 9.404914332879694e-07 
2023-05-09 13:41:23,271 INFO ofi_trade_10_10: 4.3499932612432006e-11 , std 4.882255613364233e-07 
2023-05-09 13:41:23,271 INFO ofi_add_1_20: -1.6559878738347176e-06 , std 9.87955662760602e-06 
2023-05-09 13:41:23,271 INFO ofi_add_2_20: -6.709450773518605e-07 , std 7.384868285311144e-06 
2023-05-09 13:41:23,271 INFO ofi_add_3_20: -2.5683150225049014e-07 , std 4.977783734417166e-06 
2023-05-09 13:41:23,271 INFO ofi_add_4_20: -3.5802862127029754e-07 , std 5.901764345207125e-06 
2023-05-09 13:41:23,271 INFO ofi_add_5_20: -3.373020800669387e-07 , std 5.5566459342588705e-06 
2023-05-09 13:41:23,271 INFO ofi_add_6_20: -4.230530566018947e-07 , std 5.8223318119197995e-06 
2023-05-09 13:41:23,271 INFO ofi_add_7_20: -3.3306992790110245e-07 , std 4.760078960199442e-06 
2023-05-09 13:41:23,271 INFO ofi_add_8_20: -1.6578404008790729e-07 , std 3.4502641888700573e-06 
2023-05-09 13:41:23,271 INFO ofi_add_9_20: -1.7422514975405496e-07 , std 3.921480587221058e-06 
2023-05-09 13:41:23,271 INFO ofi_add_10_20: -2.2192220435023697e-07 , std 4.5395256463085135e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_1_20: -1.024660408654171e-07 , std 4.29316757964258e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_2_20: -1.777545073501981e-07 , std 4.493703345469912e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_3_20: -2.796174404020335e-07 , std 5.2231019982847825e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_4_20: -3.686397482105325e-07 , std 5.695926168808036e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_5_20: -2.7087517508060526e-07 , std 4.987475849075591e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_6_20: -1.1063155218343707e-07 , std 3.3637823534013193e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_7_20: -2.6669294220674026e-08 , std 1.5544090719291908e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_8_20: -3.152362576271807e-08 , std 1.6865546443258185e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_9_20: -2.8795663047546554e-08 , std 1.5841426532950375e-06 
2023-05-09 13:41:23,271 INFO ofi_cancel_10_20: -1.2689168018455188e-08 , std 8.674737899448957e-07 
2023-05-09 13:41:23,271 INFO ofi_trade_1_20: -1.6410933926846544e-09 , std 7.167953010670209e-07 
2023-05-09 13:41:23,271 INFO ofi_trade_2_20: -7.961647207013727e-08 , std 3.484995672403266e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_3_20: -1.2826742403778614e-07 , std 4.345081292678278e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_4_20: -1.1425497488266122e-07 , std 3.852568803296906e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_5_20: -1.0428963856545697e-07 , std 3.0904811906742798e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_6_20: -3.7184352132899605e-08 , std 2.588650727615862e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_7_20: -1.7452620282846392e-08 , std 1.5080032531225276e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_8_20: -8.211121246902935e-09 , std 1.7803480419308755e-06 
2023-05-09 13:41:23,271 INFO ofi_trade_9_20: -2.2110253764544136e-09 , std 1.1217422957565095e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_10_20: -1.0604775841099605e-08 , std 1.202020876312526e-06 
2023-05-09 13:41:23,272 INFO ofi_add_1_30: -1.9589141623163693e-06 , std 1.094843709754645e-05 
2023-05-09 13:41:23,272 INFO ofi_add_2_30: -6.561180445377541e-07 , std 7.098242914130943e-06 
2023-05-09 13:41:23,272 INFO ofi_add_3_30: -3.513700967357772e-07 , std 5.6167245194558296e-06 
2023-05-09 13:41:23,272 INFO ofi_add_4_30: -3.481383020281667e-07 , std 5.541942248712309e-06 
2023-05-09 13:41:23,272 INFO ofi_add_5_30: -4.1085784648919333e-07 , std 6.06777701887178e-06 
2023-05-09 13:41:23,272 INFO ofi_add_6_30: -4.779887795719112e-07 , std 5.9238448396286785e-06 
2023-05-09 13:41:23,272 INFO ofi_add_7_30: -3.2541710890346737e-07 , std 4.769458956584013e-06 
2023-05-09 13:41:23,272 INFO ofi_add_8_30: -2.0245406879898916e-07 , std 4.2841349351443365e-06 
2023-05-09 13:41:23,272 INFO ofi_add_9_30: -1.826624490255277e-07 , std 4.004634592716105e-06 
2023-05-09 13:41:23,272 INFO ofi_add_10_30: -1.9403738907500698e-07 , std 4.021732183473261e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_1_30: -9.832119644991491e-08 , std 4.494603279064895e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_2_30: -1.7145623029275776e-07 , std 4.605719243301652e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_3_30: -3.623073984843076e-07 , std 6.3623436547061885e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_4_30: -3.6912683551034966e-07 , std 5.864856605043703e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_5_30: -2.8163965234877617e-07 , std 5.019968208810562e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_6_30: -1.0794461406643317e-07 , std 2.97723852980702e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_7_30: -3.691116488719374e-08 , std 2.4314695524517646e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_8_30: -2.4007777538784324e-08 , std 1.7400244867754972e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_9_30: -2.5825105178005835e-08 , std 1.5950909817137684e-06 
2023-05-09 13:41:23,272 INFO ofi_cancel_10_30: -9.881645328564103e-09 , std 1.4169687504788983e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_1_30: -1.4483807805140786e-09 , std 5.077344588581313e-07 
2023-05-09 13:41:23,272 INFO ofi_trade_2_30: -6.79718887765344e-08 , std 3.175222659068463e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_3_30: -1.7189847934720266e-07 , std 4.520421939787001e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_4_30: -1.314055138658293e-07 , std 4.3324444097105555e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_5_30: -1.2919743097951516e-07 , std 4.548991172048033e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_6_30: -4.087546033668483e-08 , std 2.324749175069618e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_7_30: -1.8692993472316776e-08 , std 1.9150759471572718e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_8_30: -4.9457410851050525e-09 , std 1.7076781179757389e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_9_30: -4.838174397935174e-09 , std 1.3658390836957197e-06 
2023-05-09 13:41:23,272 INFO ofi_trade_10_30: -7.364044697184407e-10 , std 1.4768364640403178e-06 
2023-05-09 13:41:23,272 INFO used_intercept: 0.9872293198344784 , std 0.11228352458678711 
2023-05-09 13:41:23,272 INFO used_ofi_add_1_1: 0.017531437065606042 , std 0.13124056453711536 
2023-05-09 13:41:23,272 INFO used_ofi_add_2_1: 0.006814712144951991 , std 0.08226950737261914 
2023-05-09 13:41:23,272 INFO used_ofi_add_3_1: 0.003219034992567595 , std 0.05664514812659792 
2023-05-09 13:41:23,272 INFO used_ofi_add_4_1: 0.004755735004620144 , std 0.06879765976532903 
2023-05-09 13:41:23,272 INFO used_ofi_add_5_1: 0.005785223574786068 , std 0.07584032412230188 
2023-05-09 13:41:23,272 INFO used_ofi_add_6_1: 0.004047647744164558 , std 0.06349223804453358 
2023-05-09 13:41:23,272 INFO used_ofi_add_7_1: 0.002018801976618055 , std 0.044885703906670085 
2023-05-09 13:41:23,272 INFO used_ofi_add_8_1: 0.0011801454340926438 , std 0.034332967987737883 
2023-05-09 13:41:23,272 INFO used_ofi_add_9_1: 0.0014563496846249648 , std 0.03813435105283761 
2023-05-09 13:41:23,272 INFO used_ofi_add_10_1: 0.0014061307299827247 , std 0.037472036592009816 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_1_1: 0.0014161745209111728 , std 0.037605438046079104 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_2_1: 0.0015417219075167731 , std 0.03923448739408553 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_3_1: 0.0025912980595395926 , std 0.05083879654266237 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_4_1: 0.0033998232292796592 , std 0.05820880029075765 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_5_1: 0.0031437065606042345 , std 0.05598056510669616 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_6_1: 0.0011148607930577318 , std 0.03337091365950046 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_7_1: 0.0006377807239564501 , std 0.02524626625274715 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_8_1: 0.00041179542806636936 , std 0.020288564576918522 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_9_1: 0.0003866859507452493 , std 0.019660529614452037 
2023-05-09 13:41:23,272 INFO used_ofi_cancel_10_1: 0.00029126993692499297 , std 0.017064146587182045 
2023-05-09 13:41:23,272 INFO used_ofi_trade_1_1: 2.5109477321120085e-05 , std 0.005010872861614906 
2023-05-09 13:41:23,272 INFO used_ofi_trade_2_1: 0.00034148889156723316 , std 0.01847626252530985 
2023-05-09 13:41:23,273 INFO used_ofi_trade_3_1: 0.0005624522919930898 , std 0.0237094061379091 
2023-05-09 13:41:23,273 INFO used_ofi_trade_4_1: 0.0006679120967417943 , std 0.02583536317091015 
2023-05-09 13:41:23,273 INFO used_ofi_trade_5_1: 0.00058756176931421 , std 0.0242325512582033 
2023-05-09 13:41:23,273 INFO used_ofi_trade_6_1: 0.00023602908681852878 , std 0.015361424969341366 
2023-05-09 13:41:23,273 INFO used_ofi_trade_7_1: 0.00011048170021292837 , std 0.010510446898531308 
2023-05-09 13:41:23,273 INFO used_ofi_trade_8_1: 6.02627455706882e-05 , std 0.007762674408487351 
