2023-05-09 14:19:15,166 INFO Starting...
2023-05-09 14:19:15,166 INFO Tickers: ['AVGO']
2023-05-09 14:20:50,987 INFO ofi_trade_3_2: -4.227949590815452e-09 , std 4.415478696885853e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_4_2: -1.867590539219196e-09 , std 6.321092064137411e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_5_2: -3.2484662482119797e-09 , std 4.888330529376364e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_6_2: -2.993835906563765e-09 , std 6.319484716195866e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_7_2: -4.014283457782023e-09 , std 5.763615101030995e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_8_2: -6.1093763440118695e-09 , std 9.262849291894318e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_9_2: -2.437085205534768e-09 , std 4.768523327437118e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_10_2: -4.1228085889359995e-09 , std 6.180699963746691e-07 
2023-05-09 14:20:50,987 INFO ofi_add_1_3: -4.1997783084101256e-08 , std 2.0551555180701534e-06 
2023-05-09 14:20:50,987 INFO ofi_add_2_3: -9.802146192431727e-08 , std 2.331490094467322e-06 
2023-05-09 14:20:50,987 INFO ofi_add_3_3: -1.0443398712842412e-07 , std 2.2923630702164575e-06 
2023-05-09 14:20:50,987 INFO ofi_add_4_3: -1.2240439688594672e-07 , std 2.4345711648303764e-06 
2023-05-09 14:20:50,987 INFO ofi_add_5_3: -1.1116536094311483e-07 , std 2.2247096190528103e-06 
2023-05-09 14:20:50,987 INFO ofi_add_6_3: -1.0973937275197724e-07 , std 2.356458423916463e-06 
2023-05-09 14:20:50,987 INFO ofi_add_7_3: -9.683786120411888e-08 , std 2.055565036991065e-06 
2023-05-09 14:20:50,987 INFO ofi_add_8_3: -8.923134141320006e-08 , std 2.046048739275544e-06 
2023-05-09 14:20:50,987 INFO ofi_add_9_3: -9.229104996434517e-08 , std 2.1854516303142053e-06 
2023-05-09 14:20:50,987 INFO ofi_add_10_3: -9.868988663617095e-08 , std 2.3291399438600853e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_1_3: -5.613468422236033e-09 , std 7.214524729168498e-07 
2023-05-09 14:20:50,987 INFO ofi_cancel_2_3: -3.370757212285581e-08 , std 1.8625998035431243e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_3_3: -4.0411091407255e-08 , std 1.925742147563764e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_4_3: -3.689900677356987e-08 , std 1.576052613936556e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_5_3: -4.6469195877749224e-08 , std 1.8785694659654572e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_6_3: -3.304272948955855e-08 , std 1.4713247404834925e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_7_3: -3.897002120441701e-08 , std 1.5064610889128794e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_8_3: -4.2587591013496996e-08 , std 1.6067611624388714e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_9_3: -3.953488907669332e-08 , std 1.508354677055584e-06 
2023-05-09 14:20:50,987 INFO ofi_cancel_10_3: -6.637202460362926e-08 , std 1.968849903590301e-06 
2023-05-09 14:20:50,987 INFO ofi_trade_1_3: -5.77846123166212e-09 , std 6.776205144527432e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_2_3: -4.706579438241088e-09 , std 6.418375176872646e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_3_3: -2.794545236708833e-09 , std 5.582897351297187e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_4_3: -3.263283044441074e-09 , std 4.660332405295704e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_5_3: -4.85968328069212e-09 , std 6.69133005757334e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_6_3: -3.2253006608772458e-09 , std 4.073892954750192e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_7_3: -2.453587478185762e-09 , std 4.898087725726006e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_8_3: -5.207669139226958e-09 , std 6.543647450281663e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_9_3: -1.9136787151529293e-09 , std 2.6879788115775455e-07 
2023-05-09 14:20:50,987 INFO ofi_trade_10_3: -3.213650654491232e-09 , std 5.163827844016531e-07 
2023-05-09 14:20:50,987 INFO ofi_add_1_5: -4.852403427774453e-08 , std 1.8678313385995542e-06 
2023-05-09 14:20:50,988 INFO ofi_add_2_5: -1.2512724935718475e-07 , std 2.5143952473564046e-06 
