2023-05-09 13:50:05,672 INFO Starting...
2023-05-09 13:50:05,672 INFO Tickers: ['PEP']
2023-05-09 13:51:37,364 INFO ofi_trade_3_2: -1.601350118951348e-08 , std 1.3789098968127024e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_4_2: -2.405461089090555e-08 , std 2.6879741225108463e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_5_2: -2.346693258037827e-08 , std 1.3959985556045761e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_6_2: -3.817156482693793e-08 , std 2.201010202992905e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_7_2: -2.0223004675532456e-08 , std 1.3670797697889273e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_8_2: -1.7534161363286447e-08 , std 1.3368017499810382e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_9_2: -3.410857665418765e-09 , std 9.298214224485044e-07 
2023-05-09 13:51:37,364 INFO ofi_trade_10_2: -4.1598795650393936e-09 , std 6.830278152589435e-07 
2023-05-09 13:51:37,364 INFO ofi_add_1_3: -2.470731179532323e-07 , std 4.106096354021908e-06 
2023-05-09 13:51:37,364 INFO ofi_add_2_3: -1.2170970043592608e-07 , std 2.99764706823998e-06 
2023-05-09 13:51:37,364 INFO ofi_add_3_3: -1.3333572728092317e-07 , std 3.190374821601429e-06 
2023-05-09 13:51:37,364 INFO ofi_add_4_3: -1.7248950144654444e-07 , std 3.25021951559451e-06 
2023-05-09 13:51:37,364 INFO ofi_add_5_3: -1.761593536519245e-07 , std 3.1617921627471514e-06 
2023-05-09 13:51:37,364 INFO ofi_add_6_3: -1.9790947926305777e-07 , std 3.3743292988952162e-06 
2023-05-09 13:51:37,364 INFO ofi_add_7_3: -1.582723122147807e-07 , std 3.320896282109073e-06 
2023-05-09 13:51:37,364 INFO ofi_add_8_3: -1.7111313656438697e-07 , std 3.177656237560983e-06 
2023-05-09 13:51:37,364 INFO ofi_add_9_3: -1.2955248636288062e-07 , std 2.9446595481575877e-06 
2023-05-09 13:51:37,364 INFO ofi_add_10_3: -1.425063582724265e-07 , std 3.104688820024748e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_1_3: -2.3932038871653245e-08 , std 1.6601289940019816e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_2_3: -8.280312455168032e-08 , std 2.54613344162384e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_3_3: -1.1199695254684294e-07 , std 2.8753278857212944e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_4_3: -1.279094435011458e-07 , std 2.987879874038215e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_5_3: -1.171588486824841e-07 , std 2.79721976749069e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_6_3: -1.059320129054129e-07 , std 2.812937751946273e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_7_3: -6.55906649460778e-08 , std 2.627405332169602e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_8_3: -4.663650977103131e-08 , std 1.970127670014373e-06 
