2023-05-09 14:02:04,111 INFO Starting...
2023-05-09 14:02:04,111 INFO Tickers: ['BMY']
2023-05-09 14:03:33,508 INFO ofi_trade_3_2: -5.760234779913302e-08 , std 3.881961984133599e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_4_2: -4.475093335320097e-08 , std 3.265390973975857e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_5_2: -3.1458533129016284e-08 , std 2.7186859118111117e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_6_2: -2.7522852340476596e-08 , std 2.55812144294632e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_7_2: -2.4545402729704532e-08 , std 2.7025220385641126e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_8_2: -5.152476569015691e-09 , std 1.6306096730080648e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_9_2: -5.004380555352122e-09 , std 8.068904986069272e-07 
2023-05-09 14:03:33,508 INFO ofi_trade_10_2: -8.93129980777662e-09 , std 2.0015823324897247e-06 
2023-05-09 14:03:33,508 INFO ofi_add_1_3: -1.2697803370015313e-06 , std 1.0994791608765253e-05 
2023-05-09 14:03:33,508 INFO ofi_add_2_3: -3.9769723848009696e-07 , std 7.384353484462938e-06 
2023-05-09 14:03:33,508 INFO ofi_add_3_3: -2.884024032526251e-07 , std 6.5056266020409165e-06 
2023-05-09 14:03:33,508 INFO ofi_add_4_3: -2.401598205200659e-07 , std 5.62289468822198e-06 
2023-05-09 14:03:33,508 INFO ofi_add_5_3: -1.9984518389588581e-07 , std 5.524033605541365e-06 
2023-05-09 14:03:33,508 INFO ofi_add_6_3: -1.667586940900675e-07 , std 5.602256986209784e-06 
2023-05-09 14:03:33,508 INFO ofi_add_7_3: -1.65408409065945e-07 , std 5.222247705781855e-06 
2023-05-09 14:03:33,508 INFO ofi_add_8_3: -1.2017218687981197e-07 , std 4.120257989405066e-06 
2023-05-09 14:03:33,508 INFO ofi_add_9_3: -1.3436992571257414e-07 , std 5.001429220463011e-06 
2023-05-09 14:03:33,508 INFO ofi_add_10_3: -8.809332049584446e-08 , std 4.0606426028881885e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_1_3: -1.1060109890506021e-07 , std 5.611818732884321e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_2_3: -1.9334620597462273e-07 , std 5.788275526685004e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_3_3: -1.9038453109914985e-07 , std 5.762740507968806e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_4_3: -1.4749728066511115e-07 , std 4.748770107084927e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_5_3: -1.184491260443827e-07 , std 4.572450896885835e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_6_3: -5.890199591490159e-08 , std 3.4944382092096906e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_7_3: -5.67870622217775e-08 , std 3.5279363268203505e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_8_3: -3.1950227363987456e-08 , std 2.2772129196140023e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_9_3: -2.3749897918675548e-08 , std 2.6913976252244793e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_10_3: -3.5863541131319606e-08 , std 3.263287006509833e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_1_3: -3.222727425581193e-10 , std 9.526323738307228e-07 
2023-05-09 14:03:33,509 INFO ofi_trade_2_3: -4.198824374666119e-08 , std 3.538248633601195e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_3_3: -8.512222798820629e-08 , std 4.56236690047106e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_4_3: -4.3014409804144875e-08 , std 3.2027469440209157e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_5_3: -4.938375455794566e-08 , std 3.1823796818590296e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_6_3: -3.120844970725248e-08 , std 2.630337521446882e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_7_3: -5.7814099545536125e-09 , std 1.738823725308781e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_8_3: -2.5190109802244946e-08 , std 2.6093499658540147e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_9_3: -2.3629519429892742e-08 , std 2.022653526506882e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_10_3: -1.1932768680407115e-08 , std 1.6624356639192517e-06 
2023-05-09 14:03:33,509 INFO ofi_add_1_5: -1.6946965206634713e-06 , std 1.1695914077395527e-05 
2023-05-09 14:03:33,509 INFO ofi_add_2_5: -6.557531929999776e-07 , std 8.747923086104554e-06 
2023-05-09 14:03:33,509 INFO ofi_add_3_5: -2.849822271400597e-07 , std 5.9822952846051675e-06 
2023-05-09 14:03:33,509 INFO ofi_add_4_5: -3.54500593939657e-07 , std 6.060302640058836e-06 
