2023-05-09 13:13:35,798 INFO Starting...
2023-05-09 13:13:35,798 INFO Tickers: ['FB']
2023-05-09 13:15:10,582 INFO ofi_trade_3_2: -1.1417543253564873e-08 , std 8.530742378768287e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_4_2: -1.6028082292355238e-08 , std 9.37213351044208e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_5_2: -1.811296795492826e-08 , std 9.093172588272765e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_6_2: -1.4531016516212609e-08 , std 7.977165287910553e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_7_2: -2.5319111301239736e-08 , std 1.2180965555517347e-06 
2023-05-09 13:15:10,582 INFO ofi_trade_8_2: -1.9059857087638916e-08 , std 9.455387441759449e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_9_2: -2.3741273842021505e-08 , std 1.1267272930099202e-06 
2023-05-09 13:15:10,582 INFO ofi_trade_10_2: -2.551775087576785e-08 , std 1.103473966164801e-06 
2023-05-09 13:15:10,582 INFO ofi_add_1_3: -1.5904440777693943e-07 , std 2.4201571904123162e-06 
2023-05-09 13:15:10,582 INFO ofi_add_2_3: -1.0546728343945289e-07 , std 2.035086854880287e-06 
2023-05-09 13:15:10,582 INFO ofi_add_3_3: -8.415935199759644e-08 , std 2.061885283026133e-06 
2023-05-09 13:15:10,582 INFO ofi_add_4_3: -4.472617974383097e-08 , std 1.3638005671281997e-06 
2023-05-09 13:15:10,582 INFO ofi_add_5_3: -5.5553336613778406e-08 , std 1.6025032777346165e-06 
2023-05-09 13:15:10,582 INFO ofi_add_6_3: -6.946910649286143e-08 , std 1.682894263131785e-06 
2023-05-09 13:15:10,582 INFO ofi_add_7_3: -4.980241993537448e-08 , std 1.5853045515732289e-06 
2023-05-09 13:15:10,582 INFO ofi_add_8_3: -6.115908093954959e-08 , std 1.7080509568703483e-06 
2023-05-09 13:15:10,582 INFO ofi_add_9_3: -7.795041953043383e-08 , std 1.9216971540336596e-06 
2023-05-09 13:15:10,582 INFO ofi_add_10_3: -1.0261582703629746e-07 , std 2.166146735508651e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_1_3: -9.582186007843822e-09 , std 7.705233594113071e-07 
2023-05-09 13:15:10,582 INFO ofi_cancel_2_3: -2.9353447398192003e-08 , std 1.3862672705868935e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_3_3: -3.8997695948108385e-08 , std 1.3090949814766813e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_4_3: -3.494960354323451e-08 , std 1.325715012090856e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_5_3: -4.5349668942922066e-08 , std 1.3827612315783012e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_6_3: -3.766668014394953e-08 , std 1.2120760430123172e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_7_3: -4.647438698096942e-08 , std 1.3249932510773654e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_8_3: -5.1289542250956954e-08 , std 1.3231251066066428e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_9_3: -6.326769893598441e-08 , std 1.687951777397519e-06 
2023-05-09 13:15:10,582 INFO ofi_cancel_10_3: -6.399013388513662e-08 , std 1.5028699793999015e-06 
2023-05-09 13:15:10,582 INFO ofi_trade_1_3: 0.0 , std 0.0 
2023-05-09 13:15:10,582 INFO ofi_trade_2_3: -9.504578064283116e-09 , std 6.863778977806692e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_3_3: -1.1361483471798609e-08 , std 7.459642949235771e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_4_3: -2.5486076502433804e-08 , std 1.1796014230336665e-06 
2023-05-09 13:15:10,582 INFO ofi_trade_5_3: -1.7648582462199357e-08 , std 9.56134618885294e-07 
2023-05-09 13:15:10,582 INFO ofi_trade_6_3: -4.3584203721548514e-08 , std 1.5743628573686367e-06 
2023-05-09 13:15:10,582 INFO ofi_trade_7_3: -4.435533204157007e-08 , std 1.4464564564996741e-06 
2023-05-09 13:15:10,582 INFO ofi_trade_8_3: -2.857553575434875e-08 , std 1.0748033316290606e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_9_3: -2.9615250271057956e-08 , std 1.0898465202059771e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_10_3: -3.2384047007435314e-08 , std 1.134104964326537e-06 
2023-05-09 13:15:10,583 INFO ofi_add_1_5: -2.0502725078282746e-07 , std 2.622919477294125e-06 
2023-05-09 13:15:10,583 INFO ofi_add_2_5: -9.964516130763681e-08 , std 1.921243457496042e-06 
2023-05-09 13:15:10,583 INFO ofi_add_3_5: -6.094431643308902e-08 , std 1.654902006870212e-06 
2023-05-09 13:15:10,583 INFO ofi_add_4_5: -5.367125991371923e-08 , std 1.465450791830399e-06 
2023-05-09 13:15:10,583 INFO ofi_add_5_5: -6.289235762464215e-08 , std 1.510298215049897e-06 
2023-05-09 13:15:10,583 INFO ofi_add_6_5: -6.258816073603037e-08 , std 1.5971078964280311e-06 
2023-05-09 13:15:10,583 INFO ofi_add_7_5: -7.399840602383904e-08 , std 1.7012578066485794e-06 
2023-05-09 13:15:10,583 INFO ofi_add_8_5: -5.482262989556053e-08 , std 1.4739706728641618e-06 
2023-05-09 13:15:10,583 INFO ofi_add_9_5: -6.801200312965786e-08 , std 1.704565269624335e-06 
2023-05-09 13:15:10,583 INFO ofi_add_10_5: -1.0082450316042121e-07 , std 2.157983108992792e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_1_5: -1.4427077245653195e-08 , std 8.593914509619537e-07 
2023-05-09 13:15:10,583 INFO ofi_cancel_2_5: -2.2019890430686663e-08 , std 9.125390931937202e-07 
2023-05-09 13:15:10,583 INFO ofi_cancel_3_5: -4.0868063525357954e-08 , std 1.2892586877462177e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_4_5: -3.8759803115621994e-08 , std 1.1816861201526896e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_5_5: -4.6369585075634134e-08 , std 1.1955402672464043e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_6_5: -4.8087882313406335e-08 , std 1.3765826393157382e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_7_5: -5.4152457148463505e-08 , std 1.37111037075867e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_8_5: -5.503391282130191e-08 , std 1.3218686072867265e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_9_5: -6.386526884090058e-08 , std 1.7504769021921105e-06 
