2023-05-09 08:39:46,962 INFO Starting...
2023-05-09 08:39:46,962 INFO Tickers: ['GOOGL']
2023-05-09 08:41:13,446 INFO ofi_cancel_6_2: -5.4516926806351855e-08 , std 1.8926660620547165e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_7_2: -5.8287862374616634e-08 , std 1.7615276270748946e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_8_2: -5.369006755428254e-08 , std 1.6414492669575198e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_9_2: -6.779412851953394e-08 , std 1.6206586255061455e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_10_2: -7.242859334121093e-08 , std 1.7940406945576631e-06 
2023-05-09 08:41:13,446 INFO ofi_trade_1_2: -1.2236282685968246e-09 , std 5.16573063358609e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_2_2: -8.062218260345689e-10 , std 6.948904911846538e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_3_2: -5.320866502219138e-09 , std 6.593896117389206e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_4_2: -3.931920760997896e-09 , std 5.995507310750787e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_5_2: -3.07204593277997e-09 , std 5.769009537816257e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_6_2: -1.7860525917530172e-09 , std 3.6702304325584645e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_7_2: -8.345866570326042e-09 , std 9.139825439805843e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_8_2: -5.238270700130674e-09 , std 5.928531277479647e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_9_2: -3.1782316959389487e-09 , std 6.213014239014305e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_10_2: -6.3809459689884235e-09 , std 7.872506780248011e-07 
2023-05-09 08:41:13,446 INFO ofi_add_1_3: -6.53071364160676e-08 , std 2.5668829493802808e-06 
2023-05-09 08:41:13,446 INFO ofi_add_2_3: -9.354892620938936e-08 , std 2.205217939923651e-06 
2023-05-09 08:41:13,446 INFO ofi_add_3_3: -8.68789830316279e-08 , std 2.0088596938740916e-06 
2023-05-09 08:41:13,446 INFO ofi_add_4_3: -8.777586309756823e-08 , std 1.983037170156613e-06 
2023-05-09 08:41:13,446 INFO ofi_add_5_3: -5.792729500031935e-08 , std 1.7796642626199144e-06 
2023-05-09 08:41:13,446 INFO ofi_add_6_3: -7.43176924386692e-08 , std 1.915321424780434e-06 
2023-05-09 08:41:13,446 INFO ofi_add_7_3: -5.3249615348223904e-08 , std 1.9755760141236086e-06 
2023-05-09 08:41:13,446 INFO ofi_add_8_3: -4.227318974855629e-08 , std 1.7914421846123752e-06 
2023-05-09 08:41:13,446 INFO ofi_add_9_3: -6.714072268054532e-08 , std 1.8068633159080602e-06 
2023-05-09 08:41:13,446 INFO ofi_add_10_3: -7.345961579503463e-08 , std 1.934039399862254e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_1_3: -1.419931942636238e-08 , std 1.4975129521640917e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_2_3: -1.7923744008944397e-08 , std 1.8608551611862966e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_3_3: -3.9691060395235923e-08 , std 1.8663395740391204e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_4_3: -4.2690631752616944e-08 , std 1.9065280991729462e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_5_3: -4.56857919438525e-08 , std 2.017598840380422e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_6_3: -5.563252808344674e-08 , std 1.8408980546630404e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_7_3: -5.871078082124105e-08 , std 1.8527838266736706e-06 
2023-05-09 08:41:13,446 INFO ofi_cancel_8_3: -6.917406168705359e-08 , std 1.717460735694729e-06 
2023-05-09 08:41:13,447 INFO ofi_cancel_9_3: -6.434834186498136e-08 , std 1.679162025059595e-06 
2023-05-09 08:41:13,447 INFO ofi_cancel_10_3: -6.930447108742284e-08 , std 1.7406164078028147e-06 
2023-05-09 08:41:13,447 INFO ofi_trade_1_3: -2.4247411065414303e-09 , std 8.008314563289189e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_2_3: -1.0096867119452567e-08 , std 1.0873441285900892e-06 
2023-05-09 08:41:13,447 INFO ofi_trade_3_3: -9.016272282812231e-09 , std 8.284035681617567e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_4_3: -2.9707462816949757e-09 , std 6.619795039678395e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_5_3: -2.4058360641731827e-09 , std 5.446961473957192e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_6_3: -3.6320127660927908e-09 , std 6.357644877810277e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_7_3: -8.588739116039852e-09 , std 8.784089150624066e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_8_3: -1.7326325793761387e-09 , std 4.768482577638119e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_9_3: -3.366571578749999e-09 , std 6.37619568925751e-07 
2023-05-09 08:41:13,447 INFO ofi_trade_10_3: -6.329689063299367e-09 , std 6.736170327179136e-07 
2023-05-09 08:41:13,447 INFO used_intercept: 0.9864138501093742 , std 0.11576513474174871 
2023-05-09 08:41:13,447 INFO used_ofi_add_1_1: 0.012837199106739187 , std 0.11257177899381854 
2023-05-09 08:41:13,447 INFO used_ofi_add_2_1: 0.010298073278440721 , std 0.10095554945218509 
2023-05-09 08:41:13,447 INFO used_ofi_add_3_1: 0.010709082854963853 , std 0.10292909403744585 
2023-05-09 08:41:13,447 INFO used_ofi_add_4_1: 0.011681805519401935 , std 0.10744924820215729 
2023-05-09 08:41:13,447 INFO used_ofi_add_5_1: 0.011974078996040608 , std 0.10876902329357008 
2023-05-09 08:41:13,447 INFO used_ofi_add_6_1: 0.013819055317322228 , std 0.11673940648923577 
2023-05-09 08:41:13,447 INFO used_ofi_add_7_1: 0.014873979897064935 , std 0.1210485217550658 
2023-05-09 08:41:13,447 INFO used_ofi_add_8_1: 0.018189457147684874 , std 0.13363607595390328 
2023-05-09 08:41:13,447 INFO used_ofi_add_9_1: 0.0209797554949697 , std 0.1433164517923221 
2023-05-09 08:41:13,447 INFO used_ofi_add_10_1: 0.03647481652989181 , std 0.18746840877599227 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_1_1: 0.002109849159485416 , std 0.04588461284580742 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_2_1: 0.0040963954460138926 , std 0.0638718638397516 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_3_1: 0.005776967936686258 , std 0.07578650657039651 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_4_1: 0.006110342370977244 , std 0.0779294943335749 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_5_1: 0.006918661204806072 , std 0.08289024871442469 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_6_1: 0.009046777456581405 , std 0.09468333155435804 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_7_1: 0.010690815762673937 , std 0.10284222003147589 
