2023-05-09 10:07:04,367 INFO Starting...
2023-05-09 10:07:04,367 INFO Tickers: ['CAT']
2023-05-09 10:08:22,657 INFO ofi_trade_4_2: -9.175167220565297e-08 , std 5.095910744553575e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_5_2: -1.4214113672321478e-07 , std 5.85739265711448e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_6_2: -1.381019434519271e-07 , std 6.168993803985393e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_7_2: -1.157437700948113e-07 , std 6.042724161999984e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_8_2: -8.721724004710511e-08 , std 4.8286680978235556e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_9_2: -7.131091752047981e-08 , std 4.878656072686816e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_10_2: -7.541525577318401e-08 , std 4.4135846019070765e-06 
2023-05-09 10:08:22,657 INFO ofi_add_1_3: -2.2692341604155427e-07 , std 1.1285816602556016e-05 
2023-05-09 10:08:22,657 INFO ofi_add_2_3: -3.393232790080362e-07 , std 1.1180027878424415e-05 
2023-05-09 10:08:22,657 INFO ofi_add_3_3: -3.861309241207634e-07 , std 1.0152714253214706e-05 
2023-05-09 10:08:22,657 INFO ofi_add_4_3: -4.3899898878958297e-07 , std 1.03789681938612e-05 
2023-05-09 10:08:22,657 INFO ofi_add_5_3: -5.220216317749588e-07 , std 1.0636650293041672e-05 
2023-05-09 10:08:22,657 INFO ofi_add_6_3: -5.311599473772275e-07 , std 1.0282627592702502e-05 
2023-05-09 10:08:22,657 INFO ofi_add_7_3: -4.4648500875602923e-07 , std 1.0217649557995425e-05 
2023-05-09 10:08:22,657 INFO ofi_add_8_3: -3.909347605847252e-07 , std 9.879506954006106e-06 
2023-05-09 10:08:22,657 INFO ofi_add_9_3: -3.859681441867539e-07 , std 1.0171561864033836e-05 
2023-05-09 10:08:22,657 INFO ofi_add_10_3: -3.5979983462863436e-07 , std 1.1316268061760206e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_1_3: -2.1597502888067484e-07 , std 1.0098254001458178e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_2_3: -3.5465991794032287e-07 , std 1.0214243033016157e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_3_3: -4.195791204132396e-07 , std 1.0301940628724193e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_4_3: -4.7654034735385124e-07 , std 9.554678122373593e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_5_3: -4.733309174352809e-07 , std 9.76446095285001e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_6_3: -3.587568200793044e-07 , std 1.0469010444384777e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_7_3: -4.219052234035512e-07 , std 1.0241068828264967e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_8_3: -4.422769171490836e-07 , std 9.650281393205145e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_9_3: -3.2443429226140544e-07 , std 9.861006773955599e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_10_3: -3.709968832753958e-07 , std 9.690228744458632e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_1_3: -4.930002543466404e-09 , std 3.9234496171196556e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_2_3: -1.5159434291732106e-08 , std 4.167620182605512e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_3_3: -9.948749726349955e-08 , std 6.301008679230039e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_4_3: -1.5424558954035e-07 , std 7.558471624038674e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_5_3: -2.188998401768244e-07 , std 8.286620356323558e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_6_3: -2.2947174089201536e-07 , std 8.132931318786221e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_7_3: -1.358788225562269e-07 , std 6.899246849968648e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_8_3: -1.024501588525259e-07 , std 5.47127207819407e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_9_3: -1.2160980816214459e-07 , std 5.9498120690542065e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_10_3: -9.091624687225332e-08 , std 5.489107050204149e-06 
2023-05-09 10:08:22,657 INFO used_intercept: 0.9883090609344531 , std 0.10749074848242784 
2023-05-09 10:08:22,657 INFO used_ofi_add_1_1: 0.009133546144958512 , std 0.09513214220113211 
2023-05-09 10:08:22,657 INFO used_ofi_add_2_1: 0.011732040023199207 , std 0.10767729222121654 
2023-05-09 10:08:22,657 INFO used_ofi_add_3_1: 0.011969512222968128 , std 0.10874853102507798 
2023-05-09 10:08:22,657 INFO used_ofi_add_4_1: 0.015540728765646905 , std 0.1236899935931743 
2023-05-09 10:08:22,658 INFO used_ofi_add_5_1: 0.019331150415804688 , std 0.13768608150211198 
2023-05-09 10:08:22,658 INFO used_ofi_add_6_1: 0.02151863471752225 , std 0.1451054205652432 
2023-05-09 10:08:22,658 INFO used_ofi_add_7_1: 0.021440999575290103 , std 0.1448491736686907 
2023-05-09 10:08:22,658 INFO used_ofi_add_8_1: 0.019495554246413943 , std 0.13825873430289704 
2023-05-09 10:08:22,658 INFO used_ofi_add_9_1: 0.017257835440899105 , std 0.13023057458521 
2023-05-09 10:08:22,658 INFO used_ofi_add_10_1: 0.019162179812122957 , std 0.13709482366949824 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_1_1: 0.002150950117137729 , std 0.04632843112745471 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_2_1: 0.0058226356674110505 , std 0.07608372086915599 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_3_1: 0.00839372890721687 , std 0.09123198026048224 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_4_1: 0.011352997858183429 , std 0.1059438874962379 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_5_1: 0.012471857260940846 , std 0.11097887203158792 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_6_1: 0.013083804852653067 , std 0.11363370496129553 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_7_1: 0.011307330127458637 , std 0.10573303368790335 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_8_1: 0.00907417809501628 , std 0.09482529929779399 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_9_1: 0.00766761198869267 , std 0.08722854873883623 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_10_1: 0.008686002383855545 , std 0.09279308027241687 
2023-05-09 10:08:22,658 INFO used_ofi_trade_1_1: 8.22019153046266e-05 , std 0.00906615454036312 
2023-05-09 10:08:22,658 INFO used_ofi_trade_2_1: 0.0005297456764075937 , std 0.023010107473150156 
2023-05-09 10:08:22,658 INFO used_ofi_trade_3_1: 0.0006393482301470958 , std 0.025277251907351465 
2023-05-09 10:08:22,658 INFO used_ofi_trade_4_1: 0.0010823252181775835 , std 0.032880903124757395 
2023-05-09 10:08:22,658 INFO used_ofi_trade_5_1: 0.0014887680216282373 , std 0.03855582435127039 
2023-05-09 10:08:22,658 INFO used_ofi_trade_6_1: 0.001607504121512698 , std 0.040061453443578636 
2023-05-09 10:08:22,658 INFO used_ofi_trade_7_1: 0.0015481360715704675 , std 0.039315891777681584 
2023-05-09 10:08:22,658 INFO used_ofi_trade_8_1: 0.0008083188338288282 , std 0.028419455562901017 
2023-05-09 10:08:22,658 INFO used_ofi_trade_9_1: 0.0007306836915966808 , std 0.027021284072736358 
2023-05-09 10:08:22,658 INFO used_ofi_trade_10_1: 0.000570846634059907 , std 0.02388557657207147 
2023-05-09 10:08:22,658 INFO used_ofi_add_1_2: 0.015604663588661616 , std 0.12394013903068815 
2023-05-09 10:08:22,658 INFO used_ofi_add_2_2: 0.01906171080452841 , std 0.13674195400729414 
2023-05-09 10:08:22,658 INFO used_ofi_add_3_2: 0.0200983682919812 , std 0.1403368229795056 
2023-05-09 10:08:22,658 INFO used_ofi_add_4_2: 0.025135518990925823 , std 0.15653665601379965 
2023-05-09 10:08:22,658 INFO used_ofi_add_5_2: 0.030222904193667712 , std 0.1712001175693758 
2023-05-09 10:08:22,658 INFO used_ofi_add_6_2: 0.032373854310805444 , std 0.17699092594782415 
2023-05-09 10:08:22,658 INFO used_ofi_add_7_2: 0.03213181533796404 , std 0.17635011137238055 
2023-05-09 10:08:22,658 INFO used_ofi_add_8_2: 0.031191060085033313 , std 0.17383376500497585 
2023-05-09 10:08:22,658 INFO used_ofi_add_9_2: 0.026592319601046705 , std 0.16088868244622584 
2023-05-09 10:08:22,658 INFO used_ofi_add_10_2: 0.032967534810227746 , std 0.1785516072701788 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_1_2: 0.004868180095262887 , std 0.06960230540594883 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_2_2: 0.011092691793052112 , std 0.10473606819924293 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_3_2: 0.014485804185904198 , std 0.11948207255899038 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_4_2: 0.018125522324670164 , std 0.13340535133617407 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_5_2: 0.019600590027080964 , std 0.13862325525564337 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_6_2: 0.020413475633982273 , std 0.14140992060857357 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_7_2: 0.017924584309481077 , std 0.132677404205891 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_8_2: 0.01532609043124038 , std 0.12284625099421564 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_9_2: 0.01361355052906066 , std 0.11588020439683981 
2023-05-09 10:08:22,658 INFO used_ofi_cancel_10_2: 0.016472350472432673 , std 0.12728319662212298 
2023-05-09 10:08:22,658 INFO used_ofi_trade_1_2: 0.00029227347663867234 , std 0.017093509085425552 
2023-05-09 10:08:22,658 INFO used_ofi_trade_2_2: 0.000803752060756349 , std 0.028339125663668224 
2023-05-09 10:08:22,658 INFO used_ofi_trade_3_2: 0.0013289309640914634 , std 0.03643027458837145 
2023-05-09 10:08:22,658 INFO used_ofi_trade_4_2: 0.0018541098674265777 , std 0.04301943914123113 
2023-05-09 10:08:22,658 INFO used_ofi_trade_5_2: 0.00251629196293607 , std 0.05009950336773144 
