2023-05-09 08:58:49,722 INFO Starting...
2023-05-09 08:58:49,722 INFO Tickers: ['CVX']
2023-05-09 09:00:10,425 INFO ofi_trade_4_2: -1.2674815631530876e-07 , std 6.412840725303854e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_5_2: -2.0103458032544402e-07 , std 6.252024605134739e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_6_2: -1.74647216736051e-07 , std 5.950414373924953e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_7_2: -1.7622263556527414e-07 , std 6.422839176823075e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_8_2: -7.766695269420946e-08 , std 4.1814734072687994e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_9_2: -6.401220144992263e-08 , std 4.553540563897172e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_10_2: -4.4806078145907655e-08 , std 3.1645120552691995e-06 
2023-05-09 09:00:10,425 INFO ofi_add_1_3: -5.963637000285362e-07 , std 1.1108114264017762e-05 
2023-05-09 09:00:10,425 INFO ofi_add_2_3: -4.163099960596132e-07 , std 1.0042267419207009e-05 
2023-05-09 09:00:10,425 INFO ofi_add_3_3: -4.772159258658403e-07 , std 9.964815727159192e-06 
2023-05-09 09:00:10,425 INFO ofi_add_4_3: -5.151856884759747e-07 , std 9.72152333832429e-06 
2023-05-09 09:00:10,425 INFO ofi_add_5_3: -5.207158539523404e-07 , std 1.0031001232698208e-05 
2023-05-09 09:00:10,425 INFO ofi_add_6_3: -4.0898410841228135e-07 , std 9.178488400484866e-06 
2023-05-09 09:00:10,425 INFO ofi_add_7_3: -5.275421199230507e-07 , std 9.137838443949495e-06 
2023-05-09 09:00:10,426 INFO ofi_add_8_3: -4.88646344540342e-07 , std 9.704298304354389e-06 
2023-05-09 09:00:10,426 INFO ofi_add_9_3: -3.6509633847039155e-07 , std 9.163025699671512e-06 
2023-05-09 09:00:10,426 INFO ofi_add_10_3: -3.747797117523366e-07 , std 9.957297217037062e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_1_3: -2.4403617084566677e-07 , std 9.203184993735233e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_2_3: -6.55744404263509e-07 , std 1.0837574381561375e-05 
2023-05-09 09:00:10,426 INFO ofi_cancel_3_3: -5.899137713452412e-07 , std 9.616016244876342e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_4_3: -5.192251526262538e-07 , std 9.091499592540451e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_5_3: -5.081273234095602e-07 , std 8.577635441570926e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_6_3: -4.516190779909091e-07 , std 8.946078779535303e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_7_3: -2.9948733011881325e-07 , std 8.099998136249449e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_8_3: -2.0173551253184019e-07 , std 7.726526816533345e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_9_3: -1.5249690559945794e-07 , std 7.487120735353617e-06 
2023-05-09 09:00:10,426 INFO ofi_cancel_10_3: -2.406671172524624e-07 , std 7.4545666178180645e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_1_3: -1.7995641997820713e-08 , std 2.4471859437591537e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_2_3: -1.4467837724136914e-08 , std 4.778307609440769e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_3_3: -1.5445070800432147e-07 , std 6.3016711291310825e-06 
