2023-05-09 08:41:14,158 INFO Starting...
2023-05-09 08:41:14,159 INFO Tickers: ['JNJ']
2023-05-09 08:42:33,272 INFO ofi_cancel_7_2: -1.8322154914444993e-07 , std 6.709801297923245e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_8_2: -1.6193479699112792e-07 , std 6.451359736609495e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_9_2: -1.7665648645834507e-07 , std 6.3849520378325625e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_10_2: -1.2110691027656533e-07 , std 5.172784623830931e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_1_2: -1.0292613025743372e-08 , std 1.8760127944355545e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_2_2: -2.482630855598975e-08 , std 2.910180490327963e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_3_2: -9.002021880760494e-08 , std 4.359620799219997e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_4_2: -1.8243223496513947e-07 , std 5.7956120246282685e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_5_2: -2.2771107304864687e-07 , std 6.4009678698363735e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_6_2: -1.5659444056858504e-07 , std 5.2247706376003825e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_7_2: -1.4978415375749305e-07 , std 5.230146768528275e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_8_2: -9.085669251114273e-08 , std 4.500777206148388e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_9_2: -4.6794767573722896e-08 , std 2.8017617373142992e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_10_2: -5.15892757842127e-08 , std 3.548438484421543e-06 
2023-05-09 08:42:33,272 INFO ofi_add_1_3: -4.775748869307688e-07 , std 9.234747703101792e-06 
2023-05-09 08:42:33,272 INFO ofi_add_2_3: -2.290357506762818e-07 , std 8.775618263520624e-06 
2023-05-09 08:42:33,272 INFO ofi_add_3_3: -2.7155994154035766e-07 , std 8.10725928166442e-06 
2023-05-09 08:42:33,272 INFO ofi_add_4_3: -2.732720186501431e-07 , std 7.789416042073095e-06 
2023-05-09 08:42:33,272 INFO ofi_add_5_3: -4.2982376722278224e-07 , std 8.427641513616421e-06 
2023-05-09 08:42:33,272 INFO ofi_add_6_3: -3.9716918866232086e-07 , std 7.908524178101196e-06 
2023-05-09 08:42:33,272 INFO ofi_add_7_3: -4.584446795806424e-07 , std 8.06956184565218e-06 
2023-05-09 08:42:33,272 INFO ofi_add_8_3: -5.245971704502619e-07 , std 8.040071498636238e-06 
2023-05-09 08:42:33,272 INFO ofi_add_9_3: -3.9875557714206897e-07 , std 7.74569466146633e-06 
2023-05-09 08:42:33,273 INFO ofi_add_10_3: -4.442045439081122e-07 , std 8.551185476646178e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_1_3: -1.2358840499383968e-07 , std 7.599147726027637e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_2_3: -4.5904642535965694e-07 , std 8.84876834803457e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_3_3: -5.020920465346555e-07 , std 8.775138035092887e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_4_3: -4.5140108072184093e-07 , std 7.863365616541427e-06 
