2023-05-09 10:39:37,617 INFO Starting...
2023-05-09 10:39:37,617 INFO Tickers: ['RTN']
2023-05-09 10:40:54,853 INFO ofi_trade_4_2: -4.5234865961330224e-08 , std 4.111791561052509e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_5_2: -5.141807544719767e-08 , std 3.6829018652037875e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_6_2: -8.682723876811328e-08 , std 5.172389066616688e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_7_2: -3.3435093208243025e-08 , std 3.7930966109223566e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_8_2: -9.29851910289664e-08 , std 5.283586117857953e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_9_2: -4.9538080448446264e-08 , std 5.2871457668253285e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_10_2: -5.644267891739859e-08 , std 4.38716618824105e-06 
2023-05-09 10:40:54,853 INFO ofi_add_1_3: -1.8447220975428403e-07 , std 1.0943468406737503e-05 
2023-05-09 10:40:54,853 INFO ofi_add_2_3: -4.39176626346027e-07 , std 1.0957414401924892e-05 
2023-05-09 10:40:54,853 INFO ofi_add_3_3: -4.658636259199503e-07 , std 1.0008462629895584e-05 
2023-05-09 10:40:54,853 INFO ofi_add_4_3: -5.835995280060844e-07 , std 1.0441658754144652e-05 
2023-05-09 10:40:54,853 INFO ofi_add_5_3: -4.7468625883624276e-07 , std 9.668350765614277e-06 
2023-05-09 10:40:54,853 INFO ofi_add_6_3: -3.713731911658852e-07 , std 9.61027181535093e-06 
2023-05-09 10:40:54,853 INFO ofi_add_7_3: -3.605738821059424e-07 , std 1.0150498517271796e-05 
2023-05-09 10:40:54,853 INFO ofi_add_8_3: -1.624943775634363e-07 , std 9.080644381047584e-06 
2023-05-09 10:40:54,853 INFO ofi_add_9_3: -1.8334086225202936e-07 , std 9.600137583163796e-06 
2023-05-09 10:40:54,853 INFO ofi_add_10_3: -1.4140423696761735e-07 , std 1.075439098489099e-05 
2023-05-09 10:40:54,853 INFO ofi_cancel_1_3: -3.528990539828384e-07 , std 1.035992673198512e-05 
2023-05-09 10:40:54,853 INFO ofi_cancel_2_3: -2.1207585335352084e-07 , std 9.448620767878753e-06 
2023-05-09 10:40:54,853 INFO ofi_cancel_3_3: -3.530306242922327e-07 , std 1.0469211869983442e-05 
2023-05-09 10:40:54,853 INFO ofi_cancel_4_3: -2.183252981979602e-07 , std 9.594416872011184e-06 
2023-05-09 10:40:54,853 INFO ofi_cancel_5_3: -2.5388369383090544e-07 , std 1.0301375424264674e-05 
2023-05-09 10:40:54,853 INFO ofi_cancel_6_3: -2.399476269556545e-07 , std 9.374923095606257e-06 
2023-05-09 10:40:54,853 INFO ofi_cancel_7_3: -2.2355487517229692e-07 , std 9.351086239606682e-06 
2023-05-09 10:40:54,853 INFO ofi_cancel_8_3: -2.0128422004674102e-07 , std 9.030005749506106e-06 
2023-05-09 10:40:54,853 INFO ofi_cancel_9_3: -2.441238517507015e-07 , std 8.870176222186916e-06 
2023-05-09 10:40:54,853 INFO ofi_cancel_10_3: -2.226218996517878e-07 , std 9.380321849950274e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_1_3: -6.999416914023364e-08 , std 7.367424752096269e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_2_3: -4.1624732810798364e-08 , std 5.379268865943107e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_3_3: -4.7222960311314584e-08 , std 5.447259700126576e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_4_3: -4.691678589901384e-08 , std 4.819481909082605e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_5_3: -5.5446094877015004e-08 , std 3.765458137300628e-06 
2023-05-09 10:40:54,853 INFO ofi_trade_6_3: -5.6569724513813886e-08 , std 4.1384134240450965e-06 
2023-05-09 10:40:54,854 INFO ofi_trade_7_3: -3.3537566847328065e-08 , std 4.221692835107061e-06 
2023-05-09 10:40:54,854 INFO ofi_trade_8_3: -9.795641383247427e-08 , std 4.890396728472522e-06 
2023-05-09 10:40:54,854 INFO ofi_trade_9_3: -9.056971370571585e-08 , std 5.630591093176016e-06 
2023-05-09 10:40:54,854 INFO ofi_trade_10_3: -7.721775389524433e-08 , std 6.310334454785336e-06 
2023-05-09 10:40:54,854 INFO used_intercept: 0.9848637094416837 , std 0.12209497641774827 
2023-05-09 10:40:54,854 INFO used_ofi_add_1_1: 0.011961962876351944 , std 0.10871464630166774 
2023-05-09 10:40:54,854 INFO used_ofi_add_2_1: 0.018685143232972816 , std 0.13541051899810483 
2023-05-09 10:40:54,854 INFO used_ofi_add_3_1: 0.01711853259280912 , std 0.12971310047438556 
2023-05-09 10:40:54,854 INFO used_ofi_add_4_1: 0.017826476176556562 , std 0.13232041763720076 
2023-05-09 10:40:54,854 INFO used_ofi_add_5_1: 0.01711396521484946 , std 0.12969609635403212 
2023-05-09 10:40:54,854 INFO used_ofi_add_6_1: 0.01700891552177726 , std 0.12930433989062512 
2023-05-09 10:40:54,854 INFO used_ofi_add_7_1: 0.01683078778135048 , std 0.1286371344674998 
2023-05-09 10:40:54,854 INFO used_ofi_add_8_1: 0.016145681087401345 , std 0.12603570156755298 
2023-05-09 10:40:54,854 INFO used_ofi_add_9_1: 0.017287525577316575 , std 0.13034058092831335 
2023-05-09 10:40:54,854 INFO used_ofi_add_10_1: 0.021475811166325635 , std 0.1449641359132457 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_1_1: 0.004393817597193803 , std 0.06614009346921422 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_2_1: 0.009317451037708273 , std 0.09607619967436358 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_3_1: 0.00890638702133879 , std 0.09395245229138467 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_4_1: 0.009550387313650979 , std 0.09725830255464174 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_5_1: 0.010240061385559779 , std 0.10067374299379032 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_6_1: 0.00950014615609471 , std 0.09700460493763968 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_7_1: 0.010148713826366559 , std 0.10022832650522046 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_8_1: 0.009628032738965215 , std 0.09764903340301238 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_9_1: 0.010678529669687227 , std 0.10278374712852627 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_10_1: 0.014428346974568839 , std 0.11924835335613775 
2023-05-09 10:40:54,854 INFO used_ofi_trade_1_1: 0.001173816135632856 , std 0.034240886251856624 
2023-05-09 10:40:54,854 INFO used_ofi_trade_2_1: 0.0010961707103186204 , std 0.03309031761848865 
2023-05-09 10:40:54,854 INFO used_ofi_trade_3_1: 0.0007079435837474423 , std 0.02659778937486484 
2023-05-09 10:40:54,854 INFO used_ofi_trade_4_1: 0.0006074612686349021 , std 0.024639242265987207 
2023-05-09 10:40:54,854 INFO used_ofi_trade_5_1: 0.0006211634025138848 , std 0.024915408054881676 
2023-05-09 10:40:54,854 INFO used_ofi_trade_6_1: 0.0005937591347559193 , std 0.024359938112520185 
2023-05-09 10:40:54,854 INFO used_ofi_trade_7_1: 0.0005617874890382929 , std 0.023695397946762852 
2023-05-09 10:40:54,854 INFO used_ofi_trade_8_1: 0.000557220111078632 , std 0.02359893253574071 
2023-05-09 10:40:54,854 INFO used_ofi_trade_9_1: 0.0005298158433206664 , std 0.023011630504873672 
2023-05-09 10:40:54,854 INFO used_ofi_trade_10_1: 0.0006440002923121895 , std 0.02536898807472799 
2023-05-09 10:40:54,854 INFO used_ofi_add_1_2: 0.018922646886875182 , std 0.1362519002497573 
2023-05-09 10:40:54,854 INFO used_ofi_add_2_2: 0.02758239549839228 , std 0.1637730348896379 
2023-05-09 10:40:54,854 INFO used_ofi_add_3_2: 0.026929260450160773 , std 0.16187672896920108 
2023-05-09 10:40:54,854 INFO used_ofi_add_4_2: 0.026947529961999415 , std 0.16193011020482434 
2023-05-09 10:40:54,854 INFO used_ofi_add_5_2: 0.02662324612686349 , std 0.16097965366011927 
2023-05-09 10:40:54,854 INFO used_ofi_add_6_2: 0.024736919029523532 , std 0.15532225811663417 
2023-05-09 10:40:54,854 INFO used_ofi_add_7_2: 0.025659529377375038 , std 0.15811741817240332 
2023-05-09 10:40:54,854 INFO used_ofi_add_8_2: 0.02334386875182695 , std 0.15099315396243776 
2023-05-09 10:40:54,854 INFO used_ofi_add_9_2: 0.02538091932183572 , std 0.15727914119874314 
2023-05-09 10:40:54,854 INFO used_ofi_add_10_2: 0.03473947676118094 , std 0.18311921121373448 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_1_2: 0.007586414790996784 , std 0.08676901003016994 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_2_2: 0.014766332943583748 , std 0.12061628561261112 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_3_2: 0.014469453376205787 , std 0.1194156116058516 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_4_2: 0.01627813504823151 , std 0.1265431047808732 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_5_2: 0.016141113709441685 , std 0.12601816598276835 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_6_2: 0.015661539023677288 , std 0.12416221333033302 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_7_2: 0.014464885998246127 , std 0.11939703962537712 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_8_2: 0.014638446360713242 , std 0.1201006338403664 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_9_2: 0.016853624671148787 , std 0.12872288066459994 
2023-05-09 10:40:54,854 INFO used_ofi_cancel_10_2: 0.02223399590762935 , std 0.14744370225143177 
2023-05-09 10:40:54,855 INFO used_ofi_trade_1_2: 0.0015346389944460683 , std 0.03914439778056107 
2023-05-09 10:40:54,855 INFO used_ofi_trade_2_2: 0.0015757453960830166 , std 0.03966437220642399 
2023-05-09 10:40:54,855 INFO used_ofi_trade_3_2: 0.0011418444899152294 , std 0.0337718918788403 
2023-05-09 10:40:54,855 INFO used_ofi_trade_4_2: 0.0010596316866413329 , std 0.032534733245102816 
2023-05-09 10:40:54,855 INFO used_ofi_trade_5_2: 0.0009911210172464191 , std 0.031466469398005105 
2023-05-09 10:40:54,855 INFO used_ofi_trade_6_2: 0.0012103551593101432 , std 0.034769098344628865 
2023-05-09 10:40:54,855 INFO used_ofi_trade_7_2: 0.0009545819935691318 , std 0.030881560303629187 
2023-05-09 10:40:54,855 INFO used_ofi_trade_8_2: 0.0012697310727857352 , std 0.035610656491962316 
2023-05-09 10:40:54,855 INFO used_ofi_trade_9_2: 0.0011920856474714997 , std 0.03450600787226178 
2023-05-09 10:40:54,855 INFO used_ofi_trade_10_2: 0.0012605963168664134 , std 0.0354824916514091 
2023-05-09 10:40:54,855 INFO used_ofi_add_1_3: 0.0379001023092663 , std 0.19095466622791243 
2023-05-09 10:40:54,855 INFO used_ofi_add_2_3: 0.048752192341420635 , std 0.21534952074087785 
2023-05-09 10:40:54,855 INFO used_ofi_add_3_3: 0.044860786319789535 , std 0.20699829992190685 
2023-05-09 10:40:54,855 INFO used_ofi_add_4_3: 0.045911283250511546 , std 0.20929270728050425 
2023-05-09 10:40:54,855 INFO used_ofi_add_5_3: 0.04525814820228004 , std 0.20786978670210948 
2023-05-09 10:40:54,855 INFO used_ofi_add_6_3: 0.04206098363051739 , std 0.20072831710187464 
2023-05-09 10:40:54,855 INFO used_ofi_add_7_3: 0.043572785735165154 , std 0.2041425925142584 
2023-05-09 10:40:54,855 INFO used_ofi_add_8_3: 0.03897800350774627 , std 0.19354255023197453 
2023-05-09 10:40:54,855 INFO used_ofi_add_9_3: 0.04216146594562993 , std 0.20095740029903209 
2023-05-09 10:40:54,855 INFO used_ofi_add_10_3: 0.06294760304004678 , std 0.24286869356003765 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_1_3: 0.016004092370651857 , std 0.12549088173267212 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_2_3: 0.026353770827243495 , std 0.16018504796150182 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_3_3: 0.027038877521192634 , std 0.1621967219877966 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_4_3: 0.028249232680502778 , std 0.1656840774892554 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_5_3: 0.02861919029523531 , std 0.16673371657250496 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_6_3: 0.02591986992107571 , std 0.15889628776138925 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_7_3: 0.027363161356328557 , std 0.16313926184985664 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_8_3: 0.026915558316281788 , std 0.16183668013403088 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_9_3: 0.027299218064893306 , std 0.1629538915090361 
2023-05-09 10:40:54,855 INFO used_ofi_cancel_10_3: 0.03748903829289681 , std 0.18995686431600867 
