2023-05-09 09:38:56,000 INFO Starting...
2023-05-09 09:38:56,001 INFO Tickers: ['ORCL']
2023-05-09 09:40:15,923 INFO ofi_cancel_5_3: -2.828259623322627e-07 , std 1.5383917063894646e-05 
2023-05-09 09:40:15,923 INFO ofi_cancel_6_3: -2.1307578974728558e-07 , std 1.3928591109007216e-05 
2023-05-09 09:40:15,923 INFO ofi_cancel_7_3: -8.462497865409176e-08 , std 9.57112737476144e-06 
2023-05-09 09:40:15,923 INFO ofi_cancel_8_3: -9.821954171629201e-08 , std 8.307678664262461e-06 
2023-05-09 09:40:15,923 INFO ofi_cancel_9_3: -7.802422183111932e-08 , std 1.1106846284679917e-05 
2023-05-09 09:40:15,923 INFO ofi_cancel_10_3: -8.198258919703706e-08 , std 6.5075806100525964e-06 
2023-05-09 09:40:15,923 INFO ofi_trade_1_3: -1.823567906131398e-08 , std 1.1293562849306317e-05 
2023-05-09 09:40:15,923 INFO ofi_trade_2_3: -3.3840031268230233e-07 , std 1.733807173238196e-05 
2023-05-09 09:40:15,923 INFO ofi_trade_3_3: -3.030279816832719e-07 , std 1.6744319164490726e-05 
2023-05-09 09:40:15,923 INFO ofi_trade_4_3: -3.4679834780797874e-07 , std 1.7444256611250364e-05 
2023-05-09 09:40:15,923 INFO ofi_trade_5_3: -1.739666122498583e-07 , std 1.6794239399309427e-05 
2023-05-09 09:40:15,923 INFO ofi_trade_6_3: -1.0013579574880111e-07 , std 1.186112317485564e-05 
2023-05-09 09:40:15,923 INFO ofi_trade_7_3: -1.2208960683130315e-07 , std 1.1464797273872263e-05 
2023-05-09 09:40:15,923 INFO ofi_trade_8_3: -3.6518436908229446e-08 , std 8.56979893904758e-06 
2023-05-09 09:40:15,923 INFO ofi_trade_9_3: -4.8728609026607644e-08 , std 8.802306787224964e-06 
2023-05-09 09:40:15,923 INFO ofi_trade_10_3: -1.861949513506491e-07 , std 1.145570412994704e-05 
2023-05-09 09:40:15,923 INFO used_intercept: 0.9766957570111383 , std 0.1508680060436199 
2023-05-09 09:40:15,923 INFO used_ofi_add_1_1: 0.10195320884309937 , std 0.30258676780337695 
2023-05-09 09:40:15,923 INFO used_ofi_add_2_1: 0.025231421225447886 , std 0.1568272827297339 
2023-05-09 09:40:15,923 INFO used_ofi_add_3_1: 0.014526905143556512 , std 0.11964896226255632 
2023-05-09 09:40:15,923 INFO used_ofi_add_4_1: 0.02385225575755915 , std 0.15258874680930815 
2023-05-09 09:40:15,923 INFO used_ofi_add_5_1: 0.01122512821215401 , std 0.10535238349830872 
2023-05-09 09:40:15,923 INFO used_ofi_add_6_1: 0.0063432477976736856 , std 0.07939150461510974 
2023-05-09 09:40:15,923 INFO used_ofi_add_7_1: 0.004913847825987679 , std 0.06992640363647135 
2023-05-09 09:40:15,923 INFO used_ofi_add_8_1: 0.004027893849926703 , std 0.06333774483718556 
2023-05-09 09:40:15,923 INFO used_ofi_add_9_1: 0.004128362857521247 , std 0.0641195717206368 
2023-05-09 09:40:15,923 INFO used_ofi_add_10_1: 0.004274499595840583 , std 0.06523977505361084 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_1_1: 0.024400268526256663 , std 0.15428835154380008 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_2_1: 0.009229448379480575 , std 0.09562565378647656 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_3_1: 0.010558379343572039 , std 0.1022100776303847 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_4_1: 0.014485804185904198 , std 0.11948207255899036 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_5_1: 0.003895457430824805 , std 0.062291916347383604 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_6_1: 0.0018495430943540985 , std 0.04296652516432095 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_7_1: 0.0010823252181775835 , std 0.03288090312475739 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_8_1: 0.0012832632333666708 , std 0.035799671351013265 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_9_1: 0.000643915003219575 , std 0.025367309212610697 
2023-05-09 09:40:15,923 INFO used_ofi_cancel_10_1: 0.0006895827339443675 , std 0.026250851597565614 
2023-05-09 09:40:15,923 INFO used_ofi_trade_1_1: 0.00036990861887081967 , std 0.019229451018801986 
2023-05-09 09:40:15,923 INFO used_ofi_trade_2_1: 0.0027948651203573045 , std 0.052792554866347534 
2023-05-09 09:40:15,923 INFO used_ofi_trade_3_1: 0.0039000242038972842 , std 0.06232827620836549 
2023-05-09 09:40:15,923 INFO used_ofi_trade_4_1: 0.005201554529553872 , std 0.07193398612637807 
2023-05-09 09:40:15,923 INFO used_ofi_trade_5_1: 0.0024797577783562358 , std 0.049735385589305695 
2023-05-09 09:40:15,923 INFO used_ofi_trade_6_1: 0.0016349047599475734 , std 0.04040088917800541 
2023-05-09 09:40:15,923 INFO used_ofi_trade_7_1: 0.0009179213875683303 , std 0.030283309064476016 
2023-05-09 09:40:15,923 INFO used_ofi_trade_8_1: 0.0010320907143803117 , std 0.03210958584500276 
2023-05-09 09:40:15,923 INFO used_ofi_trade_9_1: 0.0010275239413078325 , std 0.03203854141277146 
2023-05-09 09:40:15,923 INFO used_ofi_trade_10_1: 0.001196494544989565 , std 0.034569682465903195 
2023-05-09 09:40:15,923 INFO used_ofi_add_1_2: 0.12192370748905117 , std 0.327197672731906 
2023-05-09 09:40:15,923 INFO used_ofi_add_2_2: 0.03805492001296964 , std 0.19132888719630428 
2023-05-09 09:40:15,923 INFO used_ofi_add_3_2: 0.023934457672863778 , std 0.15284501761185962 
2023-05-09 09:40:15,923 INFO used_ofi_add_4_2: 0.03831522607810095 , std 0.19195616564383902 
