2023-05-09 08:32:46,586 INFO Starting...
2023-05-09 08:32:46,586 INFO Tickers: ['AMZN']
2023-05-09 08:34:09,304 INFO ofi_cancel_6_2: -7.236150540822576e-08 , std 2.129320460312757e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_7_2: -6.04244367828696e-08 , std 2.059103012613141e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_8_2: -7.432891872463928e-08 , std 2.195677638581259e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_9_2: -5.41417886792268e-08 , std 1.9940484638212163e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_10_2: -7.106956918137785e-08 , std 2.107814872517482e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_1_2: -1.7877113390785676e-08 , std 1.119475509563327e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_2_2: -2.647738595457674e-08 , std 1.4822731211006345e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_3_2: -1.9973571444873344e-08 , std 1.4577114447819391e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_4_2: -2.3200774693098332e-08 , std 1.3555983931961607e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_5_2: -1.6401841860216836e-08 , std 1.0899594665242262e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_6_2: -1.5066771225555082e-08 , std 1.2394156032981782e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_7_2: -1.433812284892916e-08 , std 1.2679334950146276e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_8_2: -2.0598834612111454e-08 , std 1.3172020908685313e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_9_2: -1.735081170454703e-08 , std 1.087755410044386e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_10_2: -1.8764724291158617e-08 , std 1.2207527535534262e-06 
2023-05-09 08:34:09,304 INFO ofi_add_1_3: -9.97996415917655e-08 , std 2.8183022514580843e-06 
2023-05-09 08:34:09,304 INFO ofi_add_2_3: -8.607634389529766e-08 , std 2.6541592358382708e-06 
2023-05-09 08:34:09,304 INFO ofi_add_3_3: -8.625553481890025e-08 , std 2.270802872611e-06 
