2023-05-09 09:16:01,012 INFO Starting...
2023-05-09 09:16:01,012 INFO Tickers: ['MCD']
2023-05-09 09:17:19,214 INFO ofi_trade_4_2: -9.69582932215445e-08 , std 5.173394734889851e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_5_2: -1.1708420162574042e-07 , std 4.692701560056513e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_6_2: -1.4122080978994207e-07 , std 6.126501006841863e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_7_2: -1.1028919963967398e-07 , std 4.934123888221015e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_8_2: -9.098636006007269e-08 , std 5.050682685576362e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_9_2: -5.2113846856407766e-08 , std 4.362163868346504e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_10_2: -2.205054395424259e-08 , std 3.5660772818592236e-06 
2023-05-09 09:17:19,214 INFO ofi_add_1_3: -2.08034365103205e-07 , std 8.700905265547862e-06 
2023-05-09 09:17:19,214 INFO ofi_add_2_3: -3.062346154740415e-07 , std 8.779718404963785e-06 
2023-05-09 09:17:19,214 INFO ofi_add_3_3: -3.097900957966966e-07 , std 8.117651571763753e-06 
2023-05-09 09:17:19,214 INFO ofi_add_4_3: -4.4951480224852503e-07 , std 8.84970450187845e-06 
2023-05-09 09:17:19,214 INFO ofi_add_5_3: -4.961115852746566e-07 , std 8.454481292865014e-06 
2023-05-09 09:17:19,214 INFO ofi_add_6_3: -5.013304006379091e-07 , std 8.121988632580704e-06 
2023-05-09 09:17:19,214 INFO ofi_add_7_3: -3.8076178677258854e-07 , std 8.359892907598201e-06 
2023-05-09 09:17:19,214 INFO ofi_add_8_3: -2.8306744633806997e-07 , std 8.341303037553928e-06 
2023-05-09 09:17:19,214 INFO ofi_add_9_3: -4.4832272374009066e-07 , std 8.811338595718235e-06 
2023-05-09 09:17:19,214 INFO ofi_add_10_3: -3.628808676532886e-07 , std 8.917692460776673e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_1_3: -1.4656271035659425e-07 , std 7.087861230407264e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_2_3: -2.7373690729758974e-07 , std 8.472520371263515e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_3_3: -3.203591754764023e-07 , std 8.230709060587144e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_4_3: -3.58859144364994e-07 , std 8.313816771913084e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_5_3: -3.9382175962170253e-07 , std 8.001067229235512e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_6_3: -3.751259297312569e-07 , std 8.320023158587446e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_7_3: -3.438750509419e-07 , std 8.221887687510573e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_8_3: -2.927669388807322e-07 , std 7.6754757432471e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_9_3: -1.7725627353264007e-07 , std 7.552325389143375e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_10_3: -1.8528744042565753e-07 , std 7.472981314697967e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_1_3: 2.50311046443469e-09 , std 2.279223775294325e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_2_3: -3.3166525460756396e-08 , std 3.749820791176223e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_3_3: -3.742074160383774e-08 , std 4.790162981309555e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_4_3: -1.139210048780921e-07 , std 5.503011867826821e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_5_3: -1.5675720578655501e-07 , std 6.982952528004407e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_6_3: -1.3563103030141205e-07 , std 6.272229733564432e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_7_3: -1.3911609803323193e-07 , std 6.306930228636335e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_8_3: -1.2383833312723832e-07 , std 5.954820026088894e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_9_3: -2.3827391263688097e-08 , std 5.23912468512045e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_10_3: -4.01438514383404e-08 , std 3.822527434254291e-06 
2023-05-09 09:17:19,215 INFO used_intercept: 0.9824866010847068 , std 0.13117423441258225 
2023-05-09 09:17:19,215 INFO used_ofi_add_1_1: 0.009023992397000836 , std 0.09456510962410876 
2023-05-09 09:17:19,215 INFO used_ofi_add_2_1: 0.012103572587167197 , std 0.10934841616500154 
2023-05-09 09:17:19,215 INFO used_ofi_add_3_1: 0.014310452753117275 , std 0.11876726693461495 
2023-05-09 09:17:19,215 INFO used_ofi_add_4_1: 0.016316292075792396 , std 0.1266888735788973 
2023-05-09 09:17:19,215 INFO used_ofi_add_5_1: 0.01934561205514002 , std 0.1377365577809756 
2023-05-09 09:17:19,215 INFO used_ofi_add_6_1: 0.02081686549910674 , std 0.1427708780175384 
2023-05-09 09:17:19,215 INFO used_ofi_add_7_1: 0.021858622596076963 , std 0.1462218287885883 
2023-05-09 09:17:19,215 INFO used_ofi_add_8_1: 0.01945070158685193 , std 0.13810275809929057 
2023-05-09 09:17:19,215 INFO used_ofi_add_9_1: 0.019258798963725836 , std 0.1374332478922063 
2023-05-09 09:17:19,215 INFO used_ofi_add_10_1: 0.018870424607399218 , std 0.13606737920065806 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_1_1: 0.002627238292797712 , std 0.051189216752657675 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_2_1: 0.006629778717999095 , std 0.0811530945321832 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_3_1: 0.007360836329908024 , std 0.08547897062103829 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_4_1: 0.009599700266379118 , std 0.09750664603592311 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_5_1: 0.010664302913721495 , std 0.10271599465071587 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_6_1: 0.011993913945380859 , std 0.10885798075314303 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_7_1: 0.010769392445433403 , std 0.10321537013347211 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_8_1: 0.00932555366191327 , std 0.09611757233103657 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_9_1: 0.007977666189956182 , std 0.08896079491617537 
2023-05-09 09:17:19,215 INFO used_ofi_cancel_10_1: 0.008288365675017477 , std 0.09066238839482814 
2023-05-09 09:17:19,215 INFO used_ofi_trade_1_1: 0.00017819529290280132 , std 0.013347791552926975 
2023-05-09 09:17:19,215 INFO used_ofi_trade_2_1: 0.00038380524625218745 , std 0.019587188154126068 
2023-05-09 09:17:19,215 INFO used_ofi_trade_3_1: 0.0008041633730998213 , std 0.028346370038669615 
2023-05-09 09:17:19,215 INFO used_ofi_trade_4_1: 0.0011651230689798547 , std 0.03411400822556602 
2023-05-09 09:17:19,215 INFO used_ofi_trade_5_1: 0.0015854811958274887 , std 0.03978652341189371 
2023-05-09 09:17:19,215 INFO used_ofi_trade_6_1: 0.00187790424059106 , std 0.04329408407916988 
2023-05-09 09:17:19,215 INFO used_ofi_trade_7_1: 0.0016768633973161047 , std 0.04091517477003913 
2023-05-09 09:17:19,215 INFO used_ofi_trade_8_1: 0.0012656434906173325 , std 0.0355533632329206 
2023-05-09 09:17:19,215 INFO used_ofi_trade_9_1: 0.0010006351063003458 , std 0.03161698650542751 
2023-05-09 09:17:19,215 INFO used_ofi_trade_10_1: 0.0006990738413879128 , std 0.026430761191312678 
2023-05-09 09:17:19,215 INFO used_ofi_add_1_2: 0.01553497425306473 , std 0.1236674525815962 
2023-05-09 09:17:19,215 INFO used_ofi_add_2_2: 0.021470248239750345 , std 0.1449457715156736 
2023-05-09 09:17:19,215 INFO used_ofi_add_3_2: 0.022027679668830902 , std 0.14677350236755368 
2023-05-09 09:17:19,215 INFO used_ofi_add_4_2: 0.026541960422368536 , std 0.16074042664901056 
2023-05-09 09:17:19,215 INFO used_ofi_add_5_2: 0.02980887412558656 , std 0.17005971054000854 
2023-05-09 09:17:19,215 INFO used_ofi_add_6_2: 0.03128469667962771 , std 0.1740860833992522 
2023-05-09 09:17:19,215 INFO used_ofi_add_7_2: 0.029680939043502497 , std 0.16970557121378896 
2023-05-09 09:17:19,215 INFO used_ofi_add_8_2: 0.030389151105039272 , std 0.1716556162790905 
2023-05-09 09:17:19,216 INFO used_ofi_add_9_2: 0.02788070967417676 , std 0.16463102897765358 
2023-05-09 09:17:19,216 INFO used_ofi_add_10_2: 0.031997477851238916 , std 0.17599329323130009 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_1_2: 0.005651989162070903 , std 0.07496695392359715 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_2_2: 0.012172109238283659 , std 0.10965376872216907 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_3_2: 0.013990615047907119 , std 0.11745159742842322 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_4_2: 0.015822828187753872 , std 0.12478968825946597 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_5_2: 0.01928621362417242 , std 0.13752910814883956 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_6_2: 0.018641969103677675 , std 0.1352569631908657 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_7_2: 0.017454000484325667 , std 0.13095555868850633 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_8_2: 0.016581300460109385 , std 0.12769636226283407 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_9_2: 0.014328729193415 , std 0.11884198211539881 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_10_2: 0.01502323392472848 , std 0.12164512471600071 
2023-05-09 09:17:19,216 INFO used_ofi_trade_1_2: 0.00023302461379597097 , std 0.01526336507213715 
2023-05-09 09:17:19,216 INFO used_ofi_trade_2_2: 0.0008133015932486829 , std 0.028506843630382906 
2023-05-09 09:17:19,216 INFO used_ofi_trade_3_2: 0.0012336597200963168 , std 0.035101820519615905 
2023-05-09 09:17:19,216 INFO used_ofi_trade_4_2: 0.002458181220043772 , std 0.04951907274104793 
2023-05-09 09:17:19,216 INFO used_ofi_trade_5_2: 0.003152685951357254 , std 0.05606020444708856 
2023-05-09 09:17:19,216 INFO used_ofi_trade_6_2: 0.003943141994233783 , std 0.06267051639684401 
2023-05-09 09:17:19,216 INFO used_ofi_trade_7_2: 0.0030064744289754683 , std 0.05474884054008254 
2023-05-09 09:17:19,216 INFO used_ofi_trade_8_2: 0.002572408971904542 , std 0.050653644330746886 
2023-05-09 09:17:19,216 INFO used_ofi_trade_9_2: 0.0018230749196978904 , std 0.04265854331239006 
2023-05-09 09:17:19,216 INFO used_ofi_trade_10_2: 0.001343318361882656 , std 0.036626682318513175 
2023-05-09 09:17:19,216 INFO used_ofi_add_1_3: 0.030585622838239797 , std 0.17219216739978835 
2023-05-09 09:17:19,216 INFO used_ofi_add_2_3: 0.03784593874651034 , std 0.1908235406518434 
2023-05-09 09:17:19,216 INFO used_ofi_add_3_3: 0.03817034556179493 , std 0.19160733357961043 
2023-05-09 09:17:19,216 INFO used_ofi_add_4_3: 0.04622568662301643 , std 0.20997350432672957 
2023-05-09 09:17:19,216 INFO used_ofi_add_5_3: 0.047372533251698566 , std 0.21243440480537823 
2023-05-09 09:17:19,216 INFO used_ofi_add_6_3: 0.05076281292692622 , std 0.2195129831027589 
2023-05-09 09:17:19,216 INFO used_ofi_add_7_3: 0.049574844307574216 , std 0.21706491913585207 
2023-05-09 09:17:19,216 INFO used_ofi_add_8_3: 0.04967536472921169 , std 0.2172733827882088 
2023-05-09 09:17:19,216 INFO used_ofi_add_9_3: 0.05186853756493848 , std 0.2217615664983747 
2023-05-09 09:17:19,216 INFO used_ofi_add_10_3: 0.057835795322145105 , std 0.2334326800206005 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_1_3: 0.013191020784881729 , std 0.11409214589766709 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_2_3: 0.02554589442614262 , std 0.1577761125903126 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_3_3: 0.025596154636961358 , std 0.15792717152143937 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_4_3: 0.028424433773034025 , std 0.16618208488798195 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_5_3: 0.03179643700796396 , std 0.17545775446403766 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_6_3: 0.03430487843882647 , std 0.18201113634644397 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_7_3: 0.031079086726278324 , std 0.17353148732878074 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_8_3: 0.03079123279158918 , std 0.17275165057030092 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_9_3: 0.027442075107031404 , std 0.16336770678702522 
2023-05-09 09:17:19,216 INFO used_ofi_cancel_10_3: 0.029091523843900922 , std 0.16806310447073344 
2023-05-09 09:17:19,216 INFO used_ofi_trade_1_3: 0.0004980329981129576 , std 0.022311095025698495 
2023-05-09 09:17:19,216 INFO used_ofi_trade_2_3: 0.0016266031864973658 , std 0.040298354167025756 
2023-05-09 09:17:19,216 INFO used_ofi_trade_3_3: 0.0023850754588528793 , std 0.04877895933605448 
2023-05-09 09:17:19,216 INFO used_ofi_trade_4_3: 0.0047518744774080355 , std 0.06876986379482654 
2023-05-09 09:17:19,216 INFO used_ofi_trade_5_3: 0.005880444665792443 , std 0.07645825682243218 
2023-05-09 09:17:19,216 INFO used_ofi_trade_6_3: 0.007009014854176852 , std 0.08342594659307608 
2023-05-09 09:17:19,216 INFO used_ofi_trade_7_3: 0.005994672417653214 , std 0.07719285148417722 
2023-05-09 09:17:19,216 INFO used_ofi_trade_8_3: 0.005053435742320468 , std 0.07090767609729362 
2023-05-09 09:17:19,216 INFO used_ofi_trade_9_3: 0.0033080356938879015 , std 0.05742031516576573 
2023-05-09 09:17:19,216 INFO used_ofi_trade_10_3: 0.0022571403767688166 , std 0.047455723512431845 
2023-05-09 09:17:19,900 INFO Grouping by horizont:
2023-05-09 09:17:19,900 INFO 1: 0.2672289718131598
2023-05-09 09:17:19,900 INFO 2: 0.4361489712648667
2023-05-09 09:17:19,900 INFO 3: 0.7759445492801366
2023-05-09 09:17:19,900 INFO Grouping by ofi type:
2023-05-09 09:17:19,901 INFO add: 0.8978895280566203
2023-05-09 09:17:19,901 INFO cancel: 0.5114524744015608
2023-05-09 09:17:19,901 INFO trade: 0.06998048989998217
2023-05-09 09:17:19,901 INFO Grouping by ofi type and horizont:
2023-05-09 09:17:19,901 INFO add_1: 0.17135533512137838
2023-05-09 09:17:19,901 INFO cancel_1: 0.08523674843850663
2023-05-09 09:17:19,901 INFO trade_1: 0.010636888253274909
2023-05-09 09:17:19,901 INFO add_2: 0.26661671106318624
2023-05-09 09:17:19,901 INFO cancel_2: 0.14895298842644417
2023-05-09 09:17:19,901 INFO trade_2: 0.020579271775236337
2023-05-09 09:17:19,901 INFO add_3: 0.4599174818720558
2023-05-09 09:17:19,901 INFO cancel_3: 0.27726273753660996
2023-05-09 09:17:19,901 INFO trade_3: 0.03876432987147093
2023-05-09 09:17:19,901 INFO Grouping by level:
2023-05-09 09:17:19,901 INFO 1: 0.07752409063286744
2023-05-09 09:17:19,901 INFO 2: 0.11859125198185148
2023-05-09 09:17:19,901 INFO 3: 0.12587898255056862
2023-05-09 09:17:19,901 INFO 4: 0.15130608011477603
2023-05-09 09:17:19,901 INFO 5: 0.1688925847912602
2023-05-09 09:17:19,901 INFO 6: 0.18063519768254735
2023-05-09 09:17:19,901 INFO 7: 0.17109489584713589
2023-05-09 09:17:19,901 INFO 8: 0.16510479253955707
2023-05-09 09:17:19,901 INFO 9: 0.1548882624131298
2023-05-09 09:17:19,901 INFO 10: 0.16540635380446952
2023-05-09 09:17:19,901 INFO Grouping by level and horizont:
2023-05-09 09:17:19,901 INFO 1_1: 0.01182942598270135
2023-05-09 09:17:19,901 INFO 2_1: 0.019117156551418477
2023-05-09 09:17:19,901 INFO 3_1: 0.02247545245612512
2023-05-09 09:17:19,901 INFO 4_1: 0.027081115411151366
2023-05-09 09:17:19,901 INFO 5_1: 0.031595396164689
2023-05-09 09:17:19,901 INFO 6_1: 0.03468868368507866
2023-05-09 09:17:19,901 INFO 7_1: 0.03430487843882647
2023-05-09 09:17:19,901 INFO 8_1: 0.03004189873938253
2023-05-09 09:17:19,901 INFO 9_1: 0.028237100259982367
2023-05-09 09:17:19,901 INFO 10_1: 0.02785786412380461
2023-05-09 09:17:19,901 INFO 1_2: 0.021419988028931605
2023-05-09 09:17:19,901 INFO 2_2: 0.03445565907128269
2023-05-09 09:17:19,901 INFO 3_2: 0.037251954436834336
2023-05-09 09:17:19,901 INFO 4_2: 0.04482296983016618
2023-05-09 09:17:19,902 INFO 5_2: 0.05224777370111623
2023-05-09 09:17:19,902 INFO 6_2: 0.05386980777753917
2023-05-09 09:17:19,902 INFO 7_2: 0.05014141395680363
2023-05-09 09:17:19,902 INFO 8_2: 0.0495428605370532
2023-05-09 09:17:19,902 INFO 9_2: 0.044032513787289645
2023-05-09 09:17:19,902 INFO 10_2: 0.04836403013785005
2023-05-09 09:17:19,902 INFO 1_3: 0.04427467662123448
2023-05-09 09:17:19,902 INFO 2_3: 0.06501843635915032
2023-05-09 09:17:19,902 INFO 3_3: 0.06615157565760917
2023-05-09 09:17:19,902 INFO 4_3: 0.07940199487345849
2023-05-09 09:17:19,902 INFO 5_3: 0.08504941492545497
2023-05-09 09:17:19,902 INFO 6_3: 0.09207670621992954
2023-05-09 09:17:19,902 INFO 7_3: 0.08664860345150575
2023-05-09 09:17:19,902 INFO 8_3: 0.08552003326312134
2023-05-09 09:17:19,902 INFO 9_3: 0.08261864836585779
2023-05-09 09:17:19,902 INFO 10_3: 0.08918445954281484
2023-05-09 09:17:19,922 INFO Non empty regressions: 0.38587505311590464 --- 84453 / 218861
