2023-05-09 10:05:47,527 INFO Starting...
2023-05-09 10:05:47,527 INFO Tickers: ['UPS']
2023-05-09 10:07:03,661 INFO ofi_trade_4_2: -9.361853696539038e-08 , std 5.1177095436380756e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_5_2: -1.5839656254499877e-07 , std 6.107347671503082e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_6_2: -1.5354375242436072e-07 , std 6.636916109065144e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_7_2: -1.1274628374937433e-07 , std 5.989226711524709e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_8_2: -8.478641773465087e-08 , std 5.254705165918612e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_9_2: -8.854989571247953e-08 , std 5.491863206032344e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_10_2: -8.238905432928679e-08 , std 4.593622896334626e-06 
2023-05-09 10:07:03,661 INFO ofi_add_1_3: -2.9349781145716536e-07 , std 1.1765045378892926e-05 
2023-05-09 10:07:03,661 INFO ofi_add_2_3: -3.7295833513870987e-07 , std 1.0872191357040384e-05 
2023-05-09 10:07:03,661 INFO ofi_add_3_3: -4.991728230576992e-07 , std 1.0717489284340519e-05 
2023-05-09 10:07:03,661 INFO ofi_add_4_3: -5.766005451749983e-07 , std 1.0788989916882738e-05 
2023-05-09 10:07:03,661 INFO ofi_add_5_3: -6.259674393237653e-07 , std 1.0851335832355753e-05 
2023-05-09 10:07:03,661 INFO ofi_add_6_3: -4.056793487558067e-07 , std 1.0405316364593952e-05 
2023-05-09 10:07:03,661 INFO ofi_add_7_3: -5.50297213809904e-07 , std 1.0425399275956078e-05 
2023-05-09 10:07:03,661 INFO ofi_add_8_3: -5.044342432481362e-07 , std 9.903685460198488e-06 
2023-05-09 10:07:03,661 INFO ofi_add_9_3: -4.966500205297828e-07 , std 9.650223043162833e-06 
2023-05-09 10:07:03,661 INFO ofi_add_10_3: -5.631197450186556e-07 , std 1.0479335533014329e-05 
2023-05-09 10:07:03,661 INFO ofi_cancel_1_3: -3.0103350805384415e-07 , std 1.0027938042577556e-05 
2023-05-09 10:07:03,661 INFO ofi_cancel_2_3: -5.798265360173866e-07 , std 1.0274857723912117e-05 
2023-05-09 10:07:03,661 INFO ofi_cancel_3_3: -5.146681791863623e-07 , std 1.0318848380347145e-05 
2023-05-09 10:07:03,661 INFO ofi_cancel_4_3: -5.065467882643348e-07 , std 9.939595967027316e-06 
2023-05-09 10:07:03,661 INFO ofi_cancel_5_3: -5.19923575685406e-07 , std 1.0182824128714531e-05 
2023-05-09 10:07:03,661 INFO ofi_cancel_6_3: -4.2454240320561873e-07 , std 1.0317260103667828e-05 
2023-05-09 10:07:03,661 INFO ofi_cancel_7_3: -3.5151443854357414e-07 , std 9.600718743150828e-06 
2023-05-09 10:07:03,661 INFO ofi_cancel_8_3: -3.603996193676772e-07 , std 9.038648951499465e-06 
2023-05-09 10:07:03,661 INFO ofi_cancel_9_3: -2.0352618114815452e-07 , std 8.638106311983864e-06 
2023-05-09 10:07:03,661 INFO ofi_cancel_10_3: -2.702491691455716e-07 , std 9.116905036351072e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_1_3: -1.4313060605306913e-08 , std 3.1488174624693823e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_2_3: -5.420263057231925e-08 , std 4.850446770860818e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_3_3: -8.867461575997379e-08 , std 6.60370636812073e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_4_3: -1.6958698844019784e-07 , std 7.214112945539537e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_5_3: -2.021872277553056e-07 , std 6.813807520616852e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_6_3: -2.3941709377135463e-07 , std 8.18720299450838e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_7_3: -1.496362646916972e-07 , std 5.931125597605658e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_8_3: -1.063664938887011e-07 , std 6.49853756137588e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_9_3: -9.430322653258441e-08 , std 6.169661294742339e-06 
2023-05-09 10:07:03,661 INFO ofi_trade_10_3: -1.0073599643469077e-07 , std 5.6921185497090025e-06 
2023-05-09 10:07:03,661 INFO used_intercept: 0.9855689970909656 , std 0.11925916763114644 
2023-05-09 10:07:03,661 INFO used_ofi_add_1_1: 0.010695382535746416 , std 0.1028639457154958 
2023-05-09 10:07:03,661 INFO used_ofi_add_2_1: 0.013896690459554373 , std 0.11706225887887907 
2023-05-09 10:07:03,661 INFO used_ofi_add_3_1: 0.015590963269444178 , std 0.12388658173416128 
2023-05-09 10:07:03,661 INFO used_ofi_add_4_1: 0.018595899951135527 , std 0.13509290305616684 
2023-05-09 10:07:03,661 INFO used_ofi_add_5_1: 0.02238632160129331 , std 0.1479363856745756 
2023-05-09 10:07:03,661 INFO used_ofi_add_6_1: 0.022052947167002325 , std 0.14685576150853505 
2023-05-09 10:07:03,661 INFO used_ofi_add_7_1: 0.022057513940074804 , std 0.1468706234032463 
2023-05-09 10:07:03,661 INFO used_ofi_add_8_1: 0.01814378941696008 , std 0.13347131647868427 
2023-05-09 10:07:03,661 INFO used_ofi_add_9_1: 0.015010983089239312 , std 0.12159627245904328 
2023-05-09 10:07:03,661 INFO used_ofi_add_10_1: 0.01737200476771109 , std 0.1306530451924551 
2023-05-09 10:07:03,661 INFO used_ofi_cancel_1_1: 0.002644161608965489 , std 0.05135338370887708 
2023-05-09 10:07:03,661 INFO used_ofi_cancel_2_1: 0.0070921985815602835 , std 0.08391602529219315 
2023-05-09 10:07:03,661 INFO used_ofi_cancel_3_1: 0.008663168518493148 , std 0.09267209952144893 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_4_1: 0.010631447712731707 , std 0.10255934882916894 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_5_1: 0.012111082188214986 , std 0.1093819175021415 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_6_1: 0.012558625949317953 , std 0.11135935911984711 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_7_1: 0.010969388920095172 , std 0.10415882788710162 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_8_1: 0.009001109725856613 , std 0.09444622676189718 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_9_1: 0.008128856069013075 , std 0.08979297170726862 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_10_1: 0.009416686075452225 , std 0.09658163437635855 
2023-05-09 10:07:03,662 INFO used_ofi_trade_1_1: 0.00028313993049371383 , std 0.016824379996703415 
2023-05-09 10:07:03,662 INFO used_ofi_trade_2_1: 0.0007032830531618053 , std 0.026510157413884607 
2023-05-09 10:07:03,662 INFO used_ofi_trade_3_1: 0.0010686248989601457 , std 0.03267235742620156 
2023-05-09 10:07:03,662 INFO used_ofi_trade_4_1: 0.0013745986948162558 , std 0.03705009005717078 
2023-05-09 10:07:03,662 INFO used_ofi_trade_5_1: 0.0017034063560347622 , std 0.04123717695018638 
2023-05-09 10:07:03,662 INFO used_ofi_trade_6_1: 0.0020687482018331028 , std 0.04543642242420186 
2023-05-09 10:07:03,662 INFO used_ofi_trade_7_1: 0.0014750677024107995 , std 0.03837827351098671 
2023-05-09 10:07:03,662 INFO used_ofi_trade_8_1: 0.0007535175569590772 , std 0.027439930179401537 
2023-05-09 10:07:03,662 INFO used_ofi_trade_9_1: 0.000662182095509492 , std 0.025724377745280424 
2023-05-09 10:07:03,662 INFO used_ofi_trade_10_1: 0.0007626511031040357 , std 0.027605605706069368 
2023-05-09 10:07:03,662 INFO used_ofi_add_1_2: 0.017317203490841336 , std 0.13045044252166466 
2023-05-09 10:07:03,662 INFO used_ofi_add_2_2: 0.02238632160129331 , std 0.14793638567457562 
2023-05-09 10:07:03,662 INFO used_ofi_add_3_2: 0.023897923488283943 , std 0.15273117802607322 
2023-05-09 10:07:03,662 INFO used_ofi_add_4_2: 0.028939640960301043 , std 0.16763692356217325 
2023-05-09 10:07:03,662 INFO used_ofi_add_5_2: 0.03096272143140935 , std 0.173216717764107 
2023-05-09 10:07:03,662 INFO used_ofi_add_6_2: 0.03435583382426144 , std 0.182141457407426 
2023-05-09 10:07:03,662 INFO used_ofi_add_7_2: 0.03266612778744411 , std 0.17776122153838414 
2023-05-09 10:07:03,662 INFO used_ofi_add_8_2: 0.026601453147191662 , std 0.16091555498971946 
