2023-05-09 08:31:25,095 INFO Starting...
2023-05-09 08:31:25,095 INFO Tickers: ['MSFT']
2023-05-09 08:32:45,860 INFO ofi_trade_3_2: -2.8976244700152244e-07 , std 8.473049002107737e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_4_2: -3.6916219972800675e-07 , std 8.56675678995419e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_5_2: -3.790269278572273e-07 , std 9.484429593022557e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_6_2: -2.4305636102149117e-07 , std 7.2625661017507646e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_7_2: -2.1708459570212935e-07 , std 6.522070740370586e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_8_2: -1.4227843742151988e-07 , std 6.536145368906797e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_9_2: -1.8928193150987903e-07 , std 6.925521047943837e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_10_2: -1.6249811267257866e-07 , std 6.088084959481623e-06 
2023-05-09 08:32:45,860 INFO ofi_add_1_3: -1.803059062856224e-06 , std 1.2674310502318275e-05 
2023-05-09 08:32:45,860 INFO ofi_add_2_3: -5.593870284410691e-07 , std 1.320947475955812e-05 
2023-05-09 08:32:45,860 INFO ofi_add_3_3: -2.3716259452419081e-07 , std 1.3296118432733123e-05 
2023-05-09 08:32:45,860 INFO ofi_add_4_3: -2.6755140840366875e-07 , std 1.3449683928518699e-05 
2023-05-09 08:32:45,860 INFO ofi_add_5_3: -2.5255896418180004e-07 , std 1.4129081916225723e-05 
2023-05-09 08:32:45,860 INFO ofi_add_6_3: -3.7365122752493386e-07 , std 1.2273252190348609e-05 
2023-05-09 08:32:45,860 INFO ofi_add_7_3: -4.621905658519042e-07 , std 1.1845761042480984e-05 
2023-05-09 08:32:45,860 INFO ofi_add_8_3: -2.219586122106207e-07 , std 1.0866671798316897e-05 
2023-05-09 08:32:45,860 INFO ofi_add_9_3: -1.3185973674659857e-07 , std 9.97304906557402e-06 
2023-05-09 08:32:45,860 INFO ofi_add_10_3: -1.9921710058428372e-07 , std 1.212374775985258e-05 
2023-05-09 08:32:45,860 INFO ofi_cancel_1_3: 1.9442317029115852e-07 , std 1.2765358395204961e-05 
2023-05-09 08:32:45,860 INFO ofi_cancel_2_3: -2.3114217777960608e-07 , std 1.2864062487180465e-05 
2023-05-09 08:32:45,860 INFO ofi_cancel_3_3: -2.969858335104009e-07 , std 1.2031815639081639e-05 
2023-05-09 08:32:45,860 INFO ofi_cancel_4_3: -3.5365368056763934e-07 , std 1.2796659523559694e-05 
2023-05-09 08:32:45,860 INFO ofi_cancel_5_3: -2.4721467145784286e-07 , std 1.1933232182176013e-05 
2023-05-09 08:32:45,860 INFO ofi_cancel_6_3: -2.0941002781147764e-07 , std 9.853464188405777e-06 
2023-05-09 08:32:45,860 INFO ofi_cancel_7_3: -1.5003209611672647e-07 , std 6.71276419783873e-06 
2023-05-09 08:32:45,860 INFO ofi_cancel_8_3: -9.970856222855887e-08 , std 6.265186893637598e-06 
2023-05-09 08:32:45,860 INFO ofi_cancel_9_3: -9.983595491713981e-08 , std 5.915623746264059e-06 
2023-05-09 08:32:45,860 INFO ofi_cancel_10_3: -1.2799931073112395e-07 , std 7.380923846604336e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_1_3: -6.787066803242428e-08 , std 6.265790378995445e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_2_3: -2.3609060034243443e-07 , std 1.0625668598274546e-05 
2023-05-09 08:32:45,860 INFO ofi_trade_3_3: -3.164353312423041e-07 , std 9.865216665130405e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_4_3: -3.5735443527475785e-07 , std 9.404509210380488e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_5_3: -4.280864972199153e-07 , std 1.0761916039704712e-05 
2023-05-09 08:32:45,860 INFO ofi_trade_6_3: -2.6907576228513967e-07 , std 8.526517896013842e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_7_3: -2.5225022930952266e-07 , std 8.281265816153295e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_8_3: -1.941596088454638e-07 , std 8.547149335589503e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_9_3: -2.2765497561424688e-07 , std 8.242912316420567e-06 
2023-05-09 08:32:45,860 INFO ofi_trade_10_3: -2.2459312265251095e-07 , std 8.443731667082734e-06 
2023-05-09 08:32:45,860 INFO used_intercept: 0.9860804756750833 , std 0.11715703635499161 
2023-05-09 08:32:45,860 INFO used_ofi_add_1_1: 0.05421216314340124 , std 0.22643587284419953 
2023-05-09 08:32:45,860 INFO used_ofi_add_2_1: 0.017778447571161742 , std 0.13214527752863964 
2023-05-09 08:32:45,861 INFO used_ofi_add_3_1: 0.011416932681198139 , std 0.10623834679319485 
2023-05-09 08:32:45,861 INFO used_ofi_add_4_1: 0.013211674498682486 , std 0.11418023539835322 
2023-05-09 08:32:45,861 INFO used_ofi_add_5_1: 0.016901627141245726 , std 0.12890291750470206 
2023-05-09 08:32:45,861 INFO used_ofi_add_6_1: 0.016184643768866483 , std 0.1261851856397627 
2023-05-09 08:32:45,861 INFO used_ofi_add_7_1: 0.014974448904659479 , std 0.12145046226614875 
2023-05-09 08:32:45,861 INFO used_ofi_add_8_1: 0.013782521132742392 , std 0.11658714870845716 
2023-05-09 08:32:45,861 INFO used_ofi_add_9_1: 0.013805354998104789 , std 0.11668233444476973 
2023-05-09 08:32:45,861 INFO used_ofi_add_10_1: 0.015654898092458888 , std 0.1241363051575711 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_1_1: 0.009348184479365036 , std 0.09623302928986906 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_2_1: 0.004566773072479256 , std 0.06742342067993683 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_3_1: 0.004594173710914131 , std 0.06762445769710897 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_4_1: 0.006210811378571788 , std 0.0785635869890854 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_5_1: 0.007521475250373334 , std 0.08639966817315534 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_6_1: 0.005128486160394204 , std 0.07142957923785391 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_7_1: 0.004068994807579017 , std 0.06365876285975806 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_8_1: 0.003594050408041174 , std 0.059842570213065154 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_9_1: 0.0032058746968804375 , std 0.05652961227806484 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_10_1: 0.003059737958561101 , std 0.055230208782748966 
2023-05-09 08:32:45,861 INFO used_ofi_trade_1_1: 0.00013700319217437766 , std 0.011704034445425716 
2023-05-09 08:32:45,861 INFO used_ofi_trade_2_1: 0.002552826147515904 , std 0.05046096735276152 
2023-05-09 08:32:45,861 INFO used_ofi_trade_3_1: 0.004078128353723975 , std 0.06372987700329044 
2023-05-09 08:32:45,861 INFO used_ofi_trade_4_1: 0.004279066368913062 , std 0.06527446637026992 
