2023-05-09 08:52:04,313 INFO Starting...
2023-05-09 08:52:04,313 INFO Tickers: ['MA']
2023-05-09 08:53:24,818 INFO ofi_cancel_7_2: -2.7526195410669406e-07 , std 6.380390955867388e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_8_2: -2.0092436241982984e-07 , std 6.222115875070693e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_9_2: -1.413618461405526e-07 , std 5.912641189570166e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_10_2: -1.9805511351999013e-07 , std 6.110537062666656e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_1_2: -2.119770549371643e-08 , std 2.0307457854626937e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_2_2: -1.1039518193202043e-08 , std 3.1130629226203655e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_3_2: -2.728682699530488e-08 , std 2.521322961583479e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_4_2: -7.011407195992954e-08 , std 4.003308556624169e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_5_2: -7.314678343446172e-08 , std 4.064831178685023e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_6_2: -9.822838307532058e-08 , std 5.379014217507863e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_7_2: -6.488012914767813e-08 , std 3.2253858798708907e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_8_2: -8.424878562885987e-08 , std 3.9053837978280386e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_9_2: -5.799816463059989e-08 , std 3.7199041696158916e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_10_2: -4.0487439514284876e-08 , std 2.9585054053466446e-06 
2023-05-09 08:53:24,818 INFO ofi_add_1_3: -2.3817256735757696e-07 , std 8.12761861580227e-06 
2023-05-09 08:53:24,818 INFO ofi_add_2_3: -3.308597224708545e-07 , std 7.579405516987505e-06 
2023-05-09 08:53:24,818 INFO ofi_add_3_3: -3.199266001642287e-07 , std 7.611155379854426e-06 
2023-05-09 08:53:24,818 INFO ofi_add_4_3: -2.8211688416510246e-07 , std 6.952886044731236e-06 
2023-05-09 08:53:24,818 INFO ofi_add_5_3: -3.663485889989056e-07 , std 7.388503437432588e-06 
2023-05-09 08:53:24,818 INFO ofi_add_6_3: -3.210523851820303e-07 , std 7.536786110498558e-06 
2023-05-09 08:53:24,819 INFO ofi_add_7_3: -3.503921316236772e-07 , std 7.462425106710757e-06 
2023-05-09 08:53:24,819 INFO ofi_add_8_3: -3.8617685046788347e-07 , std 7.162392523511589e-06 
2023-05-09 08:53:24,819 INFO ofi_add_9_3: -3.434555213485761e-07 , std 6.899021793036156e-06 
2023-05-09 08:53:24,819 INFO ofi_add_10_3: -3.625875454392385e-07 , std 7.61224404888999e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_1_3: -1.7481908638710186e-07 , std 7.057166957872224e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_2_3: -3.0606788053664744e-07 , std 7.351125188562483e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_3_3: -2.846627161594831e-07 , std 7.06010778807975e-06 
