2023-05-09 10:34:37,286 INFO Starting...
2023-05-09 10:34:37,286 INFO Tickers: ['TGT']
2023-05-09 10:35:54,102 INFO ofi_trade_3_2: -2.2029591759377496e-07 , std 9.236947667781314e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_4_2: -3.42312244329758e-07 , std 1.0384195128039593e-05 
2023-05-09 10:35:54,102 INFO ofi_trade_5_2: -2.6560416339268115e-07 , std 8.935075024955439e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_6_2: -2.2052190430211901e-07 , std 8.185130763580687e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_7_2: -1.2455386461392657e-07 , std 6.2051582191042304e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_8_2: -1.4552074866659366e-07 , std 8.010225214341618e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_9_2: -9.852781224149854e-08 , std 7.460919125761179e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_10_2: -8.417835795281434e-08 , std 5.992176161445537e-06 
2023-05-09 10:35:54,102 INFO ofi_add_1_3: -1.3301833152820375e-06 , std 1.5866881600342394e-05 
2023-05-09 10:35:54,102 INFO ofi_add_2_3: -6.906907662073622e-07 , std 1.657345335605814e-05 
2023-05-09 10:35:54,102 INFO ofi_add_3_3: -5.736061063669732e-07 , std 1.5882042280595127e-05 
2023-05-09 10:35:54,102 INFO ofi_add_4_3: -7.54252997371239e-07 , std 1.5766911510335094e-05 
2023-05-09 10:35:54,102 INFO ofi_add_5_3: -7.973170357827282e-07 , std 1.4148135572552813e-05 
2023-05-09 10:35:54,102 INFO ofi_add_6_3: -7.280472776985197e-07 , std 1.5091156161188212e-05 
2023-05-09 10:35:54,102 INFO ofi_add_7_3: -7.277512021285461e-07 , std 1.4504574324469712e-05 
2023-05-09 10:35:54,102 INFO ofi_add_8_3: -5.593896881814813e-07 , std 1.3612056544639315e-05 
2023-05-09 10:35:54,102 INFO ofi_add_9_3: -4.371393018742999e-07 , std 1.4515131403801559e-05 
2023-05-09 10:35:54,102 INFO ofi_add_10_3: -6.094098726446174e-07 , std 1.5285438360022066e-05 
2023-05-09 10:35:54,102 INFO ofi_cancel_1_3: -2.1574604482489397e-07 , std 1.4685215922800047e-05 
