2023-05-09 09:52:54,012 INFO Starting...
2023-05-09 09:52:54,012 INFO Tickers: ['DHR']
2023-05-09 09:54:12,470 INFO ofi_trade_3_2: -1.104487171778149e-07 , std 7.171469651979825e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_4_2: -1.4083293740259832e-07 , std 6.106609828835217e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_5_2: -1.710808706820814e-07 , std 7.117224911418295e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_6_2: -1.402296658055287e-07 , std 7.024750610289253e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_7_2: -6.223741374871634e-08 , std 5.2823296177533515e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_8_2: -4.8467872865570945e-08 , std 3.949871798660229e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_9_2: -3.2381301195155243e-08 , std 3.983528481395972e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_10_2: -4.7037106507638274e-08 , std 5.301847297721161e-06 
2023-05-09 09:54:12,470 INFO ofi_add_1_3: -5.515657988556215e-07 , std 1.3519102789471432e-05 
2023-05-09 09:54:12,470 INFO ofi_add_2_3: -4.6591353304833686e-07 , std 1.2722153410415601e-05 
2023-05-09 09:54:12,470 INFO ofi_add_3_3: -5.788907215677947e-07 , std 1.2246079561935874e-05 
2023-05-09 09:54:12,470 INFO ofi_add_4_3: -7.826426245239016e-07 , std 1.2504300336006579e-05 
2023-05-09 09:54:12,470 INFO ofi_add_5_3: -6.41144286925448e-07 , std 1.1979170500780253e-05 
2023-05-09 09:54:12,470 INFO ofi_add_6_3: -5.986146288910748e-07 , std 1.1994265177747154e-05 
2023-05-09 09:54:12,470 INFO ofi_add_7_3: -5.511658557262001e-07 , std 1.155078749823242e-05 
2023-05-09 09:54:12,470 INFO ofi_add_8_3: -4.337220889255336e-07 , std 1.1724127027652547e-05 
2023-05-09 09:54:12,470 INFO ofi_add_9_3: -3.3297245516238554e-07 , std 1.087003384696941e-05 
2023-05-09 09:54:12,470 INFO ofi_add_10_3: -4.388527365235958e-07 , std 1.2497396398820851e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_1_3: -2.3575093860157851e-07 , std 1.2221283807709862e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_2_3: -6.455158349342204e-07 , std 1.2118839280840289e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_3_3: -5.887860564045677e-07 , std 1.1968317716941712e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_4_3: -4.096430053382112e-07 , std 1.1244148360952393e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_5_3: -4.268515705493411e-07 , std 1.0994697577312925e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_6_3: -3.5478110524592865e-07 , std 1.0853071812496626e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_7_3: -1.7640560175623505e-07 , std 9.525813822618432e-06 
2023-05-09 09:54:12,470 INFO ofi_cancel_8_3: -2.764092547683934e-07 , std 9.644065377457162e-06 
2023-05-09 09:54:12,470 INFO ofi_cancel_9_3: -2.187020124826841e-07 , std 1.0626328575382597e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_10_3: -3.3689997172878604e-07 , std 1.1063189541834855e-05 
2023-05-09 09:54:12,470 INFO ofi_trade_1_3: -4.328378379581099e-08 , std 3.7980738035640825e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_2_3: -6.428545539916883e-08 , std 6.447931139286794e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_3_3: -7.642619601383574e-08 , std 6.851434324336503e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_4_3: -1.642838128668289e-07 , std 7.961355026254435e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_5_3: -1.3173262397425956e-07 , std 8.062179629027873e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_6_3: -1.1707987263651986e-07 , std 6.732029702700857e-06 
2023-05-09 09:54:12,471 INFO ofi_trade_7_3: -8.145044010868114e-08 , std 5.9527299062063995e-06 
2023-05-09 09:54:12,471 INFO ofi_trade_8_3: -1.3379199127630002e-08 , std 4.9949155823119015e-06 
2023-05-09 09:54:12,471 INFO ofi_trade_9_3: -3.7472449097885596e-08 , std 5.023787924483586e-06 
2023-05-09 09:54:12,471 INFO ofi_trade_10_3: -3.8834039039242525e-08 , std 4.163254068477098e-06 
2023-05-09 09:54:12,471 INFO used_intercept: 0.9837559881811913 , std 0.1264125939091478 
2023-05-09 09:54:12,471 INFO used_ofi_add_1_1: 0.021906810428682987 , std 0.14637930893922385 
2023-05-09 09:54:12,471 INFO used_ofi_add_2_1: 0.01833102711293173 , std 0.13414544553549587 
2023-05-09 09:54:12,471 INFO used_ofi_add_3_1: 0.017938284628698516 , std 0.13272717345471616 
2023-05-09 09:54:12,471 INFO used_ofi_add_4_1: 0.01820772423997479 , std 0.13370191852765548 
2023-05-09 09:54:12,471 INFO used_ofi_add_5_1: 0.020956921629607304 , std 0.14324010983456348 
2023-05-09 09:54:12,471 INFO used_ofi_add_6_1: 0.01772821306736447 , std 0.13196182602860038 
2023-05-09 09:54:12,471 INFO used_ofi_add_7_1: 0.01618921054193896 , std 0.1262026941232545 
2023-05-09 09:54:12,471 INFO used_ofi_add_8_1: 0.012627127545405141 , std 0.11165878019823253 
2023-05-09 09:54:12,471 INFO used_ofi_add_9_1: 0.011563069419517475 , std 0.10690820756666389 
2023-05-09 09:54:12,471 INFO used_ofi_add_10_1: 0.015682298730893763 , std 0.12424316575735171 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_1_1: 0.006713156416544505 , std 0.08165837340696612 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_2_1: 0.01012910267475899 , std 0.10013243207754009 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_3_1: 0.011421499454270618 , std 0.10625934690410399 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_4_1: 0.010649714805021623 , std 0.10264647280639178 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_5_1: 0.011512834915720202 , std 0.10667843993949096 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_6_1: 0.008672302064638105 , std 0.09272051143915125 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_7_1: 0.007512341704228375 , std 0.08634759073852198 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_8_1: 0.006827325743356487 , std 0.08234508708205117 
