2023-05-09 09:44:14,837 INFO Starting...
2023-05-09 09:44:14,838 INFO Tickers: ['LIN']
2023-05-09 09:44:45,682 INFO ofi_trade_4_2: -2.324661037121167e-08 , std 3.4431039991243422e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_5_2: -4.418700205114282e-08 , std 3.3065188553850916e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_6_2: -3.8385547995610184e-08 , std 2.7323951136040444e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_7_2: -2.667120732754936e-08 , std 2.994735579612563e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_8_2: -1.0251096472837696e-08 , std 1.868241778564605e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_9_2: -2.9264299754271106e-08 , std 4.21701440108987e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_10_2: -8.864610214952048e-08 , std 5.350437950786332e-06 
2023-05-09 09:44:45,683 INFO ofi_add_1_3: -2.026087196186939e-07 , std 1.0178462665020561e-05 
2023-05-09 09:44:45,683 INFO ofi_add_2_3: -4.2281724265643007e-07 , std 1.0667542493348656e-05 
2023-05-09 09:44:45,683 INFO ofi_add_3_3: -4.280572868095149e-07 , std 9.700712471262484e-06 
2023-05-09 09:44:45,683 INFO ofi_add_4_3: -4.89443895409351e-07 , std 1.0816077545031493e-05 
2023-05-09 09:44:45,683 INFO ofi_add_5_3: -4.20841402114423e-07 , std 9.337129564780585e-06 
2023-05-09 09:44:45,683 INFO ofi_add_6_3: -3.068616324128693e-07 , std 8.553247980400064e-06 
2023-05-09 09:44:45,683 INFO ofi_add_7_3: -1.8153071119792645e-07 , std 8.942465212577989e-06 
2023-05-09 09:44:45,683 INFO ofi_add_8_3: -2.226957685259287e-07 , std 7.755915940152526e-06 
2023-05-09 09:44:45,683 INFO ofi_add_9_3: -1.3385835078772694e-07 , std 8.17644072618373e-06 
2023-05-09 09:44:45,683 INFO ofi_add_10_3: 4.170058450143024e-08 , std 9.117280255434656e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_1_3: -1.9103376097560666e-07 , std 9.064547686333819e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_2_3: -2.0639640423264236e-07 , std 1.0446496627953813e-05 
2023-05-09 09:44:45,683 INFO ofi_cancel_3_3: -2.1270095932414416e-07 , std 7.984739395185346e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_4_3: -2.2228493587665897e-07 , std 8.677812324668128e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_5_3: -8.271212299225783e-08 , std 7.739351450616132e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_6_3: -5.2282211720570315e-08 , std 8.212816734666269e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_7_3: 4.502810564396325e-08 , std 8.633174811325678e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_8_3: -9.239110567465875e-08 , std 7.490378104332806e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_9_3: -1.8774443938881144e-07 , std 7.941242328192832e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_10_3: -1.8073095404692602e-07 , std 7.6176057359181844e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_1_3: -5.100504799057879e-08 , std 5.41924316598284e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_2_3: -3.4655399145697886e-08 , std 6.559473753537272e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_3_3: -2.3411001366187776e-08 , std 5.679019512480964e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_4_3: -3.495693277683348e-08 , std 4.832159204827191e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_5_3: -2.2502213111290763e-08 , std 4.214434520399317e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_6_3: -2.203078585048223e-08 , std 3.5221072838787607e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_7_3: -2.509806656601031e-08 , std 2.614309327722219e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_8_3: -4.215581114490246e-08 , std 3.977959284044383e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_9_3: -1.1831703441251798e-08 , std 2.99017308532968e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_10_3: -4.288535618322968e-08 , std 5.6790109329816684e-06 
2023-05-09 09:44:45,683 INFO used_intercept: 0.9854404829734874 , std 0.119781206749921 
2023-05-09 09:44:45,683 INFO used_ofi_add_1_1: 0.019845070251791146 , std 0.13946771468154423 
2023-05-09 09:44:45,683 INFO used_ofi_add_2_1: 0.024027446083720254 , std 0.15313434597899378 
2023-05-09 09:44:45,683 INFO used_ofi_add_3_1: 0.020693668246675314 , std 0.1423567361987899 
2023-05-09 09:44:45,683 INFO used_ofi_add_4_1: 0.017699329607584042 , std 0.1318562222233981 
2023-05-09 09:44:45,683 INFO used_ofi_add_5_1: 0.015432360678393483 , std 0.12326476756269594 
2023-05-09 09:44:45,683 INFO used_ofi_add_6_1: 0.017456873037617136 , std 0.13096614303462423 
2023-05-09 09:44:45,683 INFO used_ofi_add_7_1: 0.015153535622931542 , std 0.12216343962518446 
2023-05-09 09:44:45,683 INFO used_ofi_add_8_1: 0.015092921480439817 , std 0.12192261972917534 
2023-05-09 09:44:45,683 INFO used_ofi_add_9_1: 0.01567481724836039 , std 0.12421399821514033 
2023-05-09 09:44:45,683 INFO used_ofi_add_10_1: 0.02096037047363891 , std 0.14325164342249871 
