2023-05-09 10:33:15,480 INFO Starting...
2023-05-09 10:33:15,480 INFO Tickers: ['SO']
2023-05-09 10:34:36,597 INFO ofi_cancel_6_2: -4.0756090452479803e-07 , std 1.5281605294288306e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_7_2: -8.358960582368166e-08 , std 1.4633063931952006e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_8_2: -1.62801645614851e-07 , std 1.1365991689247075e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_9_2: -1.7545389010575643e-07 , std 9.979054769351076e-06 
2023-05-09 10:34:36,597 INFO ofi_cancel_10_2: -1.938093558270416e-07 , std 1.1094444652850334e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_1_2: -1.6122436794536547e-07 , std 1.5779035099562385e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_2_2: -6.452139579358429e-07 , std 2.0059404569198823e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_3_2: -7.486450430799601e-07 , std 2.1756229081896346e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_4_2: -3.466678617192143e-07 , std 1.835295733115869e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_5_2: -3.8932221374097736e-07 , std 1.6967401520300168e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_6_2: -2.2180126411093468e-07 , std 1.3338379865879161e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_7_2: -1.9528729466473076e-07 , std 1.1780058569459347e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_8_2: -2.0830644804792417e-07 , std 1.212874586699538e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_9_2: -1.5962982666622348e-07 , std 9.773089403105281e-06 
2023-05-09 10:34:36,597 INFO ofi_trade_10_2: -6.500043662919867e-08 , std 1.1255939454434464e-05 
2023-05-09 10:34:36,597 INFO ofi_add_1_3: -2.7235219159161905e-06 , std 2.5443314022352863e-05 
2023-05-09 10:34:36,597 INFO ofi_add_2_3: -1.1340526130046456e-06 , std 2.7594868696474126e-05 
2023-05-09 10:34:36,597 INFO ofi_add_3_3: -8.272828028309019e-07 , std 2.7058710925799666e-05 
2023-05-09 10:34:36,597 INFO ofi_add_4_3: -9.057813697818491e-07 , std 2.5393513093447672e-05 
2023-05-09 10:34:36,597 INFO ofi_add_5_3: -7.957749107567283e-07 , std 2.5164965627719e-05 
2023-05-09 10:34:36,597 INFO ofi_add_6_3: -8.536894334284019e-07 , std 2.4483424639599216e-05 
