2023-05-09 09:40:16,624 INFO Starting...
2023-05-09 09:40:16,624 INFO Tickers: ['IBM']
2023-05-09 09:41:34,325 INFO ofi_trade_4_2: -1.19071670807116e-07 , std 4.719169556193427e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_5_2: -1.0101636973201296e-07 , std 4.4487160079234595e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_6_2: -1.218386804822594e-07 , std 4.83219502626307e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_7_2: -1.8103569214692668e-07 , std 6.183973821250038e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_8_2: -1.254921311097417e-07 , std 5.149658219334973e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_9_2: -9.356726063481748e-08 , std 5.257861025444265e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_10_2: -9.784853606486743e-08 , std 4.935769197271969e-06 
2023-05-09 09:41:34,326 INFO ofi_add_1_3: -2.7379925149692846e-07 , std 9.384451161425536e-06 
2023-05-09 09:41:34,326 INFO ofi_add_2_3: -2.8742434098286467e-07 , std 8.651805449354773e-06 
2023-05-09 09:41:34,326 INFO ofi_add_3_3: -2.822595699341972e-07 , std 8.368536056936948e-06 
2023-05-09 09:41:34,326 INFO ofi_add_4_3: -4.0435948981768887e-07 , std 8.725253349873834e-06 
2023-05-09 09:41:34,326 INFO ofi_add_5_3: -3.6829274280412106e-07 , std 8.081080789514396e-06 
2023-05-09 09:41:34,326 INFO ofi_add_6_3: -3.3411775707073757e-07 , std 7.698943617976124e-06 
2023-05-09 09:41:34,326 INFO ofi_add_7_3: -3.3076241756490794e-07 , std 8.25083705671173e-06 
2023-05-09 09:41:34,326 INFO ofi_add_8_3: -3.9314777083650534e-07 , std 7.858820877422846e-06 
2023-05-09 09:41:34,326 INFO ofi_add_9_3: -3.625305316704488e-07 , std 8.161048328422289e-06 
2023-05-09 09:41:34,326 INFO ofi_add_10_3: -4.291013236247429e-07 , std 8.819453036463226e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_1_3: -1.5110578582958266e-07 , std 7.728481201731693e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_2_3: -3.387584138653197e-07 , std 8.831334281933964e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_3_3: -4.451568270032194e-07 , std 8.191794500477666e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_4_3: -3.784080740249048e-07 , std 8.205175783955109e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_5_3: -4.3116610290533286e-07 , std 8.022683704703013e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_6_3: -3.6574680157824006e-07 , std 7.651191062938123e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_7_3: -3.1223728167209135e-07 , std 7.965298772022096e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_8_3: -2.529037052481527e-07 , std 7.474899730784817e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_9_3: -3.0215619887944993e-07 , std 7.942816761747477e-06 
2023-05-09 09:41:34,326 INFO ofi_cancel_10_3: -1.9844899704720085e-07 , std 7.782174052755825e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_1_3: -1.6421744755859384e-08 , std 2.4277080097902604e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_2_3: -3.0161022917000676e-08 , std 3.651818959660273e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_3_3: -3.9704615560674636e-08 , std 4.734644262467107e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_4_3: -9.652143663835566e-08 , std 5.0632257978610805e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_5_3: -1.3617823188149423e-07 , std 5.933615712452097e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_6_3: -1.8640891079418204e-07 , std 6.858608657742029e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_7_3: -1.9141550504366415e-07 , std 6.510707088303878e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_8_3: -1.2153504426913242e-07 , std 5.696670972866872e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_9_3: -9.506232885937057e-08 , std 5.236560276423569e-06 
2023-05-09 09:41:34,326 INFO ofi_trade_10_3: -1.259198481988176e-07 , std 6.139409581957648e-06 
2023-05-09 09:41:34,326 INFO used_intercept: 0.98237225594023 , std 0.13159409826862745 
2023-05-09 09:41:34,326 INFO used_ofi_add_1_1: 0.007398172377416394 , std 0.08569387039275579 
2023-05-09 09:41:34,326 INFO used_ofi_add_2_1: 0.011572202965662434 , std 0.10694992792977445 
2023-05-09 09:41:34,326 INFO used_ofi_add_3_1: 0.011773140980851521 , std 0.10786349768247144 
2023-05-09 09:41:34,326 INFO used_ofi_add_4_1: 0.014997282770021875 , std 0.12154161542261104 
2023-05-09 09:41:34,326 INFO used_ofi_add_5_1: 0.01846803030510611 , std 0.134636407266964 
2023-05-09 09:41:34,326 INFO used_ofi_add_6_1: 0.020217104391865665 , std 0.14074222210081122 
2023-05-09 09:41:34,326 INFO used_ofi_add_7_1: 0.01968279194238559 , std 0.1389078098730894 
2023-05-09 09:41:34,326 INFO used_ofi_add_8_1: 0.01850913126275842 , std 0.13478331989773956 
2023-05-09 09:41:34,326 INFO used_ofi_add_9_1: 0.018025053317075622 , std 0.13304191358362297 
2023-05-09 09:41:34,326 INFO used_ofi_add_10_1: 0.01932658364273221 , std 0.13767013767492456 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_1_1: 0.002310787174674503 , std 0.04801507510467793 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_2_1: 0.005544062509989816 , std 0.07425177358740424 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_3_1: 0.007137866312285076 , std 0.08418382966338027 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_4_1: 0.009033077137363968 , std 0.09461226482224383 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_5_1: 0.011700072611691852 , std 0.1075322319705724 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_6_1: 0.012165883465084737 , std 0.10962606781509002 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_7_1: 0.011215994666009052 , std 0.1053100001408276 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_8_1: 0.009841395971192796 , std 0.09871445130542428 
