2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,140 INFO ofi_trade_3_2: -6.555498097957063e-08 , std 4.569152077938628e-06 
2023-05-09 10:21:43,140 INFO ofi_trade_4_2: -5.7055386733218455e-08 , std 4.12911969185391e-06 
2023-05-09 10:21:43,140 INFO ofi_trade_5_2: -3.61296935556922e-08 , std 3.625533403987696e-06 
2023-05-09 10:21:43,140 INFO ofi_trade_6_2: -9.083109731121356e-08 , std 5.600041683357434e-06 
2023-05-09 10:21:43,140 INFO ofi_trade_7_2: -1.1142921691074039e-07 , std 5.703921817411374e-06 
2023-05-09 10:21:43,140 INFO ofi_trade_8_2: -6.249543661640168e-08 , std 4.908037134766441e-06 
2023-05-09 10:21:43,140 INFO ofi_trade_9_2: -1.1863454737146431e-07 , std 6.9928475155066814e-06 
2023-05-09 10:21:43,140 INFO ofi_trade_10_2: -1.3846952799079564e-07 , std 6.950241469447945e-06 
2023-05-09 10:21:43,140 INFO ofi_add_1_3: -3.547128719025862e-07 , std 1.1748720364434194e-05 
2023-05-09 10:21:43,140 INFO ofi_add_2_3: -5.668725665261532e-07 , std 1.1044027245218103e-05 
2023-05-09 10:21:43,140 INFO ofi_add_3_3: -5.871615738146594e-07 , std 1.0271981765853547e-05 
2023-05-09 10:21:43,140 INFO ofi_add_4_3: -5.011285061370718e-07 , std 9.994365860409445e-06 
2023-05-09 10:21:43,141 INFO ofi_add_5_3: -4.2113719273964765e-07 , std 1.0267544863584242e-05 
2023-05-09 10:21:43,141 INFO ofi_add_6_3: -3.2628595174272266e-07 , std 9.904023759010274e-06 
2023-05-09 10:21:43,141 INFO ofi_add_7_3: -3.447961114946759e-07 , std 1.0263087462605128e-05 
2023-05-09 10:21:43,141 INFO ofi_add_8_3: -2.126476278386675e-07 , std 9.301473648797763e-06 
2023-05-09 10:21:43,141 INFO ofi_add_9_3: -2.1650276939317536e-07 , std 9.790109877393697e-06 
2023-05-09 10:21:43,141 INFO ofi_add_10_3: -2.1083232060425937e-07 , std 1.054771638418047e-05 
2023-05-09 10:21:43,141 INFO ofi_cancel_1_3: -4.109940160566618e-07 , std 1.1246912341689081e-05 
2023-05-09 10:21:43,141 INFO ofi_cancel_2_3: -3.127860618177337e-07 , std 1.0381719095235671e-05 
2023-05-09 10:21:43,141 INFO ofi_cancel_3_3: -3.866150355948494e-07 , std 1.017702552650698e-05 
2023-05-09 10:21:43,141 INFO ofi_cancel_4_3: -2.3078570941727433e-07 , std 9.65656340035479e-06 
2023-05-09 10:21:43,141 INFO ofi_cancel_5_3: -3.366404959252981e-07 , std 1.0325442627126556e-05 
