2023-05-09 08:45:16,684 INFO Starting...
2023-05-09 08:45:16,684 INFO Tickers: ['XOM']
2023-05-09 08:46:37,237 INFO ofi_trade_3_2: -3.2890423019780864e-07 , std 8.692281950389755e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_4_2: -2.9207737272989973e-07 , std 8.752950443227161e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_5_2: -4.1777044276336693e-07 , std 1.0216412956170429e-05 
2023-05-09 08:46:37,237 INFO ofi_trade_6_2: -2.262723432634391e-07 , std 8.097319309424375e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_7_2: -1.314694113164519e-07 , std 5.488427733829119e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_8_2: -1.0095746460443211e-07 , std 6.018970685440463e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_9_2: -7.675084404522829e-08 , std 5.55922306965886e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_10_2: -9.326305910746722e-08 , std 5.106520758471155e-06 
2023-05-09 08:46:37,237 INFO ofi_add_1_3: -1.9798713422039582e-06 , std 1.5060760424011822e-05 
2023-05-09 08:46:37,237 INFO ofi_add_2_3: -5.812469098901056e-07 , std 1.3973874733048194e-05 
2023-05-09 08:46:37,237 INFO ofi_add_3_3: -4.644230275643712e-07 , std 1.3542127313727577e-05 
2023-05-09 08:46:37,237 INFO ofi_add_4_3: -2.76217446271046e-07 , std 1.2247066060483552e-05 
2023-05-09 08:46:37,237 INFO ofi_add_5_3: -3.861674451056086e-07 , std 1.3311186707963131e-05 
2023-05-09 08:46:37,237 INFO ofi_add_6_3: -7.022940486268272e-07 , std 1.40017579018804e-05 
2023-05-09 08:46:37,237 INFO ofi_add_7_3: -8.666456413733015e-07 , std 1.3860616733220059e-05 
2023-05-09 08:46:37,237 INFO ofi_add_8_3: -3.7530408581555183e-07 , std 1.1580897580711975e-05 
2023-05-09 08:46:37,237 INFO ofi_add_9_3: -3.2786956388704306e-07 , std 1.1179527962746566e-05 
2023-05-09 08:46:37,237 INFO ofi_add_10_3: -4.9395172009124e-07 , std 1.2801742864922454e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_1_3: -1.626445774164201e-08 , std 1.4927650725394716e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_2_3: -4.803370263460372e-07 , std 1.2258507696502201e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_3_3: -6.174909900082383e-07 , std 1.149382170692177e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_4_3: -6.939599449459194e-07 , std 1.1582727337588004e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_5_3: -8.017084808766601e-07 , std 1.1905877636761415e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_6_3: -5.571939254401948e-07 , std 1.1718940939428553e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_7_3: -1.198564215820037e-07 , std 9.703455318594944e-06 
2023-05-09 08:46:37,237 INFO ofi_cancel_8_3: -2.0000120662838748e-07 , std 7.4038337774060585e-06 
2023-05-09 08:46:37,237 INFO ofi_cancel_9_3: -1.283020010297423e-07 , std 6.931612321458064e-06 
2023-05-09 08:46:37,237 INFO ofi_cancel_10_3: -7.973956451452498e-08 , std 7.037229806553743e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_1_3: -1.3134468034317995e-08 , std 2.601222680692369e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_2_3: -1.6330115774776715e-07 , std 8.293631156636402e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_3_3: -3.1950424166080566e-07 , std 1.0345882825934828e-05 
2023-05-09 08:46:37,237 INFO ofi_trade_4_3: -3.2125524569157076e-07 , std 1.0290132773995037e-05 
2023-05-09 08:46:37,237 INFO ofi_trade_5_3: -3.887875905788401e-07 , std 1.0885985214865836e-05 
2023-05-09 08:46:37,237 INFO ofi_trade_6_3: -2.778801866657712e-07 , std 1.0102423945290797e-05 
2023-05-09 08:46:37,237 INFO ofi_trade_7_3: -1.0730002846362656e-07 , std 7.629376409388195e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_8_3: -1.0951023849084549e-07 , std 6.8626851343251734e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_9_3: -7.904925285222428e-08 , std 6.7510482419658295e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_10_3: -9.556913932592731e-08 , std 6.530290446918772e-06 
2023-05-09 08:46:37,237 INFO used_intercept: 0.9836098514428719 , std 0.1269705146378612 
2023-05-09 08:46:37,237 INFO used_ofi_add_1_1: 0.047142798427203356 , std 0.2119442261153991 
2023-05-09 08:46:37,238 INFO used_ofi_add_2_1: 0.016842259091303494 , std 0.12868021370826555 
2023-05-09 08:46:37,238 INFO used_ofi_add_3_1: 0.013841889182684624 , std 0.11683446104013537 
2023-05-09 08:46:37,238 INFO used_ofi_add_4_1: 0.01871463605101999 , std 0.1355153070634379 
2023-05-09 08:46:37,238 INFO used_ofi_add_5_1: 0.023559982280920478 , std 0.15167369421176233 
2023-05-09 08:46:37,238 INFO used_ofi_add_6_1: 0.021313129929260686 , std 0.14442603789441552 
2023-05-09 08:46:37,238 INFO used_ofi_add_7_1: 0.01226635247267928 , std 0.11007219934976895 
2023-05-09 08:46:37,238 INFO used_ofi_add_8_1: 0.008147123161302991 , std 0.0898929782880596 
2023-05-09 08:46:37,238 INFO used_ofi_add_9_1: 0.007201801135299786 , std 0.08455728942975514 
2023-05-09 08:46:37,238 INFO used_ofi_add_10_1: 0.008425696318724226 , std 0.09140406971392938 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_1_1: 0.007658478442547711 , std 0.087176981769804 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_2_1: 0.007032830531618054 , std 0.08356655925866277 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_3_1: 0.009480620898466935 , std 0.09690582400375368 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_4_1: 0.013946924963351646 , std 0.11727066234748694 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_5_1: 0.015412859119617487 , std 0.1231880793477044 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_6_1: 0.009590223452206436 , std 0.09745897119477091 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_7_1: 0.004338434418855293 , std 0.06572375830434975 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_8_1: 0.0027857315742123457 , std 0.0527064633020352 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_9_1: 0.002539125828298466 , std 0.05032572571087805 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_10_1: 0.00239298908997913 , std 0.048859622319399595 
2023-05-09 08:46:37,238 INFO used_ofi_trade_1_1: 0.00011416932681198139 , std 0.010684394796936163 
2023-05-09 08:46:37,238 INFO used_ofi_trade_2_1: 0.0012832632333666708 , std 0.03579967135101326 
2023-05-09 08:46:37,238 INFO used_ofi_trade_3_1: 0.0029181679933142444 , std 0.053941192875918496 
2023-05-09 08:46:37,238 INFO used_ofi_trade_4_1: 0.003685385869490759 , std 0.0605954107213056 
2023-05-09 08:46:37,238 INFO used_ofi_trade_5_1: 0.004164897042101081 , std 0.06440148037684987 
2023-05-09 08:46:37,238 INFO used_ofi_trade_6_1: 0.0029181679933142444 , std 0.053941192875918496 
2023-05-09 08:46:37,238 INFO used_ofi_trade_7_1: 0.0012741296872217122 , std 0.03567220599797344 
2023-05-09 08:46:37,238 INFO used_ofi_trade_8_1: 0.000785484968466432 , std 0.028015495387923178 
2023-05-09 08:46:37,238 INFO used_ofi_trade_9_1: 0.0008859539760609755 , std 0.02975179089757921 
2023-05-09 08:46:37,238 INFO used_ofi_trade_10_1: 0.0010731916720326251 , std 0.03274202088551813 
2023-05-09 08:46:37,238 INFO used_ofi_add_1_2: 0.06405812588766652 , std 0.24485645263179487 
2023-05-09 08:46:37,238 INFO used_ofi_add_2_2: 0.02767007804615181 , std 0.1640257444033457 
2023-05-09 08:46:37,238 INFO used_ofi_add_3_2: 0.021879409790248112 , std 0.14628978507564536 
2023-05-09 08:46:37,238 INFO used_ofi_add_4_2: 0.029044676740968063 , std 0.16793178226286032 
2023-05-09 08:46:37,238 INFO used_ofi_add_5_2: 0.03749320692505469 , std 0.18996701387222398 
2023-05-09 08:46:37,238 INFO used_ofi_add_6_2: 0.03429646577431921 , std 0.18198961016967471 
2023-05-09 08:46:37,238 INFO used_ofi_add_7_2: 0.02250962447425025 , std 0.1483338844643343 
2023-05-09 08:46:37,238 INFO used_ofi_add_8_2: 0.01587866997301037 , std 0.12500615110025023 
2023-05-09 08:46:37,238 INFO used_ofi_add_9_2: 0.014029126878656272 , std 0.117610843367773 
2023-05-09 08:46:37,238 INFO used_ofi_add_10_2: 0.015627497454024013 , std 0.12402934643602895 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_1_2: 0.0145954067396437 , std 0.1199265643706517 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_2_2: 0.012225251515026967 , std 0.10988992101380954 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_3_2: 0.01691989423353564 , std 0.12897135888507036 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_4_2: 0.0222127842245391 , std 0.1473749518796636 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_5_2: 0.02508985126020103 , std 0.15639805185468908 
