2023-05-09 08:56:06,613 INFO Starting...
2023-05-09 08:56:06,613 INFO Tickers: ['HD']
2023-05-09 08:57:25,700 INFO ofi_trade_4_2: -6.238983856629219e-08 , std 3.7887767229706753e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_5_2: -8.482523072810421e-08 , std 4.041654452201274e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_6_2: -8.550227805366978e-08 , std 4.35133209459396e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_7_2: -1.1754046503816497e-07 , std 4.894537736887556e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_8_2: -8.451155676006625e-08 , std 5.180683303539745e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_9_2: -5.266069197591273e-08 , std 3.892313844954852e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_10_2: -1.4561452626620165e-08 , std 3.210040566067567e-06 
2023-05-09 08:57:25,701 INFO ofi_add_1_3: -1.4681611657428173e-07 , std 8.896838339764517e-06 
2023-05-09 08:57:25,701 INFO ofi_add_2_3: -3.037981471295522e-07 , std 8.470442781563668e-06 
2023-05-09 08:57:25,701 INFO ofi_add_3_3: -4.3145819684028617e-07 , std 8.061873425863232e-06 
2023-05-09 08:57:25,701 INFO ofi_add_4_3: -3.8190449490334576e-07 , std 7.949813387033074e-06 
2023-05-09 08:57:25,701 INFO ofi_add_5_3: -4.057183976869856e-07 , std 7.744711006885367e-06 
2023-05-09 08:57:25,701 INFO ofi_add_6_3: -4.0623561323571094e-07 , std 7.990263988538918e-06 
2023-05-09 08:57:25,701 INFO ofi_add_7_3: -3.7591181831508145e-07 , std 7.945082129641171e-06 
2023-05-09 08:57:25,701 INFO ofi_add_8_3: -3.0115964873096135e-07 , std 7.556592174572383e-06 
2023-05-09 08:57:25,701 INFO ofi_add_9_3: -2.568774717271243e-07 , std 7.76791345882065e-06 
2023-05-09 08:57:25,701 INFO ofi_add_10_3: -2.798979566916721e-07 , std 8.643636524017903e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_1_3: -2.102485075038062e-07 , std 7.018733014657831e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_2_3: -2.7104046542876047e-07 , std 8.32085100958511e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_3_3: -2.863558421104717e-07 , std 7.877256664699276e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_4_3: -3.1770516950728115e-07 , std 7.2985243725815165e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_5_3: -4.173560554417383e-07 , std 8.292565791181484e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_6_3: -3.886579508578979e-07 , std 8.3222080407361e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_7_3: -3.081987680952054e-07 , std 7.4767373838201326e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_8_3: -3.282870687699837e-07 , std 8.100652307351821e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_9_3: -3.5535444001136287e-07 , std 7.179737405673428e-06 
2023-05-09 08:57:25,701 INFO ofi_cancel_10_3: -2.826766931034385e-07 , std 7.98551995840774e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_1_3: -5.745905414688954e-09 , std 2.7092227685942925e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_2_3: -1.239073994892166e-08 , std 3.397895108377636e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_3_3: -4.347210564289882e-08 , std 4.462264821820132e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_4_3: -9.620917667469913e-08 , std 5.974748632378072e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_5_3: -8.817522617659992e-08 , std 6.205278237218281e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_6_3: -1.4144426922593715e-07 , std 6.391038024347463e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_7_3: -1.4892944419697332e-07 , std 6.312918944420392e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_8_3: -1.019749496005699e-07 , std 5.476645048057303e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_9_3: -8.90918692032145e-08 , std 5.489456210875019e-06 
2023-05-09 08:57:25,701 INFO ofi_trade_10_3: -4.843070827137289e-08 , std 4.528227963837602e-06 
2023-05-09 08:57:25,701 INFO used_intercept: 0.9848702808108762 , std 0.12206887722258294 
2023-05-09 08:57:25,701 INFO used_ofi_add_1_1: 0.008389162134144392 , std 0.09120736863231735 
2023-05-09 08:57:25,701 INFO used_ofi_add_2_1: 0.01115662661606682 , std 0.10503407208433124 
2023-05-09 08:57:25,701 INFO used_ofi_add_3_1: 0.012563192722390431 , std 0.11137934687818252 
2023-05-09 08:57:25,701 INFO used_ofi_add_4_1: 0.013581583117553305 , std 0.11574594471329999 
2023-05-09 08:57:25,701 INFO used_ofi_add_5_1: 0.017993085905568265 , std 0.13292604998706273 
2023-05-09 08:57:25,701 INFO used_ofi_add_6_1: 0.0220803478054372 , std 0.14694490820109463 
2023-05-09 08:57:25,701 INFO used_ofi_add_7_1: 0.020559612372301608 , std 0.1419045972172935 
2023-05-09 08:57:25,701 INFO used_ofi_add_8_1: 0.020203404072648225 , std 0.1406955100084062 
2023-05-09 08:57:25,701 INFO used_ofi_add_9_1: 0.01986546286528476 , std 0.13953790255852622 
2023-05-09 08:57:25,701 INFO used_ofi_add_10_1: 0.023226607846629492 , std 0.15062248349621776 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_1_1: 0.003256109200677709 , std 0.05696935100166555 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_2_1: 0.0062382120170066625 , std 0.07873561283077395 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_3_1: 0.006795358331849132 , std 0.082153401858906 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_4_1: 0.009681558913656022 , std 0.09791744650805306 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_5_1: 0.011005923104675006 , std 0.10433021020437458 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_6_1: 0.010704516081891375 , std 0.10290738271544905 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_7_1: 0.011270795942878803 , std 0.10556403318220078 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_8_1: 0.010275239413078325 , std 0.10084472652589349 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_9_1: 0.009763760828960648 , std 0.09832817400641336 
2023-05-09 08:57:25,701 INFO used_ofi_cancel_10_1: 0.01011996912861403 , std 0.10008773827722318 
2023-05-09 08:57:25,701 INFO used_ofi_trade_1_1: 0.00012786964602941916 , std 0.011307223150846696 
2023-05-09 08:57:25,701 INFO used_ofi_trade_2_1: 0.0003790421650157782 , std 0.019465315102841736 
2023-05-09 08:57:25,702 INFO used_ofi_trade_3_1: 0.0005023450379727181 , std 0.022407424828291667 
2023-05-09 08:57:25,702 INFO used_ofi_trade_4_1: 0.0010320907143803117 , std 0.03210958584500276 
2023-05-09 08:57:25,702 INFO used_ofi_trade_5_1: 0.0012238951834244404 , std 0.03496279828624178 
2023-05-09 08:57:25,702 INFO used_ofi_trade_6_1: 0.0014293999716860069 , std 0.037780375691712643 
2023-05-09 08:57:25,702 INFO used_ofi_trade_7_1: 0.0013380645102364218 , std 0.03655508300637365 
2023-05-09 08:57:25,702 INFO used_ofi_trade_8_1: 0.0012101948642070028 , std 0.03476679871080524 
2023-05-09 08:57:25,702 INFO used_ofi_trade_9_1: 0.0009224881606408096 , std 0.030358477831312413 
2023-05-09 08:57:25,702 INFO used_ofi_trade_10_1: 0.0007991852876838697 , std 0.028258566675608648 
2023-05-09 08:57:25,702 INFO used_ofi_add_1_2: 0.015796468057705744 , std 0.12468736766251676 
2023-05-09 08:57:25,702 INFO used_ofi_add_2_2: 0.018801404739397093 , std 0.13582309052301259 
2023-05-09 08:57:25,702 INFO used_ofi_add_3_2: 0.01927178236586246 , std 0.1374786556899117 
2023-05-09 08:57:25,702 INFO used_ofi_add_4_2: 0.02337274458494883 , std 0.1510842791143922 
2023-05-09 08:57:25,702 INFO used_ofi_add_5_2: 0.02661972023948158 , std 0.1609692850634969 
2023-05-09 08:57:25,702 INFO used_ofi_add_6_2: 0.029638357240390368 , std 0.16958751434136116 
2023-05-09 08:57:25,702 INFO used_ofi_add_7_2: 0.029537888232795823 , std 0.1693085981028214 
2023-05-09 08:57:25,702 INFO used_ofi_add_8_2: 0.02963379046731789 , std 0.1695748475743292 
2023-05-09 08:57:25,702 INFO used_ofi_add_9_2: 0.03153356806546926 , std 0.17475469135485228 
2023-05-09 08:57:25,702 INFO used_ofi_add_10_2: 0.03516415265809027 , std 0.1841945575361248 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_1_2: 0.005621697652221963 , std 0.07476693231455311 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_2_2: 0.010371141647600389 , std 0.10130933357063306 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_3_2: 0.012293753111114155 , std 0.11019354221349421 
