2023-05-09 09:54:13,173 INFO Starting...
2023-05-09 09:54:13,173 INFO Tickers: ['LMT']
2023-05-09 09:55:32,388 INFO ofi_trade_4_2: -1.2540125447260741e-08 , std 2.3753416838819655e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_5_2: -8.0673131755558e-09 , std 3.443175072200689e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_6_2: -1.2165027504096818e-08 , std 2.4172167348320018e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_7_2: -1.7267835580859193e-08 , std 1.8124249534508521e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_8_2: -2.105365654606584e-08 , std 3.0971281285653538e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_9_2: -1.4964769892086012e-08 , std 2.1537218650573584e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_10_2: -2.8227932429451307e-08 , std 3.1701757847065915e-06 
2023-05-09 09:55:32,388 INFO ofi_add_1_3: -3.12096251582262e-07 , std 8.155324035719117e-06 
2023-05-09 09:55:32,388 INFO ofi_add_2_3: -4.078848727831708e-07 , std 7.4254077237753505e-06 
2023-05-09 09:55:32,388 INFO ofi_add_3_3: -3.9022111892590864e-07 , std 7.573226776838415e-06 
2023-05-09 09:55:32,388 INFO ofi_add_4_3: -3.6113791616496705e-07 , std 7.808554386502458e-06 
2023-05-09 09:55:32,388 INFO ofi_add_5_3: -3.312375039277503e-07 , std 7.211799323280004e-06 
2023-05-09 09:55:32,388 INFO ofi_add_6_3: -3.0471420194146206e-07 , std 7.278024995987076e-06 
2023-05-09 09:55:32,388 INFO ofi_add_7_3: -1.1455431428011109e-07 , std 6.979576031041327e-06 
2023-05-09 09:55:32,388 INFO ofi_add_8_3: -1.956355982127238e-07 , std 6.874432675549365e-06 
2023-05-09 09:55:32,388 INFO ofi_add_9_3: -1.3539908803951486e-07 , std 6.718620972101917e-06 
2023-05-09 09:55:32,388 INFO ofi_add_10_3: -1.0055051659223677e-07 , std 7.658488443839847e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_1_3: -1.9282744246250214e-07 , std 7.719802429957558e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_2_3: -1.9690963852493723e-07 , std 7.459874260185885e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_3_3: -1.444895316145217e-07 , std 7.353438951627217e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_4_3: -1.2497698658288974e-07 , std 6.566477516778547e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_5_3: -1.4172769492332612e-07 , std 6.719716662692181e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_6_3: -1.6865478753974379e-07 , std 6.8018922099379645e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_7_3: -2.2951803546431014e-07 , std 7.005840521737792e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_8_3: -1.9206749840028914e-07 , std 6.719967271665972e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_9_3: -1.0740039494700427e-07 , std 6.179159966378286e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_10_3: -2.462013050011885e-07 , std 7.36358230923373e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_1_3: -6.582423438698279e-08 , std 4.9488634988658325e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_2_3: -4.935380648299677e-08 , std 4.863231051228832e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_3_3: -3.94978045243118e-08 , std 3.2643633508548475e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_4_3: -1.0196665346307739e-08 , std 2.4711208715216524e-06 
2023-05-09 09:55:32,388 INFO ofi_trade_5_3: -2.832095746141832e-08 , std 3.0590397490020714e-06 
2023-05-09 09:55:32,389 INFO ofi_trade_6_3: -1.2245913158742596e-09 , std 2.794539855864501e-06 
2023-05-09 09:55:32,389 INFO ofi_trade_7_3: -2.789597708196284e-08 , std 2.533947442496383e-06 
2023-05-09 09:55:32,389 INFO ofi_trade_8_3: -3.048553451677585e-08 , std 2.8069726173678766e-06 
2023-05-09 09:55:32,389 INFO ofi_trade_9_3: -1.9804061673828496e-08 , std 2.478039877427845e-06 
2023-05-09 09:55:32,389 INFO ofi_trade_10_3: -7.22253996675933e-08 , std 4.050836373000414e-06 
2023-05-09 09:55:32,389 INFO used_intercept: 0.9841943983961493 , std 0.12472283095644938 
2023-05-09 09:55:32,389 INFO used_ofi_add_1_1: 0.012403355664853658 , std 0.11067751548126115 
2023-05-09 09:55:32,389 INFO used_ofi_add_2_1: 0.019431619423399233 , std 0.13803634155534333 
2023-05-09 09:55:32,389 INFO used_ofi_add_3_1: 0.015874103199937893 , std 0.12498846365779369 
2023-05-09 09:55:32,389 INFO used_ofi_add_4_1: 0.01575080032698095 , std 0.12450988963146875 
2023-05-09 09:55:32,389 INFO used_ofi_add_5_1: 0.016216611180373836 , std 0.12630769059007615 
2023-05-09 09:55:32,389 INFO used_ofi_add_6_1: 0.014599973512716179 , std 0.11994504694294039 
2023-05-09 09:55:32,389 INFO used_ofi_add_7_1: 0.014896813762427331 , std 0.12113999629418391 
2023-05-09 09:55:32,389 INFO used_ofi_add_8_1: 0.016412982422490445 , std 0.12705745326618767 
2023-05-09 09:55:32,389 INFO used_ofi_add_9_1: 0.016645887849186886 , std 0.1279406200817363 
2023-05-09 09:55:32,389 INFO used_ofi_add_10_1: 0.022788197631671486 , std 0.1492276639245263 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_1_1: 0.003995926438419349 , std 0.06308691631644466 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_2_1: 0.008539865645536208 , std 0.0920159569873204 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_3_1: 0.00865403497234819 , std 0.09262366139948024 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_4_1: 0.008905207491334548 , std 0.09394628662629954 
