2023-05-09 10:15:10,075 INFO Starting...
2023-05-09 10:15:10,075 INFO Tickers: ['TJX']
2023-05-09 10:16:28,755 INFO ofi_trade_3_2: -3.439250483942779e-07 , std 1.4559732915815795e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_4_2: -3.300163927371357e-07 , std 1.3113841255506198e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_5_2: -3.9661387726898086e-07 , std 1.1758078829903966e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_6_2: -2.407009783156297e-07 , std 1.1185700207096715e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_7_2: -1.8017332361752692e-07 , std 9.296237680303408e-06 
2023-05-09 10:16:28,756 INFO ofi_trade_8_2: -8.508911299388734e-08 , std 7.382728193151669e-06 
2023-05-09 10:16:28,756 INFO ofi_trade_9_2: -7.047175219964091e-08 , std 6.766337571848676e-06 
2023-05-09 10:16:28,756 INFO ofi_trade_10_2: -5.466467860566677e-08 , std 7.714392906648508e-06 
2023-05-09 10:16:28,756 INFO ofi_add_1_3: -1.2716073307115248e-06 , std 1.7895527682932327e-05 
2023-05-09 10:16:28,756 INFO ofi_add_2_3: -1.0241701847200474e-06 , std 1.9339546133912757e-05 
2023-05-09 10:16:28,756 INFO ofi_add_3_3: -1.04057951628894e-06 , std 1.984726525832468e-05 
2023-05-09 10:16:28,756 INFO ofi_add_4_3: -1.2454320534010734e-06 , std 1.9213138055745455e-05 
2023-05-09 10:16:28,756 INFO ofi_add_5_3: -7.216315366658466e-07 , std 1.6885824315832798e-05 
2023-05-09 10:16:28,756 INFO ofi_add_6_3: -9.082504047733538e-07 , std 1.7830582540098435e-05 
2023-05-09 10:16:28,756 INFO ofi_add_7_3: -9.408279169961121e-07 , std 1.8712645336829378e-05 
2023-05-09 10:16:28,756 INFO ofi_add_8_3: -7.095642414217566e-07 , std 1.7496112955249266e-05 
2023-05-09 10:16:28,756 INFO ofi_add_9_3: -5.543364312861809e-07 , std 1.627387872348422e-05 
2023-05-09 10:16:28,756 INFO ofi_add_10_3: -1.0065864938987626e-06 , std 1.9191284763367552e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_1_3: -3.1064152797433365e-07 , std 1.875920456644053e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_2_3: -9.117911567356764e-07 , std 1.810848970440589e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_3_3: -7.028949578659577e-07 , std 1.62888139828474e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_4_3: -6.393632640981496e-07 , std 1.567095900384714e-05 
