2023-05-09 09:28:12,233 INFO Starting...
2023-05-09 09:28:12,233 INFO Tickers: ['COST']
2023-05-09 09:29:31,442 INFO ofi_trade_4_2: -5.157777830985157e-08 , std 2.807946299167489e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_5_2: -8.645979560682624e-08 , std 3.6887973393749424e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_6_2: -9.72657164859513e-08 , std 4.256065067203092e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_7_2: -5.7087712027558127e-08 , std 3.1722382319873213e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_8_2: -7.940851614734906e-08 , std 3.4077588521839104e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_9_2: -6.059974317936178e-08 , std 3.2053427955979095e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_10_2: -4.9178165070021793e-08 , std 2.654290291469622e-06 
2023-05-09 09:29:31,442 INFO ofi_add_1_3: -1.8260511502295637e-07 , std 6.801419517344201e-06 
2023-05-09 09:29:31,442 INFO ofi_add_2_3: -3.121323200426897e-07 , std 6.986810076426909e-06 
2023-05-09 09:29:31,442 INFO ofi_add_3_3: -3.020954035692266e-07 , std 6.745817850322353e-06 
2023-05-09 09:29:31,442 INFO ofi_add_4_3: -3.451768616231911e-07 , std 6.82706879198154e-06 
2023-05-09 09:29:31,442 INFO ofi_add_5_3: -2.5902058990568523e-07 , std 6.79233615815152e-06 
2023-05-09 09:29:31,442 INFO ofi_add_6_3: -2.939944364210708e-07 , std 6.262138389225671e-06 
2023-05-09 09:29:31,442 INFO ofi_add_7_3: -3.0945516362572393e-07 , std 6.422555126021167e-06 
2023-05-09 09:29:31,443 INFO ofi_add_8_3: -1.4011002731215183e-07 , std 6.070614757176195e-06 
2023-05-09 09:29:31,443 INFO ofi_add_9_3: -2.2107886684446438e-07 , std 5.89723287519822e-06 
2023-05-09 09:29:31,443 INFO ofi_add_10_3: -2.6281619870709336e-07 , std 6.962767557410679e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_1_3: -9.89572134469639e-08 , std 5.645622940246047e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_2_3: -1.6204935744921023e-07 , std 6.156655489256217e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_3_3: -2.150043583785441e-07 , std 6.44036279950576e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_4_3: -2.4396346126203465e-07 , std 6.4627764557870656e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_5_3: -2.376892830108257e-07 , std 6.459153108375715e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_6_3: -2.1519610513242328e-07 , std 6.1915305918548185e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_7_3: -1.1817748363490832e-07 , std 5.745263058450102e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_8_3: -2.2173411619874298e-07 , std 6.395158945940291e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_9_3: -1.300916025324795e-07 , std 5.71138573813185e-06 
2023-05-09 09:29:31,443 INFO ofi_cancel_10_3: -1.699493819837889e-07 , std 6.010110242055961e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_1_3: -2.174617236595138e-08 , std 2.432437463536521e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_2_3: -4.6688284209689444e-08 , std 3.954738277690761e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_3_3: -7.965569059045606e-08 , std 3.9619090769554485e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_4_3: -8.962976858699952e-08 , std 5.002442645459466e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_5_3: -8.921305510823e-08 , std 4.146938674071228e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_6_3: -1.2743597316926194e-07 , std 4.484508197081101e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_7_3: -6.783103051076908e-08 , std 3.345108700387142e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_8_3: -1.1172046577308423e-07 , std 4.193483044372667e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_9_3: -1.047258126918602e-07 , std 4.351810229798122e-06 
2023-05-09 09:29:31,443 INFO ofi_trade_10_3: -1.3959985761351503e-07 , std 4.37409788232653e-06 
2023-05-09 09:29:31,443 INFO used_intercept: 0.9847880788955716 , std 0.12239492865613773 
2023-05-09 09:29:31,443 INFO used_ofi_add_1_1: 0.008608367241623397 , std 0.09238107628219508 
2023-05-09 09:29:31,443 INFO used_ofi_add_2_1: 0.016942728098898036 , std 0.1290568559335956 
2023-05-09 09:29:31,443 INFO used_ofi_add_3_1: 0.013942358190279168 , std 0.11725173277343551 
2023-05-09 09:29:31,443 INFO used_ofi_add_4_1: 0.016138976038141687 , std 0.12600995790246886 
2023-05-09 09:29:31,443 INFO used_ofi_add_5_1: 0.016586519799244654 , std 0.1277161194219192 
2023-05-09 09:29:31,443 INFO used_ofi_add_6_1: 0.018732903143309904 , std 0.13558016626016237 
2023-05-09 09:29:31,443 INFO used_ofi_add_7_1: 0.01839039516287396 , std 0.13435843303874642 
2023-05-09 09:29:31,443 INFO used_ofi_add_8_1: 0.01998419896516922 , std 0.13994581364545974 
2023-05-09 09:29:31,443 INFO used_ofi_add_9_1: 0.020591579783808964 , std 0.14201255798631326 
2023-05-09 09:29:31,443 INFO used_ofi_add_10_1: 0.028382494645458573 , std 0.16606302611707124 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_1_1: 0.0018267092289917023 , std 0.04270096441983973 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_2_1: 0.006704022870399547 , std 0.08160317976496202 
