2023-05-09 09:44:45,951 INFO Starting...
2023-05-09 09:44:45,951 INFO Tickers: ['SBUX']
2023-05-09 09:46:05,118 INFO ofi_cancel_6_2: -2.2303121835794345e-07 , std 1.010641548168738e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_7_2: -1.35474807480218e-07 , std 8.270019494116698e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_8_2: -1.3940596790051017e-07 , std 7.91708559793343e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_9_2: -8.74586381883738e-08 , std 6.700037915407042e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_10_2: -1.1700726996695563e-07 , std 7.464157866598852e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_1_2: -7.588460690952163e-08 , std 1.0619666117723398e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_2_2: -4.0190024370773303e-07 , std 1.5175548483150876e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_3_2: -4.2098911405887443e-07 , std 1.3859446381497301e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_4_2: -5.452257130720807e-07 , std 1.5827903255958994e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_5_2: -4.194964209842081e-07 , std 1.1708211704445212e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_6_2: -2.5769352845188997e-07 , std 1.0643269633872087e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_7_2: -2.4995351530650584e-07 , std 1.0468995372815091e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_8_2: -2.7192168037662237e-07 , std 1.0627423343769876e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_9_2: -2.3977375388695545e-07 , std 9.779750837742513e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_10_2: -2.4225398345963447e-07 , std 1.074518707848612e-05 
2023-05-09 09:46:05,118 INFO ofi_add_1_3: -2.8465604498528868e-06 , std 2.036448607050751e-05 
2023-05-09 09:46:05,118 INFO ofi_add_2_3: -9.128324373213272e-07 , std 1.8907609698247144e-05 
2023-05-09 09:46:05,118 INFO ofi_add_3_3: -6.550957685823274e-07 , std 1.995903880194988e-05 
2023-05-09 09:46:05,119 INFO ofi_add_4_3: -4.2977586129243653e-07 , std 2.0762762150672362e-05 
2023-05-09 09:46:05,119 INFO ofi_add_5_3: -5.865941339968364e-07 , std 2.0056931409650574e-05 
2023-05-09 09:46:05,119 INFO ofi_add_6_3: -7.26304901740932e-07 , std 1.6206979668200763e-05 
2023-05-09 09:46:05,119 INFO ofi_add_7_3: -5.936527342790073e-07 , std 1.5970870700336952e-05 
2023-05-09 09:46:05,119 INFO ofi_add_8_3: -4.083292095960881e-07 , std 1.6587645745883654e-05 
2023-05-09 09:46:05,119 INFO ofi_add_9_3: -5.841544830005534e-07 , std 1.696942636833804e-05 
2023-05-09 09:46:05,119 INFO ofi_add_10_3: -5.711221365534176e-07 , std 1.757092491496278e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_1_3: 1.5887682204636218e-07 , std 2.055271392877882e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_2_3: -3.449587617924552e-07 , std 1.719447984335497e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_3_3: -5.992328717784622e-07 , std 1.9976720457644837e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_4_3: -8.272341422032512e-07 , std 2.098114453303713e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_5_3: -4.904252535658265e-07 , std 1.901152200781104e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_6_3: -2.448113803396284e-07 , std 1.2891983472568319e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_7_3: -1.7215968295729185e-07 , std 1.1447826514670307e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_8_3: -1.7279994186067895e-07 , std 1.2119091939685313e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_9_3: -1.3719334367588666e-07 , std 9.392695523852187e-06 
2023-05-09 09:46:05,119 INFO ofi_cancel_10_3: -1.0337090328264927e-07 , std 8.2349267486189e-06 
2023-05-09 09:46:05,119 INFO ofi_trade_1_3: -8.436635619437953e-08 , std 1.0866095656255676e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_2_3: -5.081930865533342e-07 , std 1.703052681925136e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_3_3: -4.2693152220282123e-07 , std 1.6412357623268765e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_4_3: -5.939164203760944e-07 , std 1.745468723306486e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_5_3: -4.5583007315387717e-07 , std 1.5103912741555462e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_6_3: -2.3725361526295671e-07 , std 1.2621469113264349e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_7_3: -2.3011009091658417e-07 , std 1.181380331892977e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_8_3: -2.850176178380573e-07 , std 1.362180472303776e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_9_3: -1.4479311038517608e-07 , std 1.1568219095344963e-05 
2023-05-09 09:46:05,119 INFO ofi_trade_10_3: -3.1428741200540034e-07 , std 1.1678979384062537e-05 
2023-05-09 09:46:05,119 INFO used_intercept: 0.9841805535892881 , std 0.12477656641361204 
2023-05-09 09:46:05,119 INFO used_ofi_add_1_1: 0.07430207653068215 , std 0.26226184997805313 
2023-05-09 09:46:05,119 INFO used_ofi_add_2_1: 0.02530015390165821 , std 0.15703520660734213 
2023-05-09 09:46:05,119 INFO used_ofi_add_3_1: 0.014499636938224696 , std 0.11953826779272139 
2023-05-09 09:46:05,119 INFO used_ofi_add_4_1: 0.021317891410278074 , std 0.1444418184463823 
2023-05-09 09:46:05,119 INFO used_ofi_add_5_1: 0.017527435139813034 , std 0.13122585171082976 
2023-05-09 09:46:05,119 INFO used_ofi_add_6_1: 0.011759548068009006 , std 0.10780195312351808 
2023-05-09 09:46:05,119 INFO used_ofi_add_7_1: 0.009398504824839818 , std 0.09648923738892996 
2023-05-09 09:46:05,119 INFO used_ofi_add_8_1: 0.0069552589155641616 , std 0.08310766083208952 
2023-05-09 09:46:05,119 INFO used_ofi_add_9_1: 0.007480442615688835 , std 0.08616545475979466 
2023-05-09 09:46:05,119 INFO used_ofi_add_10_1: 0.00864041357074681 , std 0.09255137397182855 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_1_1: 0.011325700663558189 , std 0.10581790570615948 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_2_1: 0.006516844696329651 , std 0.08046350372394663 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_3_1: 0.007192733284316188 , std 0.08450442516351957 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_4_1: 0.008809385717743446 , std 0.09344399628129921 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_5_1: 0.006699517287677364 , std 0.08157593858356443 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_6_1: 0.004338474044508177 , std 0.06572405714404206 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_7_1: 0.0026989875371624555 , std 0.051881624911298774 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_8_1: 0.002379310502303958 , std 0.048720112723982724 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_9_1: 0.0020733339117965394 , std 0.04548664857171535 
2023-05-09 09:46:05,119 INFO used_ofi_cancel_10_1: 0.002237739244009481 , std 0.047251791152138366 
2023-05-09 09:46:05,119 INFO used_ofi_trade_1_1: 0.00045211466358558897 , std 0.02125818091739177 
2023-05-09 09:46:05,119 INFO used_ofi_trade_2_1: 0.0038726589365715093 , std 0.0621100752642637 
2023-05-09 09:46:05,119 INFO used_ofi_trade_3_1: 0.004461778043667883 , std 0.0666473598903732 
2023-05-09 09:46:05,119 INFO used_ofi_trade_4_1: 0.0064940106224111865 , std 0.08032333688565979 
2023-05-09 09:46:05,119 INFO used_ofi_trade_5_1: 0.004233437304483242 , std 0.06492699987734113 
2023-05-09 09:46:05,119 INFO used_ofi_trade_6_1: 0.002886226943293861 , std 0.05364603095593992 
2023-05-09 09:46:05,119 INFO used_ofi_trade_7_1: 0.0024478127240593504 , std 0.049414784598612635 
2023-05-09 09:46:05,119 INFO used_ofi_trade_8_1: 0.0020139653196085327 , std 0.04483201159104895 
2023-05-09 09:46:05,119 INFO used_ofi_trade_9_1: 0.001972863986555297 , std 0.044373097640866256 
2023-05-09 09:46:05,120 INFO used_ofi_trade_10_1: 0.0023610432431691868 , std 0.04853317131584409 
2023-05-09 09:46:05,120 INFO used_ofi_add_1_2: 0.09394851373012865 , std 0.2917570744609777 
2023-05-09 09:46:05,120 INFO used_ofi_add_2_2: 0.03747071530019957 , std 0.18991224498460063 
2023-05-09 09:46:05,120 INFO used_ofi_add_3_2: 0.022313457033123107 , std 0.14770093658590683 
2023-05-09 09:46:05,120 INFO used_ofi_add_4_2: 0.03445205072817862 , std 0.1823872444246078 
2023-05-09 09:46:05,120 INFO used_ofi_add_5_2: 0.026492092560202036 , std 0.16059346684091394 
2023-05-09 09:46:05,120 INFO used_ofi_add_6_2: 0.020806408154504477 , std 0.14273577524297348 
2023-05-09 09:46:05,120 INFO used_ofi_add_7_2: 0.01645423366564522 , std 0.1272143539861818 
2023-05-09 09:46:05,120 INFO used_ofi_add_8_2: 0.012946919911769139 , std 0.11304555354620266 
2023-05-09 09:46:05,120 INFO used_ofi_add_9_2: 0.013280297390978715 , std 0.11447240319040164 
2023-05-09 09:46:05,120 INFO used_ofi_add_10_2: 0.015696142411552216 , std 0.12429711792695952 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_1_2: 0.01925369112804892 , std 0.1374153794376547 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_2_2: 0.012586141543857406 , std 0.11147973172238704 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_3_2: 0.01175041443844162 , std 0.10776057813025355 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_4_2: 0.016330929666485517 , std 0.1267447450694261 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_5_2: 0.01243086984121185 , std 0.1107986611661111 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_6_2: 0.006841088545971841 , std 0.08242747147327772 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_7_2: 0.005119399372519649 , std 0.07136659668629503 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_8_2: 0.0037265208634933394 , std 0.06093138686873365 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_9_2: 0.0034981801243086984 , std 0.05904187378570051 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_10_2: 0.003457078791255463 , std 0.058695207619417405 
2023-05-09 09:46:05,120 INFO used_ofi_trade_1_2: 0.0009361970306570276 , std 0.030583011064589712 
2023-05-09 09:46:05,120 INFO used_ofi_trade_2_2: 0.006763452694649063 , std 0.0819616276210783 
2023-05-09 09:46:05,120 INFO used_ofi_trade_3_2: 0.007896022761004881 , std 0.08850805378926019 
2023-05-09 09:46:05,120 INFO used_ofi_trade_4_2: 0.010681779779057501 , std 0.10279921867314568 
2023-05-09 09:46:05,120 INFO used_ofi_trade_5_2: 0.007032894766886939 , std 0.08356693818780749 
2023-05-09 09:46:05,120 INFO used_ofi_trade_6_2: 0.005690251220481251 , std 0.07521882916882622 
2023-05-09 09:46:05,120 INFO used_ofi_trade_7_2: 0.003945727973110594 , std 0.06269098183848143 
2023-05-09 09:46:05,120 INFO used_ofi_trade_8_2: 0.003913760269624745 , std 0.06243751076217444 
2023-05-09 09:46:05,120 INFO used_ofi_trade_9_2: 0.003685419530440104 , std 0.06059568642506457 
