2023-05-09 10:11:05,765 INFO Starting...
2023-05-09 10:11:05,765 INFO Tickers: ['TFC']
2023-05-09 10:11:11,197 INFO ofi_trade_5_2: -5.098255257724924e-07 , std 1.1867491165393525e-05 
2023-05-09 10:11:11,197 INFO ofi_trade_6_2: -4.5325501274288086e-07 , std 9.749447680995964e-06 
2023-05-09 10:11:11,197 INFO ofi_trade_7_2: -1.6309095257585024e-07 , std 4.477668642669891e-06 
2023-05-09 10:11:11,197 INFO ofi_trade_8_2: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_trade_9_2: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_trade_10_2: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_add_1_3: -4.972687877061378e-06 , std 2.177075071498474e-05 
2023-05-09 10:11:11,197 INFO ofi_add_2_3: -1.2999411548196935e-06 , std 2.2274759464328317e-05 
2023-05-09 10:11:11,197 INFO ofi_add_3_3: -2.7764259789570035e-06 , std 1.931814598625455e-05 
2023-05-09 10:11:11,198 INFO ofi_add_4_3: -1.3828429554237124e-07 , std 2.3171192501054673e-05 
2023-05-09 10:11:11,198 INFO ofi_add_5_3: -3.536887872870902e-06 , std 2.9739707400078484e-05 
2023-05-09 10:11:11,198 INFO ofi_add_6_3: -9.54785326466341e-07 , std 1.8618599655725263e-05 
2023-05-09 10:11:11,198 INFO ofi_add_7_3: -3.2675975340596527e-06 , std 2.0398931665796726e-05 
2023-05-09 10:11:11,198 INFO ofi_add_8_3: -3.789913309893021e-07 , std 7.029175394090695e-06 
2023-05-09 10:11:11,198 INFO ofi_add_9_3: 2.1614096699094357e-08 , std 8.300898961306049e-06 
2023-05-09 10:11:11,198 INFO ofi_add_10_3: -1.181550444063144e-07 , std 4.95890542338471e-06 
2023-05-09 10:11:11,198 INFO ofi_cancel_1_3: 1.7080627836998542e-07 , std 1.1297890721797371e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_2_3: -1.9470989967202682e-06 , std 2.4815303771768253e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_3_3: -1.637393189574434e-06 , std 1.98018919855588e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_4_3: -1.8581550324254106e-06 , std 2.3669711180681325e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_5_3: 4.492206113260827e-08 , std 1.754878396284604e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_6_3: -3.850642430652907e-06 , std 3.128023384194827e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_7_3: -9.865261437988144e-07 , std 1.9120351569437736e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_8_3: -8.694001828867903e-07 , std 2.5229756856803194e-05 
2023-05-09 10:11:11,198 INFO ofi_cancel_9_3: -3.2146430476059786e-07 , std 6.27769996524365e-06 
2023-05-09 10:11:11,198 INFO ofi_cancel_10_3: -9.398556505152748e-08 , std 3.626673890255885e-06 
2023-05-09 10:11:11,198 INFO ofi_trade_1_3: 0.0 , std 0.0 
2023-05-09 10:11:11,198 INFO ofi_trade_2_3: 6.498512366020105e-07 , std 8.8975929222393e-06 
2023-05-09 10:11:11,198 INFO ofi_trade_3_3: -8.808887250035969e-07 , std 2.7601284545953716e-05 
2023-05-09 10:11:11,198 INFO ofi_trade_4_3: -1.8461657927303511e-07 , std 5.248785873319264e-06 
2023-05-09 10:11:11,198 INFO ofi_trade_5_3: 5.6388653968020835e-09 , std 1.0012974449437269e-05 
2023-05-09 10:11:11,198 INFO ofi_trade_6_3: 1.0476482407543388e-06 , std 1.7818946490497998e-05 
2023-05-09 10:11:11,198 INFO ofi_trade_7_3: -4.4217727199117e-08 , std 1.0520236685550464e-06 
2023-05-09 10:11:11,198 INFO ofi_trade_8_3: 2.7756214278783738e-08 , std 1.0710446605499931e-06 
2023-05-09 10:11:11,198 INFO ofi_trade_9_3: 0.0 , std 0.0 
2023-05-09 10:11:11,198 INFO ofi_trade_10_3: 3.0364855586655483e-07 , std 8.21637013955346e-06 
2023-05-09 10:11:11,198 INFO used_intercept: 0.9812080536912752 , std 0.13578957641385744 
2023-05-09 10:11:11,198 INFO used_ofi_add_1_1: 0.0476510067114094 , std 0.21302673135266056 
2023-05-09 10:11:11,198 INFO used_ofi_add_2_1: 0.01476510067114094 , std 0.12061132813012222 
2023-05-09 10:11:11,198 INFO used_ofi_add_3_1: 0.021476510067114093 , std 0.14496644295302016 
2023-05-09 10:11:11,198 INFO used_ofi_add_4_1: 0.011409395973154362 , std 0.10620368005244511 
2023-05-09 10:11:11,198 INFO used_ofi_add_5_1: 0.01476510067114094 , std 0.12061132813012222 
2023-05-09 10:11:11,198 INFO used_ofi_add_6_1: 0.042281879194630875 , std 0.20123151315438023 
2023-05-09 10:11:11,198 INFO used_ofi_add_7_1: 0.006711409395973154 , std 0.08164781919863381 
2023-05-09 10:11:11,198 INFO used_ofi_add_8_1: 0.0013422818791946308 , std 0.036612568314055995 
2023-05-09 10:11:11,198 INFO used_ofi_add_9_1: 0.0020134228187919465 , std 0.044825985179856496 
2023-05-09 10:11:11,198 INFO used_ofi_add_10_1: 0.0013422818791946308 , std 0.036612568314055995 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_1_1: 0.05503355704697987 , std 0.2280457512117616 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_2_1: 0.0087248322147651 , std 0.09299843825349595 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_3_1: 0.004026845637583893 , std 0.06332953617227086 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_4_1: 0.010067114093959731 , std 0.09982868980297661 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_5_1: 0.011409395973154362 , std 0.10620368005244513 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_6_1: 0.00738255033557047 , std 0.08560402026840351 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_7_1: 0.0013422818791946308 , std 0.036612568314055995 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_8_1: 0.004026845637583893 , std 0.06332953617227086 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_9_1: 0.0 , std 0.0 
2023-05-09 10:11:11,198 INFO used_ofi_cancel_10_1: 0.004697986577181208 , std 0.06838066612209794 
2023-05-09 10:11:11,198 INFO used_ofi_trade_1_1: 0.0 , std 0.0 
2023-05-09 10:11:11,198 INFO used_ofi_trade_2_1: 0.0006711409395973154 , std 0.02589769312963052 
2023-05-09 10:11:11,198 INFO used_ofi_trade_3_1: 0.0013422818791946308 , std 0.036612568314055995 
2023-05-09 10:11:11,198 INFO used_ofi_trade_4_1: 0.005369127516778523 , std 0.07307735618156348 
2023-05-09 10:11:11,198 INFO used_ofi_trade_5_1: 0.020134228187919462 , std 0.14045939286212314 
2023-05-09 10:11:11,199 INFO used_ofi_trade_6_1: 0.0026845637583892616 , std 0.051743181925896324 
2023-05-09 10:11:11,199 INFO used_ofi_trade_7_1: 0.0013422818791946308 , std 0.036612568314055995 
2023-05-09 10:11:11,199 INFO used_ofi_trade_8_1: 0.0 , std 0.0 
2023-05-09 10:11:11,199 INFO used_ofi_trade_9_1: 0.0 , std 0.0 
2023-05-09 10:11:11,199 INFO used_ofi_trade_10_1: 0.0 , std 0.0 
2023-05-09 10:11:11,199 INFO used_ofi_add_1_2: 0.07181208053691275 , std 0.2581765009172459 
2023-05-09 10:11:11,199 INFO used_ofi_add_2_2: 0.04697986577181208 , std 0.21159574188502614 
2023-05-09 10:11:11,199 INFO used_ofi_add_3_2: 0.0174496644295302 , std 0.13093958011551354 
2023-05-09 10:11:11,199 INFO used_ofi_add_4_2: 0.03422818791946309 , std 0.18181479332335146 
2023-05-09 10:11:11,199 INFO used_ofi_add_5_2: 0.024832214765100672 , std 0.15561354656635965 
2023-05-09 10:11:11,199 INFO used_ofi_add_6_2: 0.026845637583892617 , std 0.16163214199721201 
2023-05-09 10:11:11,199 INFO used_ofi_add_7_2: 0.032885906040268455 , std 0.17833794667478678 
2023-05-09 10:11:11,199 INFO used_ofi_add_8_2: 0.016778523489932886 , std 0.12844066583224586 
2023-05-09 10:11:11,199 INFO used_ofi_add_9_2: 0.010067114093959731 , std 0.09982868980297661 
2023-05-09 10:11:11,199 INFO used_ofi_add_10_2: 0.008053691275167786 , std 0.08938025135348453 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_1_2: 0.049664429530201344 , std 0.21725071684494163 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_2_2: 0.012751677852348993 , std 0.11220103637800725 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_3_2: 0.013422818791946308 , std 0.1150766993253842 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_4_2: 0.013422818791946308 , std 0.1150766993253842 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_5_2: 0.020134228187919462 , std 0.14045939286212314 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_6_2: 0.016778523489932886 , std 0.1284406658322459 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_7_2: 0.011409395973154362 , std 0.10620368005244513 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_8_2: 0.0013422818791946308 , std 0.036612568314055995 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_9_2: 0.006040268456375839 , std 0.07748408619420345 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_10_2: 0.0026845637583892616 , std 0.05174318192589634 
2023-05-09 10:11:11,199 INFO used_ofi_trade_1_2: 0.0 , std 0.0 
2023-05-09 10:11:11,199 INFO used_ofi_trade_2_2: 0.003355704697986577 , std 0.05783116758259761 
2023-05-09 10:11:11,199 INFO used_ofi_trade_3_2: 0.0026845637583892616 , std 0.051743181925896324 
2023-05-09 10:11:11,199 INFO used_ofi_trade_4_2: 0.0174496644295302 , std 0.13093958011551354 
2023-05-09 10:11:11,199 INFO used_ofi_trade_5_2: 0.014093959731543624 , std 0.1178784120635719 
2023-05-09 10:11:11,199 INFO used_ofi_trade_6_2: 0.012751677852348993 , std 0.11220103637800725 
2023-05-09 10:11:11,199 INFO used_ofi_trade_7_2: 0.0013422818791946308 , std 0.03661256831405599 
2023-05-09 10:11:11,199 INFO used_ofi_trade_8_2: 0.0 , std 0.0 
2023-05-09 10:11:11,199 INFO used_ofi_trade_9_2: 0.0 , std 0.0 
2023-05-09 10:11:11,199 INFO used_ofi_trade_10_2: 0.0 , std 0.0 
2023-05-09 10:11:11,199 INFO used_ofi_add_1_3: 0.12416107382550336 , std 0.3297652218958228 
2023-05-09 10:11:11,199 INFO used_ofi_add_2_3: 0.04429530201342282 , std 0.20575040275285605 
2023-05-09 10:11:11,199 INFO used_ofi_add_3_3: 0.04161073825503356 , std 0.1996979837577351 
2023-05-09 10:11:11,199 INFO used_ofi_add_4_3: 0.06174496644295302 , std 0.24069176463251007 
2023-05-09 10:11:11,199 INFO used_ofi_add_5_3: 0.06845637583892618 , std 0.25252742513621335 
2023-05-09 10:11:11,199 INFO used_ofi_add_6_3: 0.07516778523489932 , std 0.26366188442355365 
2023-05-09 10:11:11,199 INFO used_ofi_add_7_3: 0.06375838926174497 , std 0.24432203556063614 
2023-05-09 10:11:11,199 INFO used_ofi_add_8_3: 0.015436241610738255 , std 0.12328002293832188 
2023-05-09 10:11:11,199 INFO used_ofi_add_9_3: 0.00738255033557047 , std 0.0856040202684035 
2023-05-09 10:11:11,199 INFO used_ofi_add_10_3: 0.006711409395973154 , std 0.08164781919863381 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_1_3: 0.04093959731543624 , std 0.1981503133661064 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_2_3: 0.03959731543624161 , std 0.19501119979756135 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_3_3: 0.02348993288590604 , std 0.15145347780398333 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_4_3: 0.03825503355704698 , std 0.19181132908302415 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_5_3: 0.03154362416107383 , std 0.17478164645024585 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_6_3: 0.03355704697986577 , std 0.1800860116107213 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_7_3: 0.015436241610738255 , std 0.12328002293832188 
2023-05-09 10:11:11,199 INFO used_ofi_cancel_8_3: 0.0087248322147651 , std 0.09299843825349595 
2023-05-09 10:11:11,200 INFO used_ofi_cancel_9_3: 0.005369127516778523 , std 0.07307735618156348 
2023-05-09 10:11:11,200 INFO used_ofi_cancel_10_3: 0.0006711409395973154 , std 0.025897693129630524 
2023-05-09 10:11:11,200 INFO used_ofi_trade_1_3: 0.0 , std 0.0 
2023-05-09 10:11:11,200 INFO used_ofi_trade_2_3: 0.00738255033557047 , std 0.08560402026840351 
2023-05-09 10:11:11,200 INFO used_ofi_trade_3_3: 0.004697986577181208 , std 0.06838066612209794 
2023-05-09 10:11:11,200 INFO used_ofi_trade_4_3: 0.00738255033557047 , std 0.0856040202684035 
2023-05-09 10:11:11,200 INFO used_ofi_trade_5_3: 0.013422818791946308 , std 0.1150766993253842 
2023-05-09 10:11:11,200 INFO used_ofi_trade_6_3: 0.02080536912751678 , std 0.14273228696754128 
2023-05-09 10:11:11,200 INFO used_ofi_trade_7_3: 0.0020134228187919465 , std 0.044825985179856496 
2023-05-09 10:11:11,200 INFO used_ofi_trade_8_3: 0.0006711409395973154 , std 0.025897693129630524 
2023-05-09 10:11:11,200 INFO used_ofi_trade_9_3: 0.0 , std 0.0 
2023-05-09 10:11:11,200 INFO used_ofi_trade_10_3: 0.0026845637583892616 , std 0.051743181925896324 
2023-05-09 10:11:11,205 INFO Grouping by horizont:
2023-05-09 10:11:11,205 INFO 1: 0.3020134228187919
2023-05-09 10:11:11,205 INFO 2: 0.48926174496644287
2023-05-09 10:11:11,205 INFO 3: 0.8053691275167782
2023-05-09 10:11:11,205 INFO Grouping by ofi type:
2023-05-09 10:11:11,205 INFO add: 0.9624161073825502
2023-05-09 10:11:11,205 INFO cancel: 0.49194630872483225
2023-05-09 10:11:11,205 INFO trade: 0.14228187919463087
