2023-05-09 10:04:26,913 INFO Starting...
2023-05-09 10:04:26,913 INFO Tickers: ['GILD']
2023-05-09 10:05:46,815 INFO ofi_trade_3_2: -4.451074479760957e-07 , std 1.2107336151518697e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_4_2: -4.1473802643689203e-07 , std 1.0591508047806325e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_5_2: -4.7318923144520653e-07 , std 1.1805841985021088e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_6_2: -2.696561283184209e-07 , std 8.719811550739065e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_7_2: -1.8165538560748535e-07 , std 7.796487084605283e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_8_2: -1.903481451749262e-07 , std 8.123633985988555e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_9_2: -2.0949284799274883e-07 , std 9.149125336196718e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_10_2: -1.7065913629224263e-07 , std 6.680485204054457e-06 
2023-05-09 10:05:46,815 INFO ofi_add_1_3: -1.3553977655056677e-06 , std 1.635926141284778e-05 
2023-05-09 10:05:46,815 INFO ofi_add_2_3: -7.882459806733688e-07 , std 1.60175921731149e-05 
2023-05-09 10:05:46,815 INFO ofi_add_3_3: -6.052424831559142e-07 , std 1.453740610548421e-05 
2023-05-09 10:05:46,815 INFO ofi_add_4_3: -6.59469083319543e-07 , std 1.500603506998121e-05 
2023-05-09 10:05:46,815 INFO ofi_add_5_3: -6.387277130346303e-07 , std 1.5305278350669594e-05 
2023-05-09 10:05:46,815 INFO ofi_add_6_3: -8.790006860655503e-07 , std 1.481915951796139e-05 
2023-05-09 10:05:46,815 INFO ofi_add_7_3: -7.46272742192752e-07 , std 1.4285724196727183e-05 
2023-05-09 10:05:46,815 INFO ofi_add_8_3: -4.875727416115603e-07 , std 1.3739784697984603e-05 
2023-05-09 10:05:46,815 INFO ofi_add_9_3: -4.0026418634166673e-07 , std 1.3609335210991017e-05 
2023-05-09 10:05:46,815 INFO ofi_add_10_3: -2.4014317546571805e-07 , std 1.4986589501342016e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_1_3: -2.783496080063892e-07 , std 1.58139488506654e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_2_3: -6.00729499081118e-07 , std 1.4595171224435362e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_3_3: -5.936684733196902e-07 , std 1.4335814780213844e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_4_3: -6.878532873011079e-07 , std 1.3543605815869003e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_5_3: -6.333348833631342e-07 , std 1.401595391640039e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_6_3: -2.8055200460602547e-07 , std 1.1046926773667712e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_7_3: -2.3815289066549772e-07 , std 1.0574070636091908e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_8_3: -3.3063568121978997e-07 , std 9.748300367604486e-06 
2023-05-09 10:05:46,815 INFO ofi_cancel_9_3: -3.431563742262594e-07 , std 9.259999739314765e-06 
2023-05-09 10:05:46,815 INFO ofi_cancel_10_3: -3.030509315400832e-07 , std 1.0061316259477734e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_1_3: -2.9566851440337137e-08 , std 5.523819980011204e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_2_3: -3.5498451940753826e-07 , std 1.174760675518249e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_3_3: -5.474452804245162e-07 , std 1.2474735059299284e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_4_3: -4.825223013192841e-07 , std 1.2528943373485799e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_5_3: -5.021381371020193e-07 , std 1.3280790739761782e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_6_3: -3.012274575916777e-07 , std 1.1996830404517268e-05 
2023-05-09 10:05:46,815 INFO ofi_trade_7_3: -2.01246505688011e-07 , std 9.199669549355188e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_8_3: -2.7190826081486035e-07 , std 9.377196188425784e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_9_3: -2.2101072503753688e-07 , std 8.499787020526616e-06 
2023-05-09 10:05:46,815 INFO ofi_trade_10_3: -2.961004802162766e-07 , std 8.461750926263812e-06 
2023-05-09 10:05:46,815 INFO used_intercept: 0.9889986436683975 , std 0.1043088035137382 
2023-05-09 10:05:46,816 INFO used_ofi_add_1_1: 0.023934457672863778 , std 0.15284501761185962 
2023-05-09 10:05:46,816 INFO used_ofi_add_2_1: 0.020641814287606235 , std 0.14218203047685812 
2023-05-09 10:05:46,816 INFO used_ofi_add_3_1: 0.01607504121512698 , std 0.12576420104727318 
2023-05-09 10:05:46,816 INFO used_ofi_add_4_1: 0.020107501838126162 , std 0.1403680526614084 
2023-05-09 10:05:46,816 INFO used_ofi_add_5_1: 0.02319464043512214 , std 0.1505212579345773 
2023-05-09 10:05:46,816 INFO used_ofi_add_6_1: 0.020998022587259618 , std 0.14337749347329432 
2023-05-09 10:05:46,816 INFO used_ofi_add_7_1: 0.015380891708110132 , std 0.12306226017091317 
2023-05-09 10:05:46,816 INFO used_ofi_add_8_1: 0.013033570348855794 , std 0.11341823659719466 
2023-05-09 10:05:46,816 INFO used_ofi_add_9_1: 0.01238508857256374 , std 0.11059700788725478 
2023-05-09 10:05:46,816 INFO used_ofi_add_10_1: 0.01630794664182342 , std 0.12665700737879 
