2023-05-09 09:13:21,105 INFO Starting...
2023-05-09 09:13:21,105 INFO Tickers: ['MDT']
2023-05-09 09:14:40,542 INFO ofi_trade_3_2: -2.9147372212530175e-07 , std 8.727091281002933e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_4_2: -2.2833078723177916e-07 , std 7.480032876294983e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_5_2: -3.225870300541728e-07 , std 9.461231693606847e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_6_2: -2.302115993353264e-07 , std 8.756683240442363e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_7_2: -1.2793538982957115e-07 , std 6.449597611074616e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_8_2: -9.518676616592967e-08 , std 5.705961004622152e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_9_2: -4.83931434808328e-08 , std 4.322601257615964e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_10_2: -4.331896971795588e-08 , std 3.874495928523006e-06 
2023-05-09 09:14:40,542 INFO ofi_add_1_3: -9.379979955848973e-07 , std 1.4639712447622168e-05 
2023-05-09 09:14:40,542 INFO ofi_add_2_3: -4.653385053602003e-07 , std 1.421105861279412e-05 
2023-05-09 09:14:40,542 INFO ofi_add_3_3: -5.4798647137777e-07 , std 1.3433491057361718e-05 
2023-05-09 09:14:40,542 INFO ofi_add_4_3: -6.965123142748422e-07 , std 1.3255023940374803e-05 
2023-05-09 09:14:40,542 INFO ofi_add_5_3: -6.076588047612735e-07 , std 1.252451032475344e-05 
2023-05-09 09:14:40,542 INFO ofi_add_6_3: -5.909143244670093e-07 , std 1.284204304482874e-05 
2023-05-09 09:14:40,542 INFO ofi_add_7_3: -6.49429998939315e-07 , std 1.2070635446268915e-05 
2023-05-09 09:14:40,542 INFO ofi_add_8_3: -5.785289984483251e-07 , std 1.225648289615606e-05 
2023-05-09 09:14:40,542 INFO ofi_add_9_3: -5.491798898880278e-07 , std 1.1931865870793913e-05 
2023-05-09 09:14:40,542 INFO ofi_add_10_3: -7.012658914293362e-07 , std 1.2703749932811261e-05 
2023-05-09 09:14:40,542 INFO ofi_cancel_1_3: -2.8772546201827886e-07 , std 1.3523710382024608e-05 
2023-05-09 09:14:40,542 INFO ofi_cancel_2_3: -7.044013299759371e-07 , std 1.314036284829981e-05 
2023-05-09 09:14:40,542 INFO ofi_cancel_3_3: -6.382840838256738e-07 , std 1.2479262363012695e-05 
2023-05-09 09:14:40,542 INFO ofi_cancel_4_3: -5.738285807076993e-07 , std 1.2203320621932415e-05 
2023-05-09 09:14:40,542 INFO ofi_cancel_5_3: -4.7186936051930675e-07 , std 1.195635600071485e-05 
